Gene = P3H2
index = 993
Annotated 5SS: [   678 125640 126836 132023 133403 134142 136380 137884 146372 147021
 148056 149040 150114 156972]
Annotated 3SS: [125486 126645 131890 133259 134051 136338 137788 146243 146924 147904
 148921 150037 156830 162924]
SMsplice 5SS: [   120    678  12249  14241  16616  24223  27387  61312  72966 125640
 126836 129365 132023 133403 134142 136380 137884 146372 149040 150114
 156972]
SMsplice 3SS: [   562  12203  14094  16526  24102  27254  61200  72855 125486 126645
 129284 131890 133259 134051 136338 137788 146243 148921 150037 156830
 162924]
top_k =  1000
Partition function (log Z): -70.35179679310697

Sorted 5' Splice Sites (High to Low Probability):
Position 16616: 0.9953718948384607
Position 12249: 0.9638835134597569
Position 678: 0.9474133323471611
Position 24223: 0.8524789912559431
Position 27387: 0.8096962059499438
Position 120: 0.593208458006309
Position 14241: 0.4771051661231982
Position 4350: 0.4306374814374899
Position 1239: 0.4091759897838283
Position 927: 0.30327719681837007
Position 18669: 0.18157799573766956
Position 2677: 0.1806352039964538
Position 387: 0.16010005009616135
Position 8419: 0.1402965406701766
Position 23732: 0.12081336639842633
Position 14356: 0.1180526969676321
Position 14987: 0.11281143610799602
Position 21757: 0.11133250140706094
Position 7517: 0.10669769353883041
Position 3973: 0.09543610932206567
Position 18584: 0.0836135681336198
Position 2707: 0.07546584976380538
Position 9543: 0.07254067659718659
Position 2594: 0.07177401398376779
Position 13657: 0.056487924124038386
Position 14473: 0.029281872084041382
Position 14505: 0.029216581933343082
Position 145: 0.028869726292435748
Position 14145: 0.014275919821281156
Position 2887: 0.012860265266711027
Position 21258: 0.012049070957290457
Position 3323: 0.011494103754417615
Position 1284: 0.011094178254989404
Position 2589: 0.010690420297766016
Position 13598: 0.005214378878810523
Position 3739: 0.0043822156706081455
Position 27402: 0.003942596036653617
Position 939: 0.0039149140467653444
Position 1642: 0.002351637269522289
Position 1227: 0.0015421174270595407
Position 167: 0.0015321999002624316
Position 2211: 0.0015139372251946497
Position 1214: 0.0014948938249340037
Position 4113: 0.001420207169905991
Position 24448: 0.0009791560032887602
Position 1342: 0.000927591047182497
Position 986: 0.0008559670292930771
Position 448: 0.0008378988793940154
Position 40: 0.0008225517907318578
Position 18023: 0.0007750995142407242
Position 263: 0.0006475905578451347
Position 1950: 0.0005777759633105999
Position 1431: 0.000559607077869125
Position 7716: 0.00043877259454651394
Position 3629: 0.00026369060768831527
Position 16658: 0.0002205603311178335
Position 2819: 0.00018882355467129277
Position 17708: 0.00015151846408570385
Position 2299: 0.0001437536555840408
Position 618: 0.00011965587397577651
Position 2099: 6.646974704403261e-05
Position 839: 6.245659755769781e-05
Position 96: 5.913619087863146e-05
Position 763: 4.382597079274284e-05
Position 782: 1.852361005357407e-05
Position 804: 1.720807127774481e-05
Position 565: 1.5051189183596025e-05
Position 58: 1.0617017986060747e-05
Position 2512: 9.994051315782117e-06
Position 3115: 9.568937466239842e-06
Position 2407: 6.694313271873739e-06
Position 5038: 6.063664488743722e-06
Position 825: 4.612733692327475e-06
Position 808: 3.1137791949577934e-06
Position 932: 2.2171380753712876e-06
