Gene = SETD9
index = 1249
Annotated 5SS: [ 484 2277 3875 4730 5707]
Annotated 3SS: [1908 3750 4613 5600 7554]
SMsplice 5SS: [ 201 3875 4730 5707]
SMsplice 3SS: [3750 4613 5600 7554]
top_k =  1000
Partition function (log Z): -1.4759354846044674

Sorted 5' Splice Sites (High to Low Probability):
Position 3875: 0.9394771047440992
Position 5707: 0.9196077233202066
Position 201: 0.8799642266263344
Position 4730: 0.8233292410722598
Position 2277: 0.28999102024933543
Position 605: 0.08825945643044981
Position 621: 0.06275171184573797
Position 484: 0.05073107334417162
Position 206: 0.043993973270986496
Position 5092: 0.043733286301236594
Position 2261: 0.03487214785298012
Position 2269: 0.03458430394914558
Position 1852: 0.03415463415484741
Position 2220: 0.03294549883703212
Position 925: 0.03255931536465613
Position 4707: 0.028610232573084583
Position 5268: 0.024860639762608057
Position 6473: 0.023960856570696337
Position 1135: 0.02359753536025875
Position 919: 0.01571269995667888
Position 2368: 0.014724897742352878
Position 4751: 0.012355020557009329
Position 1663: 0.011455547462769888
Position 2623: 0.01079700325218898
Position 749: 0.010774595487616213
Position 5137: 0.01035555770609854
Position 2243: 0.009766467971565308
Position 1118: 0.008020127693233573
Position 2099: 0.007879738039799543
Position 2999: 0.007856940591340091
Position 872: 0.0064778222857194805
Position 5792: 0.006330347294192016
Position 2133: 0.006280987480425934
Position 1985: 0.005431293081909305
Position 5301: 0.005343097968197068
Position 4267: 0.005014048356886129
Position 7460: 0.004887768030727022
Position 2754: 0.0044034570005830964
Position 6251: 0.004171085991880235
Position 698: 0.003999864953332099
Position 634: 0.002812345805577294
Position 1220: 0.0026162321204706547
Position 6433: 0.0021256168735275614
Position 1310: 0.0018805924849894903
Position 2643: 0.0016567312173426938
Position 436: 0.0015455790247899132
Position 7330: 0.0012831186097219376
Position 6571: 0.001272239360654475
Position 1964: 0.0010567684302913057
Position 5180: 0.0010354121403244256
Position 1684: 0.0010041330916311009
Position 58: 0.000976599368797801
Position 27: 0.0009193607835608649
Position 959: 0.0008579615825432121
Position 6919: 0.0008479201898355575
Position 7666: 0.0008105532670261573
Position 3828: 0.0006747476336749892
Position 6757: 0.0006484543851998368
Position 5309: 0.0006384019176145016
Position 1946: 0.0006279876266990233
Position 4404: 0.000622167961911964
Position 3864: 0.00046540039212164785
Position 6122: 0.0003804877488447394
Position 7117: 0.0003766681828296595
Position 1262: 0.00033072750761438353
Position 4814: 0.0002872445654182181
Position 5067: 0.00026822386062466176
Position 5358: 0.00024345842639008491
Position 5025: 0.00021769501339362397
Position 5749: 0.0002163461190387842
Position 1355: 0.0002141944083983641
Position 7634: 0.00020915834902171133
Position 6563: 0.0002025645074050037
Position 5184: 0.00019734025449931822
