Gene = KY
index = 755
Annotated 5SS: [  198  3588  7707 21402 23267 25970 30274 31875 40828 42374]
Annotated 3SS: [ 3524  7643 21326 23203 25886 30164 31756 40638 42182 46547]
SMsplice 5SS: [  144  3588  7707 21417 23134 23267 25970 30274 31875 40828 42374]
SMsplice 3SS: [ 3524  7643 21326 23025 23203 25886 30164 31756 40638 42182 46547]
top_k =  1000
Partition function (log Z): 4.019806587674499

Sorted 5' Splice Sites (High to Low Probability):
Position 31875: 0.9980453253222094
Position 23134: 0.9651222638216517
Position 40828: 0.8534292828437487
Position 7707: 0.8194187185787214
Position 3588: 0.8079673458098411
Position 21417: 0.7142678892263173
Position 23267: 0.7140555436245637
Position 25970: 0.7106552228156111
Position 144: 0.5767992835889014
Position 38627: 0.5663688423694885
Position 42374: 0.557625215337461
Position 30274: 0.5174128064274005
Position 198: 0.4151201446314993
Position 22936: 0.3894084662853443
Position 11198: 0.35962772937504695
Position 30195: 0.3415875541552592
Position 12895: 0.30664415932024947
Position 37501: 0.3065363107053825
Position 21402: 0.2835198276414476
Position 8559: 0.2767575711290773
Position 29972: 0.2686720416997949
Position 3009: 0.2462423261223298
Position 37299: 0.2431126919838717
Position 18711: 0.2393090185888211
Position 21863: 0.20791945118629535
Position 30468: 0.15279938958184291
Position 40225: 0.15176033127906416
Position 37521: 0.14376377429440382
Position 22347: 0.12224428287715895
Position 8844: 0.11875872660665174
Position 1351: 0.09455618384052661
Position 2771: 0.0793210414168023
Position 9241: 0.07682474685506753
Position 2643: 0.07647902521289872
Position 22404: 0.07206527159456676
Position 40501: 0.06784252865437096
Position 37489: 0.0668828171357296
Position 760: 0.06357094517191844
Position 10712: 0.06310276271831035
Position 4659: 0.06260363208645287
Position 38807: 0.05756563601344126
Position 23592: 0.05735210539194946
Position 38944: 0.055897689694818724
Position 24051: 0.04815630547160225
Position 8377: 0.04785559428486429
Position 4915: 0.04266749573321992
Position 24813: 0.04258125922707422
Position 7746: 0.03931401116311729
Position 30377: 0.038364044473677576
Position 30091: 0.038106370271452146
Position 4944: 0.037603400712248505
Position 9868: 0.03687864671564971
Position 12315: 0.03439111218419435
Position 31073: 0.032823146285470096
Position 22899: 0.03142608593958907
Position 39843: 0.027982638442204152
Position 433: 0.026265433928868914
Position 3879: 0.025855581081678878
Position 4114: 0.02443601511514106
Position 43467: 0.024261096084716008
Position 24681: 0.022789959622549285
Position 30662: 0.022726588920863013
Position 38010: 0.02105374184325759
Position 30165: 0.020760563698182813
Position 39851: 0.02050617109805855
Position 10978: 0.01951768775597941
Position 6641: 0.019247727966672717
Position 30774: 0.01689073045421624
Position 14055: 0.01661816826867241
Position 5416: 0.015959811859602414
Position 42389: 0.01522148928376181
Position 32968: 0.014689037169328354
Position 37573: 0.013388850800524712
Position 2888: 0.012674085583069173
Position 2985: 0.012037876992448068
Position 1592: 0.01183010331686025
Position 4289: 0.011806135603329741
