Gene = CREBRF
index = 410
Annotated 5SS: [  128 24433 30275 35050 52467 54360 56028 66851]
Annotated 3SS: [24232 30148 33962 52271 54169 55953 66727 77277]
SMsplice 5SS: [  128  2009 24433 30275 42723 52467 54360 56028 66851]
SMsplice 3SS: [ 1916 24232 30148 42549 52271 54169 55953 66727 82469]
top_k =  1000
Partition function (log Z): -40.95880915536539

Sorted 5' Splice Sites (High to Low Probability):
Position 128: 0.9900294652939132
Position 2009: 0.821525572966479
Position 14713: 0.13856411119569675
Position 10087: 0.11574815812892739
Position 4157: 0.10273006410130857
Position 3738: 0.052563951391683336
Position 925: 0.04402641850696632
Position 6331: 0.028079126606029327
Position 1332: 0.021608661003517115
Position 10606: 0.021544296564983998
Position 529: 0.014984357021219126
Position 1828: 0.01354252344586129
Position 8184: 0.012137120626226773
Position 4538: 0.011482784080386155
Position 7863: 0.010314940987140633
Position 9434: 0.005773262900747823
Position 908: 0.0042858401775924
Position 1999: 0.0029359584746546366
Position 884: 0.0029344369704894574
Position 13686: 0.0028287286468149982
Position 1656: 0.0022986597468963995
Position 6673: 0.0019864427620463077
Position 10739: 0.0012125809756807922
Position 8937: 0.0011761997384288874
Position 10102: 0.0009712608492885325
Position 7297: 0.0009579439109783882
Position 3575: 0.0007153864776001657
Position 382: 0.0006169825204570998
Position 2724: 0.0005794294499428618
Position 1439: 0.00041889123595587264
Position 5908: 0.00037322324882474694
Position 972: 0.0003455808794710272
Position 314: 0.0003248551997890476
Position 1722: 0.0002826910122279596
Position 1131: 0.00023914144799338258
Position 1968: 0.0002096377090698802
Position 3148: 0.0002009505993251998
Position 4947: 0.00019245198636879042
Position 512: 0.00014698764160236806
Position 4300: 0.00012132206016670189
Position 3233: 0.00010653562096145934
Position 2113: 9.480390230008872e-05
Position 3192: 9.475770008666942e-05
Position 1956: 6.01163200257986e-05
Position 2051: 5.491019578582193e-05
Position 2413: 5.14205078064687e-05
Position 1622: 5.136945711787073e-05
Position 6249: 4.1438486538006625e-05
Position 1994: 4.0701919946433615e-05
Position 6963: 3.8803227794394805e-05
Position 2814: 3.160708929398263e-05
Position 872: 2.9837520089558296e-05
Position 1350: 2.83126367597841e-05
Position 691: 2.5443230650160707e-05
Position 406: 2.5335842534401852e-05
Position 3671: 2.430219195613816e-05
Position 593: 1.816429387636096e-05
Position 669: 1.777810171694378e-05
Position 1068: 1.5298724794826473e-05
Position 618: 1.4882873663352354e-05
Position 3008: 1.3740399596057216e-05
Position 947: 1.35101089843163e-05
Position 1763: 1.282569714634702e-05
Position 1720: 1.1352825243538565e-05
Position 4223: 1.095003705973991e-05
Position 3471: 1.0448890351302422e-05
Position 358: 8.945365946774985e-06
Position 2726: 8.48354214731669e-06
Position 3449: 8.312940545434924e-06
Position 916: 7.3407651523924785e-06
Position 438: 5.7002119299780635e-06
Position 1250: 5.448099839068559e-06
Position 1281: 5.422962639922588e-06
Position 1731: 4.019553173288869e-06
Position 1161: 2.512144214416185e-06
Position 277: 2.0850697424018315e-06
Position 1406: 2.0279142183478805e-06
Position 1401: 2.0187754996012107e-06
Position 1559: 1.9766675177613444e-06
Position 24: 1.9014858005424307e-06
Position 1456: 1.8845597776632228e-06
Position 1529: 1.5135335733703767e-06
Position 1390: 1.2396036587392312e-06
Position 1362: 9.1339632778101e-07
Position 976: 8.652174796016338e-07
Position 1555: 6.901018222074411e-07
Position 1749: 6.744449340641961e-07
