Gene = PCP4L1
index = 1004
Annotated 5SS: [  257 24996]
Annotated 3SS: [24940 25611]
SMsplice 5SS: [  257 24996 25317]
SMsplice 3SS: [24746 25212 25611]
top_k =  1000
Partition function (log Z): -17.16403019684725

Sorted 5' Splice Sites (High to Low Probability):
Position 257: 0.8423057288366067
Position 2436: 0.5085045289003605
Position 533: 0.3244958234336483
Position 782: 0.2827297495654415
Position 1066: 0.2120856733655341
Position 6857: 0.16304793916036026
Position 6518: 0.10156329308720587
Position 264: 0.057605791867360805
Position 10374: 0.05014774261191781
Position 1864: 0.03779790706353632
Position 642: 0.03342733021346832
Position 1158: 0.028448680694516393
Position 728: 0.027933099638710077
Position 530: 0.022463514729695093
Position 9743: 0.021954317866612002
Position 480: 0.014838878071332193
Position 1057: 0.01204611741143655
Position 130: 0.010174711155091302
Position 209: 0.008433848941790795
Position 2301: 0.004443559100772764
Position 2679: 0.0035543621719908393
Position 1704: 0.0030389776495153417
Position 4110: 0.0030074221394453134
Position 83: 0.0023761281229397464
Position 8602: 0.0020602662273040088
Position 2594: 0.001437584882663539
Position 137: 0.0011921070595135
Position 1052: 0.001032154258700644
Position 8532: 0.0010180403538009007
Position 4355: 0.0008645333070495632
Position 1831: 0.0007053420625963365
Position 1485: 0.0005737536373287262
Position 537: 0.0005666670251058333
Position 864: 0.000565660632377067
Position 3345: 0.0005421958498675072
Position 2308: 0.00040087546275393833
Position 1186: 0.00028852029268975824
Position 1162: 0.0002731314780353686
Position 305: 0.0002641482375848176
Position 3957: 0.0002519531064048128
Position 950: 0.00024609759738832633
Position 2390: 0.00020026308604285817
Position 1692: 0.000168233909868912
Position 754: 0.00013141303040389325
Position 1201: 7.310576046986664e-05
Position 38: 7.167122816969093e-05
Position 774: 6.551931011917738e-05
Position 501: 4.199644923631809e-05
Position 441: 3.816865640207272e-05
Position 941: 3.638939987173169e-05
Position 884: 3.1213319788701115e-05
Position 711: 1.9680632977685425e-05
Position 48: 1.7735215435444575e-05
Position 776: 1.5375611337153017e-05
Position 886: 1.2288657321724725e-05
Position 234: 1.2129229268346265e-05
Position 846: 1.1768238394016655e-05
Position 1108: 9.887703730287631e-06
Position 496: 9.516315321090446e-06
Position 881: 7.160281065410483e-06
