Gene = DLEC1
index = 449
Annotated 5SS: [  432  6489 20648 23164 23597 24715 45041 46243 47173 49184 53676 54563
 55867 56742 57533 58071 58433 58698 61221 68533 69311 70358 71077 72543
 73157 75256 75849 77454 77685 77896 78098 78407 78820 81405 82577 82990]
Annotated 3SS: [ 6337 20536 22963 23375 24635 44952 46068 47035 49090 53584 54399 55673
 56682 57363 57976 58301 58538 61080 68378 69199 70226 70893 72471 73004
 75136 75777 77247 77567 77769 78002 78321 78600 81242 82422 82865 83083]
SMsplice 5SS: [  432 10120 12322 20648 23164 45041 47173 49184 53676 58071 58433 58698
 61221 68533 69669 73157 75849 77685 77896 78820 82577 82990]
SMsplice 3SS: [10013 12188 20536 22963 44952 47035 49090 53584 57976 58301 58598 61080
 68378 69598 73066 75777 77409 77769 78706 82422 82865 83083]
top_k =  1000
Partition function (log Z): -33.71002784514782

Sorted 5' Splice Sites (High to Low Probability):
Position 432: 0.9716558368255598
Position 20648: 0.9634035367273902
Position 10120: 0.8189183315011208
Position 23164: 0.7349148456872912
Position 12322: 0.7167145508850512
Position 15645: 0.4757669519885438
Position 20005: 0.37802729263513735
Position 6489: 0.35277958688586136
Position 20911: 0.3214964351906638
Position 23597: 0.3193647179821327
Position 6868: 0.31671344853818967
Position 10776: 0.298685158892299
Position 19990: 0.20056512777678545
Position 11360: 0.16011927173601376
Position 10115: 0.1367171083436183
Position 19994: 0.11826191681163212
Position 27458: 0.08730018641257635
Position 9341: 0.08357857837500665
Position 8976: 0.08072141812319734
Position 22367: 0.07592872975969517
Position 7340: 0.0739032885038469
Position 9449: 0.06166143623544985
Position 10840: 0.06021620095710238
Position 24715: 0.054125974005680644
Position 6111: 0.04884754482286096
Position 15458: 0.0476158070820134
Position 15286: 0.046993547407307434
Position 6662: 0.04319873150028897
Position 28187: 0.03353366000563844
Position 8761: 0.027767855627511415
Position 12964: 0.024569299987205067
Position 2429: 0.02289793335915589
Position 506: 0.022353132303120162
Position 11332: 0.021806685769548122
Position 13443: 0.01945755380096514
Position 6290: 0.019379231154368983
Position 13407: 0.017376356157388237
Position 8791: 0.01684590505541392
Position 7150: 0.016581361908060394
Position 8803: 0.01604066005271956
Position 17939: 0.016022092194263045
Position 4122: 0.014003139320926582
Position 16500: 0.013436873029820169
Position 7870: 0.013384742670532784
Position 7874: 0.013335851682069404
Position 1249: 0.012382376272661722
Position 13519: 0.012299043739783862
Position 10092: 0.011656064714738918
Position 21096: 0.010899257163208128
Position 16256: 0.00888022111159208
Position 17850: 0.007476965501381802
Position 4133: 0.007232194602683051
Position 6899: 0.006856462405643049
Position 15486: 0.006731448136245997
Position 1778: 0.006440285601422167
Position 19746: 0.006339599465883706
Position 8713: 0.005908083122667241
Position 2216: 0.005857151211355353
Position 21086: 0.005660365001866681
Position 9640: 0.005631672533770501
Position 7200: 0.005523438283572646
Position 6884: 0.005155424917746259
Position 6478: 0.004960173585270791
Position 9426: 0.004347971793926999
Position 15607: 0.003640884366588994
Position 116: 0.0034454496498876976
Position 464: 0.003129683175029165
Position 6264: 0.0030844771888512874
Position 22564: 0.0029170611727399394
Position 22838: 0.0028049154254280156
Position 6668: 0.0024786634366496083
Position 89: 0.0018870869850777358
Position 357: 0.0016175247370815821
Position 1283: 0.0013249659336713711
Position 25123: 0.0013218240230294406
Position 24513: 0.0012848898246312003
Position 640: 0.001165027909699772
Position 4221: 0.001150058282376978
Position 4652: 0.0010980048107422336
Position 1000: 0.0010234059606210528
Position 50: 0.000790292651365186
Position 8527: 0.0007791638337531848
Position 2530: 0.0006805393184747623
Position 4478: 0.0006629597374602471
Position 3630: 0.0006380237902389065
Position 5926: 0.0005998074014610443
Position 3805: 0.00027914956323010467
Position 146: 0.0002531310385113001
Position 23088: 0.00022820104468324412
Position 5123: 0.00022467078368491547
Position 14829: 0.00017058349515069855
Position 8101: 0.00014750892653936495
Position 8626: 0.0001451009844185182
Position 7724: 0.00011364769760466996
Position 9000: 5.5133378741364757e-05
Position 6927: 4.289175729043595e-05
Position 155: 2.3430426569484733e-05
Position 21069: 2.1162125732866506e-05
Position 7271: 1.2825530765151419e-05
Position 7386: 1.0330207772138755e-05
Position 410: 1.0090558590897709e-05
Position 6473: 1.0018771723714507e-05
Position 4194: 9.871086180914267e-06
Position 491: 7.242614391116701e-06
