Gene = LZTFL1
index = 810
Annotated 5SS: [  178  4240  6577  7929  9117 11094 11254 13728 14811]
Annotated 3SS: [ 4114  6381  7867  9044 11027 11175 13550 14706 15833]
SMsplice 5SS: [  178  6577  7929  9117 11094 11254 13728 14811]
SMsplice 3SS: [ 6381  7867  9044 11027 11175 13607 14706 15833]
top_k =  1000
Partition function (log Z): -1.3066760595877485

Sorted 5' Splice Sites (High to Low Probability):
Position 11094: 0.9614193772516967
Position 13728: 0.8762532197278551
Position 14811: 0.86110349455137
Position 7929: 0.7641099806236874
Position 6577: 0.7328541581734551
Position 11254: 0.5752760495445366
Position 9117: 0.5595095978640422
Position 4240: 0.5034781108765851
Position 178: 0.4691318485548185
Position 472: 0.4339691405815819
Position 12999: 0.3879793289249429
Position 9196: 0.30447639423681516
Position 17538: 0.22782810374646634
Position 5656: 0.1724565166335607
Position 2539: 0.15016823538920446
Position 18694: 0.14927911621512632
Position 7287: 0.10320477678543946
Position 9327: 0.09887522662838709
Position 9393: 0.0665463002565622
Position 6535: 0.06598358028063356
Position 10426: 0.0625136148911492
Position 1850: 0.058592175081416155
Position 5218: 0.05775917056994723
Position 709: 0.042354673925665234
Position 6862: 0.03992571873943893
Position 11418: 0.038883794643725475
Position 250: 0.03777322771957708
Position 11551: 0.03224789869015287
Position 3588: 0.031817342383976197
Position 9454: 0.031337943008962206
Position 1716: 0.026850107861855668
Position 6035: 0.025674489009875227
Position 13386: 0.024964396700589437
Position 2699: 0.024435575460048778
Position 15494: 0.023356161935657965
Position 13850: 0.022489232344774346
Position 4291: 0.018873583485225272
Position 2202: 0.016731471982536363
Position 10191: 0.015423099791525672
Position 11844: 0.013267300478872819
Position 2182: 0.012323199671176321
Position 10344: 0.012105055219468239
Position 508: 0.011765490772202451
Position 4789: 0.011722501008403443
Position 367: 0.011483701679677862
Position 6633: 0.010787866038252302
Position 15915: 0.01025841587665744
Position 7665: 0.010125453103942262
Position 1239: 0.009121322693677311
Position 998: 0.008798046194133902
Position 1302: 0.008703396867113985
Position 9207: 0.007859926216766094
Position 6453: 0.007349334788917257
Position 6057: 0.007174688053841463
Position 8294: 0.007158869234248733
Position 2907: 0.0063998825291348375
Position 10126: 0.006124246306347682
Position 15579: 0.006014455922751109
Position 6458: 0.005972469248217079
Position 8955: 0.005585938436994483
Position 4298: 0.004826189253817671
Position 10340: 0.0047166789883083945
Position 13254: 0.004557714116024977
Position 7088: 0.004512097268972138
Position 3716: 0.003995182590125295
Position 7004: 0.0038276101152426812
Position 3856: 0.003638318061723164
Position 18609: 0.003601658828114695
Position 3966: 0.003246467154284083
Position 640: 0.0029137630335650364
