Gene = SSNA1
index = 1340
Annotated 5SS: [132 619]
Annotated 3SS: [ 418 1159]
SMsplice 5SS: [158 505]
SMsplice 3SS: [ 418 1159]
top_k =  1000
Partition function (log Z): -4.318456763901773

Sorted 5' Splice Sites (High to Low Probability):
Position 158: 0.6634083986139151
Position 505: 0.654987494973504
Position 619: 0.3100018093504813
Position 132: 0.28910638216282203
Position 268: 0.01809918404995791
Position 1123: 0.01571799230676831
Position 1072: 0.014150972263362076
Position 1496: 0.011944836792651311
Position 1245: 0.011094047049705884
Position 130: 0.010791991883564871
Position 1088: 0.007342082020142285
Position 1381: 0.006833686244100674
Position 266: 0.003794056825060382
Position 1397: 0.002748958438507604
Position 324: 0.002614260774920452
Position 1321: 0.0019195887963330551
Position 968: 0.001791477530443845
Position 125: 0.0017887928407618596
Position 180: 0.001588298231580407
Position 1485: 0.0015074845806409408
Position 47: 0.0010855151496219537
Position 894: 0.0009779796832554367
Position 56: 0.0006849836198764455
Position 199: 0.0004480012810360964
Position 1294: 0.0004218890936351761
Position 321: 0.0003498452349018543
Position 1296: 0.0002344051038808396
Position 347: 0.00022790742907223226
Position 576: 0.00011110376410160223
Position 1086: 5.825058812501756e-05
Position 948: 3.490650157639101e-05
Position 53: 2.8742813047815627e-05
Position 1323: 2.8227963222724075e-05
Position 13: 2.293263059875517e-05
Position 668: 1.7668902583460284e-05
Position 959: 5.834143940812972e-06
Position 719: 5.0279016320316085e-06
Position 686: 4.882828991139721e-06
Position 10: 4.612158033755006e-06
Position 863: 4.337621406451833e-06
Position 535: 3.970340643944998e-06
Position 882: 3.832253415562384e-06
Position 798: 3.685406863296111e-06
Position 712: 3.474001695536019e-06
Position 848: 3.06092198032101e-06
Position 866: 2.9727005485599292e-06
Position 1450: 2.7289134286423735e-06
Position 1003: 1.884165183664589e-06
Position 73: 1.037342483770168e-06
Position 252: 9.961713916946083e-07
Position 272: 3.777064770800003e-07
Position 792: 2.5174056057649313e-07
Position 923: 1.7258034060689605e-07
Position 837: 1.4490873619001303e-07
Position 831: 1.404385037591766e-07
Position 786: 1.3934004212635153e-07
Position 810: 1.3414559814076185e-07
Position 806: 1.1627837298091106e-07
Position 880: 7.92105992271033e-08
Position 961: 6.121883804030864e-08
Position 670: 2.7295809230539826e-08
Position 723: 2.4158486995588924e-08
Position 453: 2.1011726889538786e-08
Position 1011: 6.749149354460975e-09
Position 754: 6.044733386880729e-10
Position 432: 9.929162409112061e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 418: 0.9770139565175212
Position 1159: 0.712744941782745
Position 1042: 0.15951000577113872
Position 1380: 0.039338331152543767
Position 1306: 0.02982123033657563
Position 1603: 0.02727807826724742
Position 858: 0.017611215266964568
Position 396: 0.012186420817723772
Position 880: 0.011622422367700848
Position 1355: 0.008858969235611181
Position 1011: 0.008337169074186735
Position 1548: 0.006690158717750144
Position 1122: 0.006206682257128464
Position 1657: 0.004456466330688438
Position 1058: 0.002371470995220476
Position 1358: 0.0021338115831586375
Position 1472: 0.0016701174045451383
Position 746: 0.0009009399480578056
Position 1720: 0.0008878348555369299
Position 1671: 0.0007538999577131673
Position 1188: 0.0006049319187920617
Position 1607: 0.0004886118254419286
Position 972: 0.00036146488419665636
Position 1705: 0.0003583470099687396
Position 462: 0.00033103301395068994
Position 424: 0.00026812220221093813
Position 1610: 0.0002258065695904734
Position 468: 0.0002237403444688595
Position 1419: 0.00022342776289713576
Position 576: 0.0002202188695632268
Position 1495: 0.00020818590000433026
Position 1198: 0.00017570449191651636
Position 719: 0.00015852149701312928
Position 194: 0.00015036931181515445
Position 934: 0.00014838731078197873
Position 1108: 0.00010927817841212907
Position 298: 9.455477406657237e-05
Position 1332: 9.42764578552457e-05
Position 1311: 7.559487173649897e-05
Position 1282: 7.492110043023644e-05
Position 1205: 7.437555013457256e-05
Position 1097: 6.621584227830675e-05
Position 904: 6.033862644117261e-05
Position 779: 5.878805717387285e-05
Position 887: 5.2472546859275306e-05
Position 498: 4.739718039789579e-05
Position 618: 4.7121073742512495e-05
Position 1396: 4.4823168548678176e-05
Position 1222: 4.216412357120903e-05
Position 1067: 3.584042130448562e-05
Position 597: 3.5174187285942274e-05
Position 683: 3.42135613879383e-05
Position 1229: 3.312126580280122e-05
Position 1552: 3.3097556449510715e-05
Position 771: 2.831628113767346e-05
Position 260: 2.570614941573954e-05
Position 558: 2.5208660540570046e-05
Position 1071: 2.4407585137650283e-05
Position 752: 2.2761152954540168e-05
Position 1200: 1.9691686276065732e-05
Position 243: 1.9422101898868122e-05
Position 923: 1.5432218954393195e-05
Position 946: 1.5376952169917358e-05
Position 913: 1.3530502161092435e-05
Position 1263: 1.3043201547529383e-05
Position 988: 1.0571120181331193e-05
Position 1177: 1.0244666687575923e-05
Position 353: 1.0064395136280033e-05
Position 1078: 9.094147853596369e-06
Position 441: 8.609049437455638e-06
Position 986: 8.566404188170649e-06
Position 893: 7.75960405673959e-06
Position 1317: 7.5796603738200615e-06
Position 690: 6.398022523047028e-06
Position 438: 6.102266803962379e-06
Position 1235: 6.007158595127906e-06
Position 543: 5.129196524041853e-06
Position 953: 4.81914369982042e-06
Position 1500: 4.196366465525691e-06
Position 959: 3.847706631056063e-06
Position 603: 3.606525494936248e-06
Position 513: 3.006067076842395e-06
Position 1257: 2.5835557787140738e-06
