Gene = WARS2
index = 1555
Annotated 5SS: [   117  64322  95090  98408 106577]
Annotated 3SS: [ 64063  95008  98321 106457 107311]
SMsplice 5SS: [   117    404   4200  12285  16073  48041  64151  64322  72790  90727
  95090  98408 106577]
SMsplice 3SS: [   212   4005  12140  15987  47957  64063  64223  72689  90615  95008
  98321 106457 108700]
top_k =  1000
Partition function (log Z): -43.02416784016413

Sorted 5' Splice Sites (High to Low Probability):
Position 4200: 0.9958647514930681
Position 117: 0.9903439907194854
Position 16073: 0.9885324466981424
Position 404: 0.9776811279584783
Position 12285: 0.7362513243724194
Position 13469: 0.5729834336729004
Position 13863: 0.44489655695415214
Position 3894: 0.4105226469953438
Position 3810: 0.16725370811405493
Position 8201: 0.15367052393347114
Position 9767: 0.11537936823407403
Position 7109: 0.059406513236794786
Position 5042: 0.05050949738064538
Position 14041: 0.04915977039005386
Position 24236: 0.047685887314161575
Position 3040: 0.04197685043252683
Position 2382: 0.04156775301511716
Position 21486: 0.0393128667009812
Position 3136: 0.035734908502227214
Position 7849: 0.033888773598162295
Position 1457: 0.027210881100740585
Position 969: 0.025944471250547805
Position 11414: 0.02577944996801635
Position 743: 0.023693781026116797
Position 7602: 0.02114173489834944
Position 18560: 0.018778526768440208
Position 9724: 0.012912531274604329
Position 19670: 0.012239003239484313
Position 18924: 0.012192939001873413
Position 3715: 0.008883988548115316
Position 5460: 0.00874159886987356
Position 311: 0.0061398000262708275
Position 10250: 0.005830828828695315
Position 3906: 0.004862947075292634
Position 55: 0.00416546275340864
Position 1906: 0.00407062271918452
Position 18528: 0.004048609539511483
Position 19043: 0.003226015069601403
Position 2936: 0.0029147693589176567
Position 13785: 0.0025027448480079333
Position 3033: 0.002488113270252985
Position 3855: 0.002390014159587614
Position 19536: 0.0021388024040734617
Position 2614: 0.0021024754149078285
Position 16716: 0.001994849853337001
Position 19748: 0.0019274322484434613
Position 1072: 0.0017572500947487595
Position 3832: 0.001526439231634847
Position 19344: 0.0014430069945846565
Position 19009: 0.0013359522393965465
Position 16480: 0.001247740818651119
Position 5165: 0.0011022234791618498
Position 6475: 0.0010817241981412066
Position 15128: 0.0008920250756440184
Position 1267: 0.000822802544115286
Position 3682: 0.0007715464596209514
Position 18317: 0.0007535185650293209
Position 6858: 0.0007438348029140905
Position 767: 0.0007044536870903392
Position 19674: 0.0006925255982366857
Position 4396: 0.0005694238428032685
Position 756: 0.0005522499337246704
Position 16109: 0.0005225721098062538
Position 162: 0.000520972114181806
Position 421: 0.00044522600792257374
Position 18797: 0.0004150776559616149
Position 4060: 0.0003923937086407833
Position 3850: 0.0003907281112905855
Position 19744: 0.00033462853887010144
Position 7616: 0.0002967244892762684
Position 18322: 0.0002713094006129894
Position 820: 0.00022132004676306537
Position 3510: 0.0002197556074054589
Position 2068: 0.00020806082103854548
Position 2386: 0.00019910481283688889
Position 2998: 0.00018685647353947218
Position 6607: 0.00012269655138503894
Position 5144: 8.907817992642344e-05
Position 6124: 7.894574416388959e-05
Position 8641: 7.086133754168007e-05
Position 4461: 6.162054444999238e-05
Position 4157: 5.204038599073297e-05
Position 17239: 4.3012871610748136e-05
Position 440: 3.8154355912180445e-05
Position 6602: 3.699245874216488e-05
Position 8978: 3.591182064211655e-05
Position 297: 3.432118931073045e-05
Position 5930: 3.431849173426939e-05
Position 4524: 3.1230579412557834e-05
Position 7534: 2.1166074528010628e-05
Position 1010: 2.1129868023798612e-05
Position 956: 1.676661664268755e-05
Position 4430: 1.6599045094703353e-05
Position 4655: 1.6107516350974117e-05
Position 7729: 1.4698752891399114e-05
Position 2668: 1.3785419389367475e-05
Position 574: 1.179436282563546e-05
Position 2779: 1.1489467970056594e-05
Position 419: 1.0806387838321732e-05
Position 241: 8.174181588062278e-06
Position 276: 7.58875117176863e-06
Position 1197: 6.581387120890584e-06
Position 876: 4.984544258608911e-06
Position 2142: 4.394978409003151e-06
Position 1349: 4.005868271930677e-06
Position 1897: 2.5238221467645175e-06
Position 1014: 2.4349947707196047e-06
Position 218: 2.2995317627128206e-06
Position 10181: 2.089086715027413e-06
Position 1925: 1.888155431320228e-06
Position 1964: 1.8541014447058695e-06
Position 9846: 1.733625052681475e-06
Position 693: 1.400272602294356e-06
Position 305: 1.3815936524955622e-06
Position 5908: 1.3655314808299156e-06
Position 1912: 1.3264300472822843e-06
Position 5739: 1.2916054141912484e-06
Position 1715: 1.2027095897762656e-06
Position 6550: 1.1380236380146515e-06
Position 1849: 1.1349305307530675e-06
Position 1807: 8.192590816627768e-07
Position 586: 7.149665412204269e-07
Position 1979: 6.271290830349875e-07
Position 1083: 5.323984543598423e-07
Position 2037: 5.174912624521533e-07
Position 1452: 4.963066553320981e-07
Position 319: 4.4945034646791744e-07
Position 561: 3.069823417729755e-07
Position 363: 2.810995611333276e-07
Position 527: 2.7958581603521407e-07
Position 279: 2.6775990533750407e-07
Position 426: 2.3249538379427034e-07
Position 467: 1.8999315345849014e-07
Position 1729: 1.551576362136977e-07
Position 1090: 1.07368852433463e-07
Position 1515: 1.0529336750909057e-07
Position 725: 9.105682348031965e-08
Position 4129: 9.032418387503123e-08
Position 535: 8.950124814619e-08
Position 600: 8.868313460359446e-08
Position 1016: 7.959812671806857e-08
Position 782: 7.677177271662444e-08
Position 259: 6.82803009501944e-08
Position 4196: 5.846911098846099e-08
Position 540: 3.904902675617759e-08
Position 4231: 3.790562968402388e-08
Position 388: 2.072378276246295e-08
Position 464: 1.6662063043713088e-08
Position 740: 1.3796268669743124e-08
Position 672: 1.0996816697327539e-08
Position 5518: 5.155296751636865e-09
Position 583: 1.056359767858687e-09
Position 4484: 9.969455392828406e-10
Position 478: 5.918620947270984e-10
Position 443: 4.907013980657869e-10
Position 581: 3.382797756749814e-10
Position 598: 2.9857517555336535e-10
Position 249: 7.880477357304877e-11
Position 284: 1.10828743382024e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 15987: 0.9671861387125762
Position 4005: 0.876974321185698
Position 212: 0.874613610130841
Position 12140: 0.7363696438169799
Position 3741: 0.5130444109397754
Position 13375: 0.37079523426485184
Position 13817: 0.2065938832480388
Position 13334: 0.2022298699195138
Position 13784: 0.14980212946837532
Position 19535: 0.14260811388449518
Position 25948: 0.13729727833269062
Position 26251: 0.12693433843587898
Position 13604: 0.09953718505120991
Position 20667: 0.08981234510344882
Position 9625: 0.07992067119041436
Position 8110: 0.07393670780044914
Position 240: 0.07162881568683134
Position 22804: 0.06669293130479799
Position 2935: 0.06330187008177533
Position 3580: 0.06090705946412209
Position 4103: 0.06030553529957093
Position 8063: 0.05703917162561081
Position 4996: 0.05158172761520686
Position 27280: 0.0475170863298867
Position 26207: 0.04632129951901003
Position 9671: 0.0452761610713432
Position 7402: 0.04062368309574121
Position 6976: 0.03955947945742281
Position 21379: 0.03774602778896439
Position 3951: 0.03749458096068718
Position 13975: 0.03565726710999028
Position 24146: 0.03278586126054784
Position 22000: 0.025372553172806275
Position 20711: 0.024267417253124198
Position 11363: 0.024081659231454316
Position 2295: 0.023791825106524493
Position 18912: 0.0236086804140231
Position 642: 0.02339556295590492
Position 15648: 0.022061954120414576
Position 272: 0.01996074920963804
Position 18443: 0.019419164144864973
Position 26130: 0.017789888113858808
Position 26402: 0.017035588740910504
Position 2173: 0.016242044346493532
Position 24014: 0.016162795146830774
Position 22544: 0.015947851639699726
Position 24864: 0.01305422589339959
Position 24055: 0.013039644187703574
Position 3714: 0.012605725406648264
Position 21402: 0.0113691014543535
Position 363: 0.011116538102561692
Position 8060: 0.011055516894345736
Position 21731: 0.011013214662938961
Position 25286: 0.010578776727909658
Position 6959: 0.010508780852184334
