Gene = BTLA
index = 148
Annotated 5SS: [  291 20107 28350 29804]
Annotated 3SS: [19791 28205 29756 33177]
SMsplice 5SS: [  291 20107 29804]
SMsplice 3SS: [19791 29756 33177]
top_k =  1000
Partition function (log Z): -17.519287986028324

Sorted 5' Splice Sites (High to Low Probability):
Position 20107: 0.9890451180672332
Position 291: 0.974252245999525
Position 29804: 0.8711684761428578
Position 10099: 0.24150659999212326
Position 2314: 0.12582855519919425
Position 2086: 0.10853529755753606
Position 9522: 0.06819518576882781
Position 113: 0.01688375080119086
Position 117: 0.0047795715382575425
Position 1638: 0.001037928131118081
Position 539: 0.0009862339767334248
Position 308: 0.000950231385755087
Position 691: 0.0005573086438824095
Position 396: 0.0002946313196500972
Position 1885: 0.00024262610752301628
Position 392: 0.00015866634581347615
Position 791: 8.497248917362636e-05
Position 2344: 7.20112527419315e-05
Position 4179: 4.082612551050852e-05
Position 194: 3.7691325368953116e-05
Position 369: 3.687682697887375e-05
Position 4721: 2.744365656907038e-05
Position 573: 2.6456949420024836e-05
Position 2239: 2.6104058717353722e-05
Position 3186: 2.4699715998485167e-05
Position 1106: 2.354594099621876e-05
Position 2603: 2.197024910047321e-05
Position 2297: 1.9075348682754016e-05
Position 2081: 1.7336804690681233e-05
Position 9729: 1.649429102387275e-05
Position 2351: 1.3219460647342306e-05
Position 7874: 1.2189934839442505e-05
Position 2338: 9.048523963037302e-06
Position 1847: 8.727299945693765e-06
Position 9444: 7.208646707432167e-06
Position 10141: 5.658445784648014e-06
Position 1456: 5.429030532157143e-06
Position 248: 3.552593352314605e-06
Position 5343: 3.3562867200744682e-06
Position 3167: 3.3056479686208566e-06
Position 3472: 2.9741639780871413e-06
Position 3575: 2.5312202465140007e-06
Position 3411: 2.494896401366143e-06
Position 1669: 1.7112359524911955e-06
Position 5059: 1.5019990522033384e-06
Position 7149: 1.4872662597288179e-06
Position 2131: 1.2405916054587134e-06
Position 6289: 1.2340707015584449e-06
Position 1206: 8.098449757517165e-07
Position 1759: 5.929333368323087e-07
Position 1232: 4.600887756837295e-07
Position 2109: 2.9885889820960496e-07
Position 1596: 2.551677689711072e-07
