Gene = RP11-322N21.2
index = 1167
Annotated 5SS: [251]
Annotated 3SS: [848]
SMsplice 5SS: [251]
SMsplice 3SS: [848]
top_k =  1000
Partition function (log Z): -9.901371418432493

Sorted 5' Splice Sites (High to Low Probability):
Position 251: 0.7396497793393733
Position 74: 0.19820085065293705
Position 197: 0.027191014970749616
Position 267: 0.022186870591405023
Position 371: 0.009354625421191462
Position 403: 0.003494412605972883
Position 277: 0.0023422803383125403
Position 763: 0.0018735730634409139
Position 25: 0.0009546695951827319
Position 149: 0.0007660703657665982
Position 310: 0.000326111076097049
Position 530: 0.00024400433141169545
Position 140: 0.00011912145479726917
Position 116: 0.00010624219341448396
Position 565: 8.931430413902761e-05
Position 719: 5.5593621821160394e-05
Position 229: 5.396142832228429e-05
Position 231: 3.6602207959438684e-05
Position 524: 1.2617026110993838e-05
Position 108: 8.182479573186248e-06
Position 615: 7.752834454643052e-06
Position 282: 7.293152036616948e-06
Position 634: 6.340041894305607e-06
Position 164: 6.080460230007119e-06
Position 114: 4.783005482517866e-06
Position 449: 2.6001416073204852e-06
Position 666: 2.240334134539001e-06
Position 452: 1.0971237280899711e-06
Position 639: 9.303264457523993e-07
Position 328: 6.791483826547014e-07
Position 315: 6.373639877879159e-07
Position 583: 1.8260964441813215e-07
Position 848: 2.9227213665176584e-08
Position 29: 1.4256146755026962e-08
Position 53: 3.829296962876126e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 848: 0.8890149225576542
Position 644: 0.0471457224249575
Position 892: 0.019132983214631066
Position 947: 0.014758657479699414
Position 855: 0.007218268632294858
Position 674: 0.005553904186416247
Position 354: 0.004381176576718617
Position 895: 0.0039288190583599185
Position 188: 0.003586042004719546
Position 295: 0.002009795324697547
Position 138: 0.0014869782830108293
Position 161: 0.0013041384603423708
Position 708: 0.001226126140977183
Position 348: 0.0009842310848396094
Position 104: 0.0007383261916075884
Position 164: 0.0006310759829183092
Position 559: 0.0006296802536634656
Position 864: 0.0005252337829235718
Position 523: 0.00029089554592378724
Position 521: 0.0002346629428818618
Position 304: 0.00023390104720813113
Position 148: 0.00021859339913727732
Position 468: 0.00021408602759933996
Position 728: 0.00021082473265931454
Position 517: 0.00019419848062394502
Position 655: 0.00017475643415112494
Position 250: 0.00016035661733073114
Position 719: 0.00012496495088007572
Position 759: 0.00010120575256443008
Position 571: 8.608960251129413e-05
Position 739: 5.900260913341676e-05
Position 803: 5.523249056061994e-05
Position 362: 4.779433704457213e-05
Position 978: 4.656505110642941e-05
Position 442: 4.424834131256951e-05
Position 590: 3.74270091602178e-05
Position 474: 3.668494244956655e-05
Position 609: 3.6124985174949054e-05
Position 761: 3.4660566611150194e-05
Position 229: 3.3365092904127184e-05
Position 275: 2.728435809122747e-05
Position 792: 1.735410015008269e-05
Position 169: 1.5967343908775794e-05
Position 577: 1.329162756239128e-05
Position 756: 1.2063932714127565e-05
Position 297: 9.460654591830878e-06
Position 491: 8.726482465925127e-06
Position 786: 8.547113459441281e-06
Position 495: 8.217844362103778e-06
Position 905: 7.681378840401515e-06
Position 902: 7.410980906674036e-06
Position 370: 6.967768740782952e-06
Position 384: 5.864469684440071e-06
Position 530: 3.959342688663878e-06
Position 114: 3.901639891448137e-06
Position 255: 3.6701646187519745e-06
Position 119: 2.5724051856922222e-06
Position 485: 2.5560509449529518e-06
Position 375: 1.6839163851712041e-06
Position 788: 1.666467936373403e-06
Position 89: 1.5518729668321295e-06
Position 125: 1.3979866185706003e-06
Position 615: 1.132728868773167e-06
Position 611: 7.188423456231942e-07
Position 917: 2.5997700259996075e-07
Position 914: 1.858888194658192e-07
Position 498: 1.836324688034779e-07
Position 620: 1.6339107716688563e-07
Position 378: 1.2730513437529843e-07
Position 909: 9.116225275342941e-08
Position 128: 7.473079845923453e-08
Position 539: 5.503000333424936e-08
Position 772: 4.374994513108806e-08
Position 259: 1.1627780761118514e-10
Position 271: 4.012349097830618e-11
