Gene = CMSS1
index = 383
Annotated 5SS: [   210 329228 342668 344599 348561 350007 354066 354570 358582]
Annotated 3SS: [329138 342595 344468 348500 349903 354004 354481 358492 360470]
SMsplice 5SS: [   210  20406  27115  32901  49336  63279 111180 111444 116768 130194
 144325 186316 201952 207725 230566 251933 284696 291496 295677 296774
 296967 297165 307971 329228 342668 344599 350015 354066 354570 358582]
SMsplice 3SS: [ 20290  27036  32791  49166  63168 111068 111303 116647 130092 144212
 186196 201860 207622 230501 251811 284651 291353 295523 296535 296864
 297100 307814 329138 342595 344468 349903 354004 354481 358492 360470]
top_k =  1000
Partition function (log Z): -174.83785388200096

Sorted 5' Splice Sites (High to Low Probability):
Position 210: 0.9909635062202137
Position 1688: 0.2876242144468457
Position 2736: 0.21162135748761235
Position 8966: 0.18022258484362458
Position 9220: 0.15159561669877367
Position 5227: 0.12499592714043782
Position 9636: 0.11586912830745952
Position 3454: 0.11254480997559865
Position 1319: 0.10562559953857921
Position 8791: 0.08815811278651185
Position 1351: 0.06510749973874275
Position 4597: 0.06021155319275171
Position 8087: 0.035222530360952804
Position 3744: 0.03317164305449171
Position 9638: 0.026699124176736852
Position 10254: 0.019691969763658203
Position 8221: 0.008404237654215416
Position 3431: 0.007688367186300082
Position 3499: 0.006345652746737741
Position 1769: 0.005262927915358377
Position 552: 0.005142683755673361
Position 3297: 0.004479665750532072
Position 3981: 0.004157019863002145
Position 13732: 0.0036999640050791325
Position 7785: 0.0033744796281814237
Position 9013: 0.002515585760864896
Position 3427: 0.0023207853263519074
Position 2986: 0.0017794732490537752
Position 696: 0.0015983534391855677
Position 744: 0.0015198316260106176
Position 4071: 0.001293496771520818
Position 886: 0.0010562456982254652
Position 172: 0.0010437380461912106
Position 1306: 0.0008213791868048402
Position 2641: 0.0008164854335384955
Position 1018: 0.0007974903378093879
Position 1447: 0.0007457190746357325
Position 312: 0.000742345814888915
Position 1126: 0.0004458642864205397
Position 3150: 0.00040828890026906517
Position 677: 0.00036373888801679113
Position 1790: 0.0003606121174792025
Position 1731: 0.000282157875729037
Position 705: 0.00022156268853942276
Position 1713: 0.00021116290368228485
Position 1621: 0.0001574013473329078
Position 260: 0.00014245605949618386
Position 1792: 0.00013718129927493526
Position 355: 0.00013276743180137544
Position 1614: 0.0001149994895262086
Position 2064: 0.00011058839662842497
Position 1023: 8.849825936137425e-05
Position 1864: 8.65029867414564e-05
Position 1103: 7.7985204759374e-05
Position 295: 7.718544559893865e-05
Position 1852: 6.84946955853563e-05
Position 1099: 6.81610441343605e-05
Position 84: 6.513824551435658e-05
Position 1204: 6.288076980964833e-05
Position 1028: 5.646457036409197e-05
Position 128: 4.8722565644872276e-05
Position 940: 4.767316493349007e-05
Position 512: 4.315429969638369e-05
Position 276: 3.759673927497514e-05
Position 641: 1.8826658864631472e-05
Position 605: 1.8823854462059768e-05
Position 618: 1.74104234984608e-05
