Gene = RECK
index = 1127
Annotated 5SS: [  666 15891 22469 23723 27448 29192 44206 47130 51529 54911 64111 65798
 68851 71732 73647 76044 80745 82535 84304 85256]
Annotated 3SS: [15831 22393 23685 27361 29143 44171 46931 51260 54730 63897 65660 68709
 71542 73523 75871 80551 82323 84229 85099 86390]
SMsplice 5SS: [  201 15891 22469 27448 28265 29192 30438 32139 47130 48916 51372 54911
 64111 65798 68851 71732 73647 74484 76044 80745 82535 84104 84304 85256
 86496]
SMsplice 3SS: [15831 22355 27361 28131 29143 30355 32015 46931 48832 51260 54730 63897
 65660 68709 71542 73523 74343 75871 80551 82323 83873 84229 85099 86390
 87035]
top_k =  1000
Partition function (log Z): -46.213389061794814

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.5376502326211969
Position 15891: 0.4128657976205139
Position 366: 0.33394013365111586
Position 4474: 0.31379259923844677
Position 594: 0.26153321618905745
Position 7394: 0.1533529062427588
Position 1106: 0.1027349327902258
Position 1846: 0.07955632145542818
Position 1875: 0.0411009980697127
Position 173: 0.03829213170745275
Position 666: 0.034168117265339706
Position 116: 0.031066905037832358
Position 1048: 0.028203771631505278
Position 9305: 0.026037487789137365
Position 5524: 0.024154947956631423
Position 196: 0.01603584825882786
Position 3902: 0.005719987700156181
Position 1137: 0.00566192698575581
Position 7663: 0.004502254896228006
Position 394: 0.004371388579512475
Position 3278: 0.00407856839434225
Position 3031: 0.003967070158983688
Position 68: 0.0037973631683395005
Position 1337: 0.003166563363350605
Position 839: 0.0031096552897833993
Position 408: 0.0026154190971703797
Position 3643: 0.002411029665277334
Position 142: 0.0012684813896351181
Position 1891: 0.001220442554036134
Position 3785: 0.0009559313094993021
Position 5463: 0.0009016200550892188
Position 2662: 0.0008799419310961336
Position 1003: 0.0008573525143878546
Position 3940: 0.0008303238511823331
Position 2100: 0.0007821015435118033
Position 3477: 0.0007372250185933528
Position 50: 0.0007340964324196465
Position 3840: 0.0006591721091412467
Position 3015: 0.0006336079069795999
Position 750: 0.0006291026682535968
Position 3740: 0.0005812913705759403
Position 875: 0.00030980626094735355
Position 104: 0.000245862411017525
Position 252: 0.00024387488886974914
Position 688: 0.00023048288524262482
Position 884: 0.00018075137254743877
Position 243: 0.00012373206338649247
Position 1174: 0.00012172546809034274
Position 7176: 0.00011999490984170105
Position 2217: 0.00011842061328278837
Position 2873: 0.00010937786489945905
Position 801: 0.00010297652284015875
Position 306: 9.504153105664193e-05
Position 1414: 9.357265881207891e-05
Position 342: 9.274668550995808e-05
Position 897: 8.690043698357916e-05
Position 635: 6.715999199674493e-05
Position 972: 6.492107495999307e-05
Position 1349: 5.1541703778319774e-05
Position 575: 4.497599271562933e-05
Position 1367: 3.017355906412943e-05
Position 822: 1.899993808457737e-05
Position 186: 1.833656185455396e-05
Position 526: 1.2760228977601333e-05
Position 205: 8.470325198546187e-06
Position 80: 7.795622255495883e-06
Position 626: 7.517348466865139e-06
Position 1052: 7.066839393322518e-06
Position 1608: 6.434397480078386e-06
Position 670: 5.9441207003361794e-06
Position 778: 5.7791593371072715e-06
Position 1141: 4.761555614722694e-06
Position 1119: 4.742969346884435e-06
Position 495: 4.5005610428636455e-06
Position 1259: 4.360115513453951e-06
Position 184: 3.6554539976992785e-06
Position 314: 1.5531659059890409e-06
Position 660: 1.4205981894042203e-06
Position 11: 1.4061527605352494e-06
Position 24: 5.045920858944117e-07
Position 2269: 2.258205846148766e-07
Position 1811: 2.16619479390037e-07
Position 22: 6.480900046401121e-08
Position 165: 3.218704894364537e-08
Position 223: 4.2079750873207786e-09
Position 377: 1.6824450652260037e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 15831: 0.4871876918832827
Position 20754: 0.4128657976205149
Position 4168: 0.32409479905655003
Position 272: 0.2331567810432996
Position 965: 0.1332687713128461
Position 7135: 0.13157059608715488
Position 1766: 0.129469920421898
Position 9181: 0.10400210903223214
Position 13653: 0.08100609527269072
Position 11856: 0.06193066166250455
Position 7202: 0.052063546277944336
Position 11819: 0.05148638539278365
