Gene = CHMP5
index = 370
Annotated 5SS: [  206  1173  2958  5775  6282 11623 13284]
Annotated 3SS: [ 1067  2910  5680  6209 11513 13170 15866]
SMsplice 5SS: [  206  1173  2958  6282 11623]
SMsplice 3SS: [ 1067  2910  6209 11513 15866]
top_k =  1000
Partition function (log Z): 6.743803649897618

Sorted 5' Splice Sites (High to Low Probability):
Position 11623: 0.9978046878915983
Position 6282: 0.9897936360036601
Position 1173: 0.8891311195415156
Position 206: 0.8467344554406776
Position 2958: 0.612097603240718
Position 11838: 0.4568462666886327
Position 5775: 0.4263302963898693
Position 13284: 0.38881738705634317
Position 885: 0.342588133820861
Position 3701: 0.27235184203879587
Position 3559: 0.23167511342214506
Position 11866: 0.2219395646882546
Position 2124: 0.19225353575184287
Position 8308: 0.17863541337479272
Position 7004: 0.09128504304297623
Position 2327: 0.08480976894652334
Position 1178: 0.07999310259711512
Position 3554: 0.07449737572037692
Position 6714: 0.06605719209090118
Position 6690: 0.05387361425730223
Position 12022: 0.046985258393970414
Position 2829: 0.045880660159539906
Position 8591: 0.03614817452314806
Position 3922: 0.035454364475355805
Position 7233: 0.03525063802247516
Position 2498: 0.03173298031444058
Position 15507: 0.030273705681633213
Position 9343: 0.022808110187220728
Position 13258: 0.022661040963768232
Position 8562: 0.02133695343505699
Position 2403: 0.021228674074105874
Position 14126: 0.015755798506822478
Position 6739: 0.014927650259189492
Position 228: 0.0136342545017407
Position 4173: 0.01225576252943593
Position 3028: 0.012254646136481893
Position 8587: 0.012195589871585451
Position 2991: 0.01114398239869597
Position 10310: 0.010788164262188194
Position 1201: 0.00894611167987008
Position 5297: 0.008595015654398158
Position 2040: 0.008549217345972223
Position 15942: 0.008166031162727577
Position 10400: 0.0077042605236227945
Position 6531: 0.007620997484197308
Position 8622: 0.007326276535553011
Position 8171: 0.0072800723231782
Position 8604: 0.007273516215574797
Position 854: 0.007115439524044971
Position 10294: 0.00662058191206721
Position 8833: 0.005141049786976492
Position 5909: 0.004471526256474313
Position 13363: 0.004409039320818416
Position 1812: 0.0040119568681902555
Position 12184: 0.0035447283387453695
Position 13587: 0.0034626387037734892
Position 3296: 0.0030301077968784467
Position 2376: 0.0030189773339842174
Position 11732: 0.002640223052179636
Position 2821: 0.002110271416305092
Position 7012: 0.002110175769388729
Position 2050: 0.002026497836940897
Position 3707: 0.0020100528323662797
Position 12415: 0.0019524516617638722
Position 12528: 0.0018495469137433298
Position 13424: 0.0017863443798584104
Position 2106: 0.0017746062936611561
Position 6579: 0.0017743818283924328
Position 11860: 0.0017561694671672586
