Gene = TRIM14
index = 1483
Annotated 5SS: [  229  9322 19280 24344 27302 31769]
Annotated 3SS: [ 9225 19045 24180 27208 31204 49522]
SMsplice 5SS: [  456  9322 19280 24344 31276]
SMsplice 3SS: [ 9225 19045 24180 31204 43632]
top_k =  1000
Partition function (log Z): -16.514529389838223

Sorted 5' Splice Sites (High to Low Probability):
Position 19280: 0.9999976154395462
Position 31276: 0.9770541677724139
Position 24344: 0.9702443787907784
Position 456: 0.5134306036913793
Position 229: 0.4497278280078506
Position 32033: 0.4420919982866693
Position 34921: 0.24702956412867355
Position 27302: 0.19159646369728967
Position 23531: 0.17487809878354496
Position 31769: 0.1433140046519523
Position 24861: 0.10986189108090103
Position 1191: 0.08911832940380354
Position 14793: 0.08189907816291801
Position 19639: 0.0721548400776253
Position 12613: 0.0711770527608636
Position 27251: 0.06965565961247168
Position 33086: 0.06490912259187516
Position 28829: 0.05860439640169919
Position 29279: 0.052864342100577916
Position 6174: 0.0431804960230723
Position 581: 0.04295310380393102
Position 13757: 0.042369274481676975
Position 2275: 0.03887556777719785
Position 13439: 0.02464014110448709
Position 7053: 0.023181744084148158
Position 13546: 0.02221387768634802
Position 24893: 0.020155749177534217
Position 9142: 0.01894428839031417
Position 27346: 0.016351153536274553
Position 24906: 0.013430221040072804
Position 29330: 0.012510889565072795
Position 26407: 0.011064006602022895
Position 29284: 0.007693779562094923
Position 25389: 0.0074722922385619325
Position 29355: 0.006529753998200385
Position 166: 0.005339349381611568
Position 350: 0.004280101100457332
Position 31416: 0.0040294244863457234
Position 796: 0.0037572535574577196
Position 25129: 0.003718254771494421
Position 150: 0.0036761577146971008
Position 33906: 0.0029883188765834024
Position 60: 0.002947877481655019
Position 249: 0.00263095614055854
Position 13521: 0.0022585397160807654
Position 25218: 0.0019264132938314306
Position 1049: 0.0013233522245442752
Position 35000: 0.000987067080093569
Position 439: 0.0006644901860159085
Position 1044: 0.0006406308201991118
Position 1141: 0.00028907203266763094
Position 217: 0.0002352774761286875
Position 475: 9.484150301978862e-05
Position 223: 8.198993750522673e-05
Position 31323: 7.13300601421141e-05
Position 12: 6.317373636808604e-05
Position 468: 6.240889608174491e-05
Position 1275: 4.791082773668198e-05
Position 384: 4.7634365349046e-05
Position 492: 4.733815839223738e-05
Position 193: 4.54239467902075e-05
Position 148: 2.8842434227937447e-05
Position 1880: 2.6215459880619706e-05
Position 1126: 2.0312712593394788e-05
Position 33026: 8.340789895216625e-06
Position 644: 5.495317066588474e-06
Position 571: 5.382236939578303e-06
Position 460: 4.2664473894954535e-06
Position 329: 2.619732677490408e-06
Position 264: 1.4615328278443869e-06
Position 128: 1.8007358501042624e-07
Position 70: 1.435176504250307e-07
Position 182: 1.2358574151431933e-08
Position 112: 5.9468579130463295e-09
