Gene = TRBV30
index = 1481
Annotated 5SS: [155]
Annotated 3SS: [521]
SMsplice 5SS: [423]
SMsplice 3SS: [521]
top_k =  1000
Partition function (log Z): -10.851975451182433

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.6792532072483239
Position 155: 0.3363294276578773
Position 237: 0.010284844925081287
Position 233: 0.009211670146469807
Position 70: 0.0024512439874246434
Position 342: 0.002343334954633103
Position 159: 0.0019999627933064536
Position 351: 0.001488641280226368
Position 634: 0.001355018529523677
Position 213: 0.0005355529757449718
Position 252: 0.00044049985656732386
Position 355: 0.00020058931971856338
Position 266: 7.321576348713893e-05
Position 224: 4.248667010405089e-05
Position 707: 2.5582239262184335e-05
Position 459: 2.5109727459756743e-05
Position 684: 2.132910801892647e-05
Position 429: 2.0166997337446512e-05
Position 74: 2.0022236413446473e-05
Position 495: 1.414178812547409e-05
Position 563: 9.185172194601596e-06
Position 431: 5.955307029966826e-06
Position 524: 4.678900011096189e-06
Position 572: 4.35149659179593e-06
Position 318: 3.962888517426989e-06
Position 485: 3.842593030761262e-06
Position 602: 6.490045574347818e-07
Position 595: 4.3162417883088105e-07
Position 398: 1.6508827142239088e-07
Position 680: 3.934549155776471e-08
Position 346: 1.3341874344615727e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 521: 0.9535706244704891
Position 276: 0.024400872215931433
Position 370: 0.01823459313783316
Position 318: 0.013930493076518901
Position 339: 0.010674929311840239
Position 398: 0.0063871239332097055
Position 422: 0.002918417238698243
Position 694: 0.002789030235096354
Position 528: 0.0027507895315026336
Position 222: 0.0021708575879885003
Position 336: 0.0015159046390369583
Position 568: 0.000987734904166675
Position 715: 0.0008743405518855826
Position 342: 0.0007243557555743265
Position 252: 0.0007078615793847263
Position 554: 0.0005130199366478217
Position 290: 0.0004811280376500072
Position 643: 0.00042139063170838656
Position 748: 0.0003476162808985791
Position 595: 0.0002886254950628633
Position 469: 0.0002645936887014223
Position 535: 0.0001767194121187627
Position 739: 0.00013343597703948133
Position 732: 0.00012114061631765707
Position 725: 0.00012061276814560327
Position 296: 0.00011416276386669393
Position 224: 0.00011274945396658958
Position 579: 0.00010096734468695596
Position 699: 9.120526981912565e-05
Position 810: 7.082982949948495e-05
Position 650: 4.313650576290008e-05
Position 780: 4.1714734957226054e-05
Position 178: 3.113989689611889e-05
Position 664: 1.8685334972731697e-05
Position 440: 1.2067627671837438e-05
Position 769: 7.3685871187537764e-06
Position 759: 5.408898772666991e-06
Position 766: 5.250454386960365e-06
Position 474: 3.2353078780576187e-06
Position 706: 1.5505432697032923e-06
Position 654: 1.4776188860755724e-06
Position 607: 7.892756739960906e-07
Position 478: 6.961317588207363e-07
Position 442: 5.672685273266892e-07
Position 448: 9.062292141020851e-08
Position 230: 5.153581689829014e-09
