Gene = TBCA
index = 1379
Annotated 5SS: [  157 68119 83095]
Annotated 3SS: [68012 83007 84861]
SMsplice 5SS: [  157  6813 30763 43625 61137 68119 83095]
SMsplice 3SS: [ 6698 30633 43474 61045 68012 83007 84861]
top_k =  1000
Partition function (log Z): -44.53259910709418

Sorted 5' Splice Sites (High to Low Probability):
Position 157: 0.9933443773321737
Position 6813: 0.6455972843379189
Position 4835: 0.09895478361430085
Position 6349: 0.08419910739654168
Position 11283: 0.07163152575120525
Position 8872: 0.07041571326031852
Position 7336: 0.03844451596571429
Position 8313: 0.022755104989823232
Position 1354: 0.018086712505321272
Position 952: 0.017355827198680403
Position 5512: 0.012259668668264674
Position 1796: 0.011987242180465726
Position 2724: 0.011138919612362286
Position 1924: 0.010853066380519576
Position 2933: 0.010729912565586206
Position 4065: 0.010525906737873082
Position 1198: 0.008615234348342202
Position 7711: 0.005200797599198827
Position 8069: 0.004939404125740613
Position 8283: 0.0032877849801158936
Position 7384: 0.002462494082490474
Position 119: 0.0019099727208735213
Position 2915: 0.001476959666625881
Position 1720: 0.001452299176799472
Position 2277: 0.000749971636795449
Position 4486: 0.0007265987591112405
Position 4040: 0.0006820675447940578
Position 4511: 0.0005493806999040479
Position 3852: 0.0003530430563741549
Position 4906: 0.00034064642902436443
Position 5359: 0.0002594743539331956
Position 4574: 0.000216965585378876
Position 441: 0.00020162514626759543
Position 2177: 0.00015788395175383714
Position 1811: 0.00012731546276300462
Position 998: 0.00012546051533697495
Position 3301: 0.0001191494221915603
Position 870: 0.00010643747764786101
Position 433: 0.00010283646369397805
Position 1896: 9.517575778455285e-05
Position 1786: 9.417235668541102e-05
Position 5990: 9.23739560262229e-05
Position 766: 8.174350293353745e-05
Position 149: 6.135020960954523e-05
Position 813: 6.000186226267542e-05
Position 1978: 3.994832010303982e-05
Position 444: 3.885936023432457e-05
Position 5488: 3.644618117614373e-05
Position 7020: 3.593345146887212e-05
Position 5444: 3.1834917004761e-05
Position 1857: 3.116065866831537e-05
Position 800: 3.0351798924068575e-05
Position 1088: 2.5103726494607955e-05
Position 495: 2.4112569999955275e-05
Position 1423: 1.9010263705292838e-05
Position 1014: 1.8273158486660183e-05
Position 1307: 1.6630653073386292e-05
Position 895: 1.5995354314158693e-05
Position 957: 1.4427466039319614e-05
Position 1727: 1.115560689811381e-05
Position 1950: 1.1076054584121394e-05
Position 416: 1.0212919907133239e-05
Position 1605: 9.71269441085165e-06
Position 2758: 9.658558603650308e-06
Position 1658: 8.343001323695239e-06
Position 1735: 5.737469680765743e-06
Position 585: 4.90942898337798e-06
Position 2233: 4.847914759473668e-06
Position 58: 4.6588055723032535e-06
Position 3352: 3.7122749995099893e-06
Position 4979: 3.449924414919985e-06
Position 2937: 3.196824728925584e-06
Position 2339: 3.1083618852993777e-06
