Gene = CLEC5A
index = 379
Annotated 5SS: [  177   770  1643  3088 11170 15264]
Annotated 3SS: [  670  1582  3018 11032 15156 16764]
SMsplice 5SS: [  177  1130  3088  3631  8088 10033 15264]
SMsplice 3SS: [  934  2770  3505  7951  9944 15156 16764]
top_k =  1000
Partition function (log Z): -1.0476828144059733

Sorted 5' Splice Sites (High to Low Probability):
Position 177: 0.9499047557940408
Position 3631: 0.8682142562313723
Position 1130: 0.8561221315062727
Position 8088: 0.7962688168331601
Position 15264: 0.7699540222345894
Position 3088: 0.7280440800301237
Position 7660: 0.6133064469952975
Position 9970: 0.525164736747739
Position 10033: 0.44448657508963807
Position 15938: 0.35613683895914194
Position 11170: 0.3420913230239193
Position 6119: 0.3418433957499135
Position 1643: 0.3057565925140165
Position 9380: 0.23318290049330487
Position 7402: 0.23315174661002955
Position 8893: 0.2326669494660285
Position 770: 0.19243062863382032
Position 16860: 0.1817534956275978
Position 9049: 0.17078682130192338
Position 11957: 0.1641085783550156
Position 8821: 0.16077340637122156
Position 8954: 0.0931353590627313
Position 16474: 0.08775374446968104
Position 1658: 0.06737209034958505
Position 15999: 0.06552483788229908
Position 5523: 0.06255936289616301
Position 11607: 0.06130085731390506
Position 9715: 0.05738951498301286
Position 6090: 0.049422730530706616
Position 16934: 0.04717419612599818
Position 2092: 0.045454983532485886
Position 1315: 0.04279863460714681
Position 5527: 0.037101225193125406
Position 15681: 0.03559987541529856
Position 2687: 0.02986023076808216
Position 9804: 0.02692924768711129
Position 16297: 0.023560963796456693
Position 7499: 0.020957541330488935
Position 2250: 0.020090736500499282
Position 8604: 0.01950550321662737
Position 7618: 0.01938312857440267
Position 8308: 0.016400319522534536
Position 8542: 0.01553279171839421
Position 4113: 0.01451842045086555
Position 17100: 0.012010094457466357
Position 6126: 0.011582203147653087
Position 11187: 0.011130779411189097
Position 9640: 0.009310052796845153
Position 15845: 0.009050169414144615
Position 8382: 0.00870719474711642
Position 6574: 0.008656418781399923
Position 327: 0.007876106620065043
Position 9060: 0.007845327040637395
Position 2706: 0.007503604903047861
Position 9: 0.007052704455120687
Position 10280: 0.006928526184222927
Position 727: 0.006574140007229681
Position 9231: 0.006462292906008621
Position 8178: 0.005142406214446286
Position 10710: 0.0045728108316052
Position 266: 0.0039690299671956775
Position 9278: 0.0038039092160762076
Position 17083: 0.0035667471831491468
Position 538: 0.0034882196212064156
Position 2099: 0.0031677247434908455
Position 7515: 0.0031629573702644286
Position 12199: 0.0030241482666647267
Position 299: 0.002760018703829659
Position 308: 0.002660292405601021
Position 10212: 0.0025735914545834343
Position 3126: 0.002363016897262498
Position 4817: 0.0022323447583477854
Position 3273: 0.0021079661097486912
Position 3408: 0.0019397163255814574
Position 856: 0.001668220811572908
Position 8508: 0.001568649379203397
Position 5321: 0.0015667705309743794
Position 584: 0.0014221980405441752
Position 7576: 0.0014017674493090855
Position 3277: 0.0013122062756856893
Position 15228: 0.0012727001326305516
Position 16184: 0.001263915826441538
Position 9924: 0.001194825549022564
Position 8186: 0.001143759119353212
Position 3569: 0.0011392000471058805
Position 303: 0.0011280521082578634
Position 2649: 0.0010026817891165393
Position 3345: 0.000820290057820831
Position 8740: 0.000713909892355892
Position 739: 0.0005899381457815679
Position 998: 0.0005721773502767649
Position 4056: 0.000567711507352302
Position 15994: 0.0005459910802237895
Position 8461: 0.0005216609032269305
Position 9342: 0.0005030962808249546
Position 850: 0.0004165254227999618
Position 2847: 0.00031516721254624806
Position 1371: 0.0002913819589313462
Position 9405: 0.00028935750545149214
Position 774: 0.0002698936397631077
Position 2204: 0.00026420484391495764
Position 5242: 0.0002550300896688729
Position 6539: 0.00024703974343344973
Position 6568: 0.00020865126194233503
Position 843: 0.00019614725722967208
Position 181: 0.00016588680513726555
Position 904: 0.00015930401077790808
Position 1655: 0.00014723824989992535
Position 15012: 0.00012460162705460283
Position 846: 0.00012219595935701198
Position 343: 0.00011616434237032295
Position 1753: 0.00011345584444587219
Position 1142: 0.00010382934840593409
Position 2067: 8.544167331843411e-05
Position 724: 7.992064221360439e-05
Position 6084: 7.898500034917387e-05
Position 1604: 7.749767436528847e-05
Position 4893: 6.36561385628185e-05
Position 5304: 5.01963240381365e-05
Position 5452: 4.806835837225014e-05
Position 2219: 4.221552516626191e-05
Position 1744: 4.1414113288654615e-05
Position 3650: 3.9811088205782985e-05
Position 1344: 3.9428764797010765e-05
Position 4707: 3.85740270209566e-05
Position 1288: 3.8523766513840746e-05
Position 464: 3.614748401713702e-05
Position 2154: 3.571948671421655e-05
Position 960: 3.513599273102917e-05
Position 1422: 3.2513882443862325e-05
Position 1026: 3.176164673632517e-05
Position 1149: 3.0768331667404526e-05
Position 361: 2.6497145841045313e-05
Position 1465: 2.183068851022139e-05
Position 1057: 1.8996713750008114e-05
Position 1042: 1.8968000842953307e-05
Position 631: 1.861461597469614e-05
Position 382: 1.8485676575503366e-05
Position 185: 1.820519792938519e-05
Position 189: 1.3946412966823135e-05
Position 1470: 1.3278235756907539e-05
Position 1492: 9.899354585029234e-06
Position 509: 7.930123480491259e-06
Position 248: 6.036116574372866e-06
Position 869: 5.3597616711454e-06
Position 1031: 4.9963734025828e-06
Position 42: 4.318907964047564e-06
Position 1387: 3.7621967245943848e-06
Position 1877: 3.743706014332269e-06
