Gene = MCIDAS
index = 821
Annotated 5SS: [ 297  481  740 4365 5140 6300]
Annotated 3SS: [ 383  647 4291 4915 6188 6508]
SMsplice 5SS: [ 297  481  740 4365 6300]
SMsplice 3SS: [ 383  647 4291 6188 6508]
top_k =  1000
Partition function (log Z): 1.9096946708165272

Sorted 5' Splice Sites (High to Low Probability):
Position 481: 0.9927807936169386
Position 6300: 0.9839534899896227
Position 297: 0.9728896709574709
Position 740: 0.7600716677062086
Position 3753: 0.35874247347933996
Position 4710: 0.17417261616791985
Position 4059: 0.1681404964646076
Position 4587: 0.16552811674669554
Position 5140: 0.10853012343470761
Position 4096: 0.09284835078975205
Position 3279: 0.08809259986767373
Position 2930: 0.06901175752506535
Position 4454: 0.06717924211622317
Position 1062: 0.054893103699007406
Position 3211: 0.05454725142742629
Position 5232: 0.0451574772206205
Position 4346: 0.039721760977967945
Position 4451: 0.024167549822877433
Position 5086: 0.016789172875372554
Position 4585: 0.015336606736992076
Position 4369: 0.014900837304535161
Position 6810: 0.014001517280547875
Position 4038: 0.013122394563567752
Position 3965: 0.010727414985837815
Position 4654: 0.010185244482748563
Position 1256: 0.008855717608171915
Position 5652: 0.007032974581186576
Position 6291: 0.0069544522472124665
Position 3162: 0.00690296052525003
Position 3525: 0.00615457460731667
Position 1516: 0.005976880201432922
Position 2233: 0.004696704217304517
Position 857: 0.004665928357736387
Position 6041: 0.0032142128794381023
Position 2851: 0.003049186808562841
Position 6599: 0.0028130834224639736
Position 3608: 0.0025305651497285137
Position 6419: 0.002296146205438571
Position 531: 0.0022526455869257738
Position 4385: 0.0015815076945193299
Position 3203: 0.0012389500869593216
Position 3252: 0.001144166361066516
Position 6412: 0.0010936165552687424
Position 3827: 0.001074637599979542
Position 4791: 0.0010191413650641886
Position 919: 0.0009630747363187874
Position 3035: 0.0008645591367188066
Position 2063: 0.0008410256719296562
Position 6945: 0.0006732345196932919
Position 2262: 0.0006622019430860053
Position 110: 0.0005843679213134146
Position 1929: 0.0005810514243178921
Position 305: 0.0005515626851742118
Position 3044: 0.00047478519069147566
Position 1326: 0.00039700301611203005
Position 700: 0.00039317217095178876
Position 3600: 0.0003435486734080228
Position 720: 0.00032847980242934835
Position 2638: 0.0003060101442693475
Position 1066: 0.00029495048577010485
Position 1895: 0.00029151659530298157
Position 4619: 0.00026280634788710875
Position 3949: 0.0002479610004147399
Position 2217: 0.0002412885707431683
