Gene = OTUD3
index = 989
Annotated 5SS: [  222  8021 11968 15150 21886 22475 24104]
Annotated 3SS: [ 7871 11854 15026 21753 22377 23918 25056]
SMsplice 5SS: [  222  8021 11968 15150 21886 22475 24104 25148]
SMsplice 3SS: [ 7871 11854 15026 21753 22377 23883 25056 26643]
top_k =  1000
Partition function (log Z): 5.063324965327794

Sorted 5' Splice Sites (High to Low Probability):
Position 22475: 0.9830841410022106
Position 15150: 0.9812670690836209
Position 24104: 0.85302441622133
Position 11968: 0.8516747506132017
Position 8021: 0.8442703545047946
Position 25148: 0.80485746461057
Position 222: 0.733641006694221
Position 21886: 0.5625766883710555
Position 6176: 0.5348814358213883
Position 29823: 0.33000445864318934
Position 4414: 0.300486675987712
Position 16441: 0.250835213684314
Position 9089: 0.2502891297999309
Position 975: 0.21126050695553103
Position 10082: 0.2077496739643575
Position 5981: 0.20304820373813356
Position 6159: 0.18198928647764687
Position 208: 0.16490746911153117
Position 5770: 0.1572294406025506
Position 1542: 0.14538290496697395
Position 5764: 0.11932087653446044
Position 26605: 0.10962865015883051
Position 14731: 0.10501728066122051
Position 21862: 0.09757517194911218
Position 13068: 0.09288858207895516
Position 9801: 0.09143626188096297
Position 24569: 0.06886885956145712
Position 624: 0.06516182002842158
Position 23837: 0.05963561158221865
Position 9014: 0.05714003622091185
Position 15777: 0.05576291834572828
Position 13463: 0.05532525776043569
Position 13087: 0.054700111187124
Position 2450: 0.0521484300788814
Position 7685: 0.05206266204510729
Position 21391: 0.050798968775293794
Position 13760: 0.04560964409194212
Position 21223: 0.04298439736050894
Position 21841: 0.04149194884196049
Position 10074: 0.03772001567793458
Position 5961: 0.0373107441215865
Position 17957: 0.035046735908433296
Position 22108: 0.031198663900622432
Position 21866: 0.029071931057555102
Position 21344: 0.02885866992629725
Position 19616: 0.027240890118193608
Position 1583: 0.026379778976802166
Position 14266: 0.025743603756357005
Position 21340: 0.02464203291119283
Position 6255: 0.023582803226727636
Position 4460: 0.022712327897452797
Position 24108: 0.02270363793401472
Position 18270: 0.021732547643798363
Position 12679: 0.019879327109709473
Position 16576: 0.01898180412848591
Position 14121: 0.018465123702117545
Position 466: 0.01799829729682286
Position 15154: 0.01758145601172991
Position 3411: 0.017310459423059255
Position 28406: 0.017109552828896476
Position 9034: 0.016163568290804727
Position 21447: 0.015307114197878056
Position 25255: 0.01518169806587614
Position 21881: 0.014769827457157754
Position 21236: 0.014602986012562848
Position 3277: 0.014572128505168092
Position 22521: 0.01393920211522165
Position 23708: 0.011226023798568891
Position 14957: 0.011112158883107641
Position 24331: 0.010389911053875116
Position 26225: 0.009535695863675381
Position 21141: 0.00916161321213011
Position 19456: 0.00807008198219378
Position 2228: 0.007420050527064517
Position 23406: 0.006770110311970288
