Gene = TNFSF8
index = 1467
Annotated 5SS: [  309 12322 24590]
Annotated 3SS: [12278 24517 26091]
SMsplice 5SS: [  309 12322 24590]
SMsplice 3SS: [12278 24517 26091]
top_k =  1000
Partition function (log Z): -9.919503362314657

Sorted 5' Splice Sites (High to Low Probability):
Position 309: 0.9963019823790544
Position 24590: 0.8374780731915449
Position 12322: 0.71240452468721
Position 18668: 0.5849720440948969
Position 25094: 0.3081075009502085
Position 10229: 0.26899990585072214
Position 21912: 0.23479338891634233
Position 12353: 0.2297460284400478
Position 26191: 0.14882290170864576
Position 7177: 0.10160278247355894
Position 9455: 0.10054978233818997
Position 26311: 0.07297265146204011
Position 10236: 0.07059877723165536
Position 10157: 0.06440392178230088
Position 10086: 0.06019126199750854
Position 18419: 0.03970593810325401
Position 5444: 0.03910066738044975
Position 7227: 0.028946285735181026
Position 12435: 0.0284186956435729
Position 12439: 0.026910681748593537
Position 10731: 0.02560473503132176
Position 8233: 0.02523542578929304
Position 6244: 0.02518369632227905
Position 16615: 0.022381654579777442
Position 14977: 0.016509027797276407
Position 3870: 0.012333356307052002
Position 11345: 0.011980098136424573
Position 3022: 0.011582301405359726
Position 1790: 0.011238367662904312
Position 1197: 0.009055311694278
Position 10460: 0.00842950960092412
Position 13202: 0.007972499617701776
Position 7244: 0.007884001725066501
Position 6651: 0.007236520039157824
Position 14823: 0.006901464548428293
Position 86: 0.006889731909892866
Position 13194: 0.006530943445141571
Position 17257: 0.006464323128126659
Position 14785: 0.0060361861793015665
Position 804: 0.005302978851598799
Position 5886: 0.0034229648544205284
Position 7595: 0.0023287669022171316
Position 1917: 0.002279637862070323
Position 10016: 0.00201247467838171
Position 4652: 0.0013004688538219816
Position 4113: 0.0012269079663226093
Position 9518: 0.001184830580561237
Position 1358: 0.0011407755063479273
Position 3639: 0.001002254901016569
Position 4505: 0.0009656173160274299
Position 1397: 0.0009525497379609779
Position 19607: 0.0009277114901424035
Position 3910: 0.0009017877921868115
Position 8453: 0.0008275686461283853
Position 18672: 0.0008231478068378581
Position 10725: 0.0007707075710095331
Position 20100: 0.00028457908447078375
Position 12430: 0.00017626982983434103
Position 16101: 0.00013693132102495122
Position 13040: 0.0001300184583144152
Position 16085: 0.0001243731287878635
Position 12720: 7.50400790367361e-05
Position 15538: 6.373606825770125e-05
Position 13026: 6.116749310322015e-05
Position 13986: 5.9673863691161894e-05
Position 2282: 5.301216608739574e-05
Position 5085: 3.965280354468708e-05
Position 6059: 3.2008598327554646e-05
Position 93: 2.1528417043060673e-05
Position 6447: 1.867909177136886e-05
Position 2657: 1.6271487774232986e-05
Position 6251: 1.3269044423139947e-05
Position 6430: 1.293168001468746e-05
Position 835: 1.0127124902825648e-05
Position 3678: 8.489351509023707e-06
Position 177: 7.591343527453795e-06
Position 1031: 6.5342977963728625e-06
Position 682: 5.693741792222873e-06
Position 15302: 5.64242576451313e-06
Position 1091: 5.0550584218859795e-06
Position 88: 4.954332454268777e-06
Position 1618: 4.927497197738231e-06
Position 2424: 4.471399775614328e-06
Position 2360: 4.462931132355495e-06
Position 2993: 4.358176377207835e-06
Position 273: 3.619676590242752e-06
Position 2277: 3.608000347047801e-06
Position 14982: 3.489090148810127e-06
Position 1496: 3.443227618019018e-06
Position 2088: 2.8638215365500215e-06
Position 1190: 2.6351837682680484e-06
Position 2642: 2.5667037543969804e-06
Position 914: 2.296596430770507e-06
Position 1442: 2.111980036246718e-06
Position 1144: 1.6271600763105139e-06
Position 1896: 1.5989618123568101e-06
Position 290: 1.2812000075295375e-06
