Gene = EXD3
index = 513
Annotated 5SS: [   149  27960  39950  49837  50358  55327  56770  66995  68563  68924
  70643  71197  71945  72225  73894  74153  75192  99173  99538 113656
 115655]
Annotated 3SS: [ 27857  39884  49662  50189  55272  56629  66893  68488  68884  70475
  71060  71733  72114  73730  73979  75023  99118  99405 113561 115615
 115998]
SMsplice 5SS: [   149    504  11713  14029  25845  27960  39950  49837  51791  56770
  66995  68563  68924  70643  71945  72225  73894  74153  75192  99538
 113656]
SMsplice 3SS: [   417  11597  13900  25745  27857  39884  49662  51666  56629  66893
  68488  68884  70537  71733  72114  73808  73979  75065  99405 113561
 116060]
top_k =  1000
Partition function (log Z): 14.27714743664509

Sorted 5' Splice Sites (High to Low Probability):
Position 56770: 0.9999870853929476
Position 39950: 0.9958760568798857
Position 27960: 0.9915528233111006
Position 75192: 0.9906242392473996
Position 49837: 0.990229484590424
Position 72225: 0.9810403113814088
Position 11713: 0.9778733007873996
Position 70643: 0.9608189403360279
Position 68924: 0.9341772712468265
Position 66995: 0.9172789335033367
Position 71945: 0.910550274580845
Position 504: 0.8515277412528615
Position 25845: 0.8315472155671848
Position 68563: 0.7232975240882492
Position 149: 0.6536957135649513
Position 74153: 0.6490220417730315
Position 14029: 0.5902023367192607
Position 51791: 0.4494667195393325
Position 73894: 0.43095851469511987
Position 51799: 0.42393846866232066
Position 73901: 0.40844037404445027
Position 49350: 0.3880119148647604
Position 52787: 0.34010347134639884
Position 37937: 0.3309019404583668
Position 67278: 0.33090056292210485
Position 50358: 0.3306882520703545
Position 40522: 0.3202483353965354
Position 50164: 0.2914792680793365
Position 17762: 0.28066138855546324
Position 6798: 0.2053114098240154
Position 233: 0.19510606673484288
Position 56570: 0.19163729964207565
Position 43088: 0.1907693619385796
Position 42510: 0.18268961718205523
Position 19526: 0.17702378009565362
Position 57859: 0.15256230668104698
Position 51462: 0.14534425455018035
Position 6558: 0.145184848335871
Position 11189: 0.1364845828282401
Position 55327: 0.1326710066758588
Position 57511: 0.13146766773059473
