Gene = HOXA10-HOXA9
index = 661
Annotated 5SS: [  368 15136]
Annotated 3SS: [15045 16171]
SMsplice 5SS: [  368 15136]
SMsplice 3SS: [15045 16171]
top_k =  1000
Partition function (log Z): -5.9171611276432525

Sorted 5' Splice Sites (High to Low Probability):
Position 368: 0.9837010336593761
Position 15136: 0.7632651886999762
Position 199: 0.5885532246848028
Position 10720: 0.3052395267702451
Position 4974: 0.2943497887173145
Position 8268: 0.26198862465513517
Position 6665: 0.17748470501325053
Position 3631: 0.11131555330250571
Position 13279: 0.10425322006283698
Position 5312: 0.039730458776196464
Position 9583: 0.03874890654834056
Position 4592: 0.02870033112930376
Position 947: 0.02812493332296549
Position 3082: 0.020446698891577315
Position 3556: 0.018596957202944853
Position 1048: 0.017510329874957334
Position 5239: 0.013911560999073907
Position 10547: 0.013070824575927993
Position 5662: 0.01131329214484983
Position 5040: 0.010551033735622486
Position 10454: 0.00867840000224837
Position 4829: 0.007984862275909757
Position 3199: 0.005073028230507837
Position 12807: 0.004489367860435907
Position 2613: 0.004227058047105287
Position 4237: 0.003572717666506637
Position 12911: 0.003106447426520779
Position 1521: 0.003090872220278335
Position 16299: 0.0026291513058732904
Position 10793: 0.0025092467794370593
Position 3547: 0.0023338176749998557
Position 901: 0.0018096190576101202
Position 10458: 0.0016977986688333632
Position 5168: 0.0015505868371222219
Position 13294: 0.0014590733236403415
Position 171: 0.0013961416604868417
Position 3395: 0.001240266659774226
Position 1266: 0.001147447212003639
Position 925: 0.0011037065528523213
Position 4807: 0.0009613440033877644
Position 2079: 0.0009051558390553252
Position 4629: 0.0008914057409242934
Position 1596: 0.0007609592651247976
Position 4721: 0.0006968985048915617
Position 3343: 0.0005081512465922938
Position 1410: 0.0004324309073447835
Position 1922: 0.00039848764216878017
Position 704: 0.0003464066270486546
Position 2138: 0.00021985641590662594
Position 4746: 0.00020880473519805726
Position 477: 0.00020223453922858027
Position 401: 6.637803087153201e-05
Position 123: 5.9877981212161777e-05
Position 460: 3.8577375980722474e-05
Position 4282: 2.354748946292209e-05
Position 3657: 2.2312376623627785e-05
Position 382: 1.932788945379364e-05
Position 508: 1.4130563479018675e-05
Position 2916: 1.3987393479955616e-05
Position 2091: 1.3637255905697291e-05
Position 268: 1.0587649258454136e-05
Position 420: 9.507985431504188e-06
Position 273: 8.408458003159175e-06
Position 47: 6.591562188630854e-06
Position 2893: 6.275799451642212e-06
Position 1042: 3.6111913332959644e-06
Position 41: 3.4149322170639226e-06
Position 714: 3.1954935992083776e-06
Position 469: 1.5689498622697086e-06
Position 1903: 1.262209418621174e-06
Position 540: 1.1558802379435733e-06
Position 2775: 7.540636972143728e-07
Position 1259: 6.945917963114441e-07
Position 729: 6.148909452458469e-07
Position 215: 5.420984338120896e-07
Position 346: 5.299134951447334e-07
Position 360: 4.976713447317683e-07
Position 753: 4.655635239201756e-07
Position 675: 4.118627416763972e-07
Position 808: 1.487337244676843e-07
Position 827: 1.4654419666675065e-07
Position 660: 1.3906498691952273e-07
Position 261: 9.182235543200306e-08
Position 362: 8.027272681714383e-08
Position 1291: 6.393331943283859e-08
Position 412: 5.782821925324635e-08
Position 759: 5.0370802063979507e-08
Position 649: 3.3491541612271184e-08
Position 396: 2.6720735714586647e-08
Position 1313: 2.4143448379059404e-08
Position 678: 2.3711147527856242e-08
Position 597: 1.7018113918206793e-08
Position 799: 1.5899186298689247e-08
Position 750: 1.3509671905915803e-08
Position 1012: 1.1639465761154254e-08
Position 532: 1.1593981776953044e-08
Position 1118: 4.768290897366356e-09
Position 914: 4.597732219226856e-09
Position 464: 2.256047513476626e-09
Position 651: 4.39114500346297e-11
Position 429: 1.5941605418692968e-11
Position 335: 9.472802208070158e-12
Position 452: 2.768953031913972e-12
Position 312: 1.4751317136215456e-12
Position 954: 2.7937316850570824e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 16171: 0.9596834826289037
Position 15045: 0.76898582202525
Position 283: 0.376409973212735
Position 8177: 0.2538220299697282
Position 4920: 0.23775384441451047
Position 10660: 0.22263450029402954
Position 300: 0.19483892547054527
Position 3501: 0.11562627328406933
Position 13192: 0.09346278659794263
Position 10637: 0.08556518333616077
Position 6360: 0.075610559009253
Position 4895: 0.048602066390243844
Position 4661: 0.04836587923387285
Position 6551: 0.03831594444768978
Position 6438: 0.03621232068140264
Position 9388: 0.03180755898406655
Position 5161: 0.02928235867708306
Position 826: 0.026491495808123003
Position 4493: 0.026038191445731124
Position 10242: 0.023846203991571793
Position 851: 0.019076893165286192
Position 6475: 0.0178480517414377
Position 2989: 0.0173585923937375
Position 13122: 0.013039498752840413
Position 16064: 0.009682352643576555
Position 5534: 0.009601033739660184
Position 6189: 0.009550019457318308
Position 12685: 0.009061556666317215
Position 3554: 0.007820636266192092
Position 2915: 0.0053949495388528656
Position 8036: 0.005062648452633572
Position 15427: 0.004908702243155918
Position 16023: 0.004568369837212891
Position 3246: 0.003937346493709159
Position 9328: 0.0038287856925657724
Position 4091: 0.0037594879290520932
Position 9483: 0.003614332968041756
Position 8125: 0.003232303160852
Position 879: 0.0028069124010594686
Position 5190: 0.002794304702131694
Position 4929: 0.00275112908620653
Position 3282: 0.0027294294265692584
Position 4520: 0.0027211189860862533
Position 3315: 0.002360288227632592
Position 2542: 0.002149255952249946
Position 15289: 0.00212993641186329
Position 2539: 0.0017569800876857768
Position 3011: 0.0017039468789172842
Position 16153: 0.0014884347258504326
Position 15204: 0.001478300328348961
Position 16364: 0.0014340573450888749
Position 1225: 0.0012812436175966497
Position 1351: 0.0012748919331275368
Position 11378: 0.0012059512624744604
Position 16430: 0.0011950939607844196
Position 16289: 0.0011820892842174598
Position 7839: 0.0011614294348537843
Position 236: 0.0011428091667302148
Position 3473: 0.0011385469237603345
Position 5480: 0.0011274353382548067
Position 1332: 0.0010892275737589
Position 261: 0.0009239997497408224
Position 4427: 0.000791901553873757
Position 346: 0.0007283143466608367
Position 1427: 0.0006959975391570411
Position 4950: 0.0006387181490646386
Position 5500: 0.0005776026507066492
Position 11882: 0.000495034457937744
Position 1956: 0.0004914633220791339
Position 2770: 0.00044433757767445027
Position 1553: 0.00041607368696576323
Position 2934: 0.0003803565443679728
Position 3424: 0.0003765717987909284
Position 1004: 0.0003475046952519477
Position 5167: 0.00033787846473642394
Position 1936: 0.0003372586323011232
Position 600: 0.0002963107638946501
Position 1780: 0.00028878003468429806
Position 507: 0.0002271603781078601
Position 2519: 0.0002148171541184874
Position 6323: 0.00019679689702470154
Position 12284: 0.00018004437038634147
Position 13923: 0.000178393359357799
Position 1978: 0.00017261656200613548
Position 3146: 0.00016139784582516148
Position 2560: 0.00015404964736766936
Position 3394: 0.00014075261648375883
Position 1826: 0.00013826239016364697
Position 1073: 0.00013349769902036186
Position 2727: 0.00012765886594199942
Position 2069: 0.00011688150258412348
Position 790: 0.00010470306421459426
Position 1259: 8.418621955723169e-05
Position 4668: 8.34029236146183e-05
Position 11188: 8.167265813454572e-05
Position 3023: 8.043491604557091e-05
Position 9761: 7.6746065560801e-05
Position 6889: 7.015406536546337e-05
Position 966: 6.768720233005865e-05
Position 980: 6.296215574507836e-05
Position 6052: 5.593565720010211e-05
Position 1166: 5.5096629600458434e-05
Position 1678: 4.9203164487436173e-05
Position 6853: 4.8007379841709535e-05
Position 328: 4.296313817296035e-05
Position 7154: 3.482677126809161e-05
Position 1451: 3.408199473558358e-05
Position 6123: 3.227126884146011e-05
Position 5457: 2.8353117596055507e-05
Position 9602: 2.6240717401100567e-05
Position 6903: 2.0126518202743923e-05
Position 3730: 1.66067464887442e-05
Position 5934: 1.2683306084564077e-05
Position 9567: 1.2575833834351307e-05
Position 6863: 1.0587487670003469e-05
Position 3911: 1.0157067086765667e-05
Position 1375: 9.544821890588314e-06
Position 1380: 9.321739957227887e-06
Position 1852: 9.18936404219699e-06
Position 3630: 8.96744286805475e-06
Position 1784: 8.152365950958954e-06
Position 325: 7.267639090250247e-06
Position 438: 5.790560054662498e-06
Position 1410: 5.317772409177605e-06
Position 3686: 5.2173022205709316e-06
Position 6120: 5.10031137700978e-06
Position 3753: 4.304097068669767e-06
Position 1608: 3.5844426435607923e-06
Position 3060: 3.360109786679833e-06
Position 2487: 2.8659190377728306e-06
Position 2683: 2.8064596584129575e-06
Position 1628: 2.5405318559587495e-06
Position 6153: 2.503980143647669e-06
Position 799: 1.3835958447434524e-06
Position 1583: 1.2666345526106587e-06
Position 1639: 1.008997837191602e-06
Position 1614: 7.038166098333387e-07
Position 796: 6.840397336955798e-07
Position 566: 6.19009113347073e-07
Position 579: 4.314037458944873e-07
Position 2603: 3.8481115651538093e-07
Position 553: 3.8200592277528184e-07
Position 310: 2.9492038430014397e-07
Position 480: 2.627903856991343e-07
Position 258: 2.457359228505926e-07
Position 2545: 2.069074491352933e-07
Position 332: 1.404572868150935e-07
Position 242: 1.1819798905354145e-07
Position 1015: 9.359858707801351e-08
Position 1018: 8.905176558712215e-08
Position 774: 6.564873152116476e-08
Position 1084: 6.529249192123749e-08
Position 1339: 5.719362674041539e-08
Position 435: 5.684465987750857e-08
Position 1519: 5.247835943324232e-08
Position 519: 4.906727373395092e-08
Position 1387: 4.5673733252245174e-08
Position 3176: 4.527620767915852e-08
Position 367: 4.395593925256191e-08
Position 920: 3.534754707003119e-08
Position 1101: 3.4730211042890445e-08
Position 894: 3.190585806784982e-08
Position 1798: 2.1813963834644324e-08
Position 912: 2.0862595342865232e-08
Position 610: 2.058179302392777e-08
Position 756: 1.8884565941113314e-08
Position 2465: 1.6833689205775515e-08
Position 914: 1.5530144624648878e-08
Position 947: 8.119720561549849e-09
Position 516: 7.719153433635439e-09
Position 671: 7.201128802791677e-09
Position 396: 7.130840467939895e-09
Position 615: 3.983032880803594e-09
Position 858: 3.305915764502777e-09
Position 1414: 2.623410268500193e-09
Position 535: 2.5539317577368873e-09
Position 759: 2.2500322209013335e-09
Position 657: 9.61590926156621e-10
Position 1285: 9.182311810179749e-10
Position 625: 7.658117334518862e-10
Position 532: 6.655791322958704e-10
Position 525: 6.017810243957517e-10
Position 189: 5.849701622194359e-10
Position 484: 2.782547879109165e-10
Position 642: 2.6932101340229804e-10
Position 372: 2.414116560622864e-10
Position 194: 1.666019902245318e-10
Position 634: 9.407200290329409e-11
Position 387: 4.2898982605052797e-11
Position 412: 3.692985420438771e-11
Position 419: 3.387718051435721e-11
Position 129: 2.960258910934298e-11
Position 703: 2.8393063652673194e-11
Position 891: 8.822180659555762e-12
Position 925: 8.386072318549015e-12
Position 779: 6.054217409877251e-12
Position 649: 7.54952758715267e-13
Position 374: 3.111590946296189e-13
Position 1433: 2.1647052921734442e-13
Position 1463: 2.0441892904278932e-13
Position 382: 1.2190410667037172e-13
Position 540: 1.1320190497161014e-13
Position 191: 3.3184162087389474e-14
Position 153: 1.276948487855164e-14
Position 140: 1.9933420783015144e-15
Position 807: 1.3229378327834917e-15
