Gene = CENPP
index = 346
Annotated 5SS: [   622   6868  12146  20304  54376 285910 287131]
Annotated 3SS: [  6685  12056  20214  54278 285829 287038 287534]
SMsplice 5SS: [   622   6868  12146  20304  54376  70196 135336 137850 148165 237000
 237200 272657 275025 280414 285910]
SMsplice 3SS: [  6685  12056  20214  54278  70094 135216 137658 148046 236765 237088
 272568 274945 280253 285829 287938]
top_k =  1000
Partition function (log Z): -135.19350814783866

Sorted 5' Splice Sites (High to Low Probability):
Position 12146: 0.9911732017140513
Position 20304: 0.9792834089768608
Position 6868: 0.8078053398034248
Position 622: 0.4361294912765787
Position 4861: 0.30899282701615216
Position 22023: 0.2880064149922477
Position 15559: 0.278226123882935
Position 536: 0.21694433879836192
Position 217: 0.19173354746741114
Position 28597: 0.0817078176490701
Position 10510: 0.06656590893788504
Position 6288: 0.049735090861324896
Position 8913: 0.049365349566419615
Position 1116: 0.047172426756582286
Position 1047: 0.046333065409461145
Position 17316: 0.04575197578670909
Position 16986: 0.045661357235591046
Position 14524: 0.04306692309880987
Position 10218: 0.041700300451460476
Position 17191: 0.04138599085292138
Position 969: 0.03919325278109971
Position 2364: 0.03897852865776682
Position 6963: 0.038633864004278595
Position 785: 0.0386210845635794
Position 1523: 0.03769546228282613
Position 6790: 0.035807066477802435
Position 106: 0.03129148776508514
Position 118: 0.03126935917067872
Position 7705: 0.029269008056453494
Position 6449: 0.02878446806130724
Position 579: 0.02360639206738504
Position 2531: 0.02356079808909263
Position 816: 0.02019347455507654
Position 16495: 0.018765161404443887
Position 2864: 0.018330637978355626
Position 4854: 0.014038823811363565
Position 10888: 0.012911806475503319
Position 2620: 0.012581246490051635
Position 30970: 0.01196716125103164
Position 2371: 0.010817071632128007
Position 12310: 0.009400202156145456
Position 16635: 0.008942861801484325
Position 4717: 0.008929829798671211
Position 8560: 0.007033331864396802
Position 8403: 0.006986871663585876
Position 7747: 0.006351187833991978
Position 906: 0.006036362440646817
Position 401: 0.005658432129805272
Position 100: 0.00538329400222038
Position 916: 0.005312344590310346
Position 15443: 0.004639008314896581
Position 23785: 0.00418663047748323
Position 2132: 0.004003283656362502
