Gene = RP4-613B23.5
index = 1185
Annotated 5SS: [   83 10362 18491 46394]
Annotated 3SS: [10242 18355 46166 47303]
SMsplice 5SS: [  347 10362 18491]
SMsplice 3SS: [10218 18355 43770]
top_k =  1000
Partition function (log Z): -23.860792705616362

Sorted 5' Splice Sites (High to Low Probability):
Position 10362: 0.9337933684734868
Position 18491: 0.5052313934093522
Position 347: 0.40888253612912145
Position 19574: 0.32816661429082944
Position 300: 0.2821519195854977
Position 18534: 0.22602150917573527
Position 83: 0.1431850958067113
Position 570: 0.1015642943264775
Position 13280: 0.07695058886537681
Position 18557: 0.0742169756093972
Position 384: 0.06313926376796654
Position 2614: 0.023914513006887135
Position 11278: 0.01773155500191087
Position 13479: 0.017159612247039168
Position 10672: 0.01683531758171941
Position 20520: 0.012640839637402083
Position 10897: 0.009835702907784466
Position 20202: 0.009433708793569437
Position 17667: 0.00904349696010701
Position 19359: 0.007057798423251927
Position 19008: 0.002430903509211781
Position 914: 0.000298730735687632
Position 543: 0.000147137048384553
Position 28: 0.00014686360203180904
Position 905: 0.00013532879427044164
Position 578: 0.00012151202502027043
Position 5531: 8.318252666741873e-05
Position 10398: 7.682210238732105e-05
Position 180: 7.535520667133814e-05
Position 3309: 7.318216988389736e-05
Position 1951: 6.283009744942462e-05
Position 8448: 6.162741860793144e-05
Position 68: 6.144924874697702e-05
Position 8031: 5.737996612672849e-05
Position 756: 5.712852186460628e-05
Position 8498: 5.116583938454881e-05
Position 1663: 4.847149116590974e-05
Position 4045: 4.347223789297976e-05
Position 1289: 2.1571320319165534e-05
Position 53: 1.5862999114510754e-05
Position 193: 9.08292472868299e-06
Position 2402: 3.3834651188760953e-06
Position 1595: 2.948210591085443e-06
Position 2110: 2.9253979444086664e-06
Position 2864: 1.8581783383716986e-06
Position 3153: 1.5608332519878085e-06
Position 1417: 1.5492097985734069e-06
Position 3073: 1.2317386575791399e-06
Position 2280: 4.859971176577893e-07
Position 1274: 3.9907929003045164e-07
Position 1508: 2.3468775839913877e-07
Position 1580: 1.4879389329075797e-07
Position 1313: 1.0987024731088255e-07
Position 734: 1.0715254878676831e-07
Position 4: 1.0455888052951916e-07
Position 220: 9.997133807706332e-08
Position 937: 8.965684985854905e-08
Position 59: 7.94543823177902e-08
Position 61: 7.591278972987913e-08
Position 1756: 3.10682551012256e-08
Position 142: 2.4102070769328076e-08
Position 524: 1.3407425116976671e-08
Position 1462: 1.2202571559764157e-08
Position 2827: 1.07257870301631e-08
Position 2761: 1.054628969503426e-08
Position 291: 1.0044631767747889e-08
Position 946: 9.495709255837978e-09
Position 2808: 8.462051265875992e-09
Position 664: 7.640381407283651e-09
Position 2218: 5.460466121530924e-09
Position 1765: 4.860571672230002e-09
Position 1499: 4.522661440993644e-09
Position 1912: 4.468929021632587e-09
Position 381: 3.622914447882574e-09
Position 1175: 3.5364242127091625e-09
Position 853: 2.8279464425833725e-09
Position 679: 1.7960365253921296e-09
Position 1229: 1.6575967671324482e-09
Position 887: 1.6504758304631758e-09
Position 957: 8.989321117932125e-10
Position 642: 6.559301697985705e-10
Position 619: 5.936390708931269e-10
Position 199: 2.8445014949042927e-10
Position 686: 2.4850444800952034e-10
Position 592: 2.3672581285809634e-10
Position 927: 1.6733154891883044e-10
Position 996: 1.5376284576292615e-10
