Gene = HGD
index = 650
Annotated 5SS: [  475  6780  7671 12145 29980 31798 34695 35599 36305 38253 40983 44117
 49425]
Annotated 3SS: [ 6707  7581 12038 29919 31705 34659 35518 36204 38127 40877 43989 49242
 54041]
SMsplice 5SS: [  475  7671 12145 31798 32221 34695 34998 35599 36305 38253 40983 44117
 49425]
SMsplice 3SS: [ 7581 12038 31705 32143 34659 34810 35518 36204 38127 40877 43989 49242
 53307]
top_k =  1000
Partition function (log Z): -21.62063982113311

Sorted 5' Splice Sites (High to Low Probability):
Position 12145: 0.9965075515711428
Position 7671: 0.9331127966023902
Position 475: 0.8013631572152491
Position 4318: 0.5422907365639139
Position 6780: 0.4778775968671875
Position 7862: 0.4610858762485997
Position 13955: 0.3391446020347121
Position 11731: 0.30266639109657634
Position 4668: 0.2837923927925276
Position 3387: 0.22787403731578948
Position 963: 0.11692010279323886
Position 12887: 0.11614720628135304
Position 8081: 0.11081666804790749
Position 4779: 0.10259328128067409
Position 9079: 0.09439557757496293
Position 184: 0.09177749348450437
Position 14676: 0.06545928525800808
Position 14667: 0.06288102114275924
Position 654: 0.06098499924874228
Position 13713: 0.05666561673793644
Position 11962: 0.05219672968745206
Position 2368: 0.04988612336728394
Position 11487: 0.04988204498791054
Position 6069: 0.048751487309803394
Position 8636: 0.04405942341276563
Position 11146: 0.043756333140657265
Position 8337: 0.04002425179269502
Position 3434: 0.03702407813401337
Position 1747: 0.03177650599846773
Position 12643: 0.030034389660092087
Position 8514: 0.027137573000800594
Position 5318: 0.026677095986310455
Position 7709: 0.02460701220341956
Position 10298: 0.023387908556051863
Position 11842: 0.022123121755477638
Position 11932: 0.02085822932586131
Position 8716: 0.019991685492065658
Position 3481: 0.016133297835075777
Position 10353: 0.01322482289818213
Position 13238: 0.013004982617404997
Position 8785: 0.012753769334500356
Position 13693: 0.012249003911017695
Position 3765: 0.01186247084555673
Position 1140: 0.01123982518724235
Position 7705: 0.01087586137774617
Position 254: 0.00957432355178821
Position 547: 0.008546397399547156
Position 2204: 0.007651100362935059
Position 10460: 0.007646662478201666
Position 5370: 0.007469203654950437
Position 4206: 0.007119762187307171
Position 13391: 0.004661543109532542
Position 8696: 0.004537104236837117
Position 4097: 0.004527907950103656
Position 1484: 0.004527370203731839
Position 4895: 0.00424404847847223
Position 7517: 0.0038284290947498286
Position 9391: 0.0037683398020037545
Position 12604: 0.003148822405207681
Position 247: 0.003124836243559074
Position 3364: 0.0029109050809729437
Position 12668: 0.0027192292735258553
Position 2432: 0.002703891703081722
Position 5489: 0.002567331152608849
Position 1335: 0.0025099454965937123
Position 7273: 0.0023617389971330002
Position 3929: 0.0021072513913825875
Position 3174: 0.001766174493754022
Position 969: 0.0016186459821856186
Position 9064: 0.001548633729459478
Position 844: 0.001513030521806208
Position 4672: 0.0013759542506012626
Position 13266: 0.0009287684249587501
Position 2840: 0.0009242163218142959
Position 6760: 0.0009203257662068436
Position 988: 0.0008459740047746395
Position 6899: 0.0008147488636440485
Position 6049: 0.0007347906807199639
Position 2015: 0.0007209583611043292
Position 7102: 0.0007192951140402275
Position 4928: 0.000698892445613036
Position 8302: 0.0006969870140060493
Position 226: 0.0006750345955589597
Position 4640: 0.0005572220658570416
Position 3270: 0.0005382919833033012
Position 8312: 0.0005355007488227045
Position 2697: 0.0005348713314956453
Position 14330: 0.00048818518666992634
Position 4442: 0.000475360654751829
Position 12549: 0.00045896446488519725
Position 7529: 0.0004486898895412999
Position 14322: 0.0004207676488152374
Position 8107: 0.00040605285404721555
Position 16706: 0.00038994340685328556
Position 2873: 0.0003833161062953745
Position 4008: 0.00036218667226825063
Position 2191: 0.0003503367601177954
