Gene = SEC61G
index = 1240
Annotated 5SS: [  85 1752 3468]
Annotated 3SS: [1651 3364 6825]
SMsplice 5SS: [ 209 1752 3468]
SMsplice 3SS: [1651 3321 6825]
top_k =  1000
Partition function (log Z): -0.6793310691477821

Sorted 5' Splice Sites (High to Low Probability):
Position 3468: 0.9208239222685947
Position 1752: 0.9156388248324558
Position 209: 0.6080479762207532
Position 1278: 0.4489935835013229
Position 2957: 0.2738622556380557
Position 89: 0.22059149663197414
Position 6217: 0.19567105633919918
Position 85: 0.1432832260696114
Position 983: 0.12939354463676067
Position 6409: 0.06909756932224145
Position 4004: 0.06528101284958668
Position 954: 0.05699464004334945
Position 5153: 0.054425441756991946
Position 1667: 0.044940753006380924
Position 111: 0.034581868833152014
Position 1428: 0.026185412355645834
Position 1626: 0.023322047908093075
Position 491: 0.018421180612389353
Position 6603: 0.018411165940232465
Position 6261: 0.01801543373610369
Position 807: 0.016643045546655588
Position 6475: 0.016434186121149854
Position 1318: 0.01575301735830165
Position 1949: 0.01407078975595432
Position 6462: 0.013439469409670486
Position 6708: 0.012317693652167203
Position 858: 0.009967400462327842
Position 1100: 0.006949214649423916
Position 581: 0.005860137630527718
Position 6650: 0.00530180319408107
Position 567: 0.004930042705611755
Position 2130: 0.0044339686620002055
Position 2203: 0.004240226154132186
Position 3472: 0.004078211730322152
Position 1238: 0.0038343140684550833
Position 107: 0.0031062985744899473
Position 5029: 0.0030427323317311853
Position 978: 0.0027293989601119323
Position 25: 0.002591146593501096
Position 6703: 0.002388141319819287
Position 4467: 0.0022822578505000434
Position 1350: 0.002022507285384232
Position 5322: 0.0019337463597910633
Position 4075: 0.001813243854986303
Position 5304: 0.0017162009249660564
Position 76: 0.0016792767845909167
Position 4218: 0.0016783329218981223
Position 3981: 0.0013843098186072278
Position 80: 0.0013190076580111775
Position 825: 0.001267848242493791
Position 669: 0.000993161968955867
Position 5250: 0.0007415384601463436
Position 1530: 0.0007395039217541223
Position 4581: 0.0005868629879186859
Position 6361: 0.0005691745523210795
Position 74: 0.000559482070812136
Position 1992: 0.0004997085414329256
Position 3706: 0.0004903472890759795
Position 408: 0.00047480487930651644
Position 530: 0.00032032454574065425
Position 851: 0.00030115356103868206
Position 1721: 0.00023902086713216577
Position 1409: 0.00023598311352571275
Position 1568: 0.00020643708657059362
Position 562: 0.00020469854120636427
Position 5212: 0.0001960318587553752
Position 6889: 0.0001347614719002786
Position 1545: 0.00013233421790708662
Position 6175: 0.0001309724182618526
Position 6883: 0.00012634825760641935
Position 19: 0.00012172989222405221
Position 736: 0.0001158690952584824
Position 3654: 0.00010302965648222918
Position 1047: 0.00010013710021160862
Position 5720: 9.702213716446632e-05
Position 2944: 8.16731906221196e-05
Position 5055: 8.150606339411884e-05
Position 1947: 7.921017299087779e-05
Position 1934: 7.732506702112237e-05
Position 2507: 7.098082611041936e-05
Position 1608: 6.543026505511604e-05
Position 576: 6.313284476364564e-05
Position 1981: 5.5939529187247165e-05
Position 572: 5.475316675084647e-05
Position 503: 5.4253521168468316e-05
Position 1552: 5.23686880140085e-05
Position 2539: 5.1407658363331765e-05
Position 2227: 4.752945827311641e-05
Position 1630: 4.6379290064190865e-05
Position 464: 4.014085541763365e-05
Position 56: 3.815332327557412e-05
Position 1031: 3.811838120926977e-05
Position 1134: 3.4644899493202045e-05
Position 4890: 2.431137071414352e-05
Position 417: 2.373176152252391e-05
Position 2192: 2.3083358819369852e-05
Position 1193: 2.010017655382907e-05
Position 1264: 1.7918647622798532e-05
Position 2449: 1.60383274948848e-05
Position 1700: 1.5210016420442947e-05
Position 1289: 1.3989354434458296e-05
Position 424: 1.32099626171002e-05
Position 178: 1.2491050222460947e-05
Position 432: 1.2188033447238695e-05
Position 1214: 1.096493302025369e-05
Position 2239: 8.377151576122269e-06
Position 640: 6.1386669786314305e-06
Position 1336: 5.4440531284155725e-06
Position 237: 4.757567284442823e-06
Position 419: 4.407482240821976e-06
Position 1599: 4.292202016249085e-06
Position 3656: 3.812818588845153e-06
Position 384: 3.2647981674283034e-06
Position 484: 2.7423675060738726e-06
Position 313: 2.480006448917531e-06
Position 162: 2.4221515794374706e-06
Position 451: 2.2637445541103236e-06
Position 515: 2.154338875025543e-06
