Gene = ASB6
index = 100
Annotated 5SS: [ 279 1625 2764 2964 3593]
Annotated 3SS: [1442 2656 2854 3505 3707]
SMsplice 5SS: [ 279 1625 2764 2964 3593]
SMsplice 3SS: [1527 2656 2854 3505 3707]
top_k =  1000
Partition function (log Z): 8.551940387290937

Sorted 5' Splice Sites (High to Low Probability):
Position 2764: 0.9986518550725835
Position 2964: 0.9739896202073698
Position 3593: 0.9516813541023627
Position 279: 0.8472804518270008
Position 1625: 0.7706114320408071
Position 3987: 0.4884501405033547
Position 1159: 0.2827890086116709
Position 4417: 0.25500311689238814
Position 2397: 0.2509131649527747
Position 3774: 0.1906475134209275
Position 2501: 0.1775943502386628
Position 632: 0.09675431701136725
Position 1956: 0.08146009784128262
Position 2141: 0.04137370007667801
Position 296: 0.031377105624538416
Position 4510: 0.01989393006422751
Position 71: 0.018075388257753393
Position 1652: 0.016984623764600547
Position 1678: 0.012258697682681837
Position 1644: 0.011345751131976688
Position 2367: 0.011119737679335658
Position 4954: 0.009237090767251918
Position 3050: 0.006446722403689069
Position 4295: 0.006360719530208039
Position 217: 0.005991976316869757
Position 2569: 0.005876456806872184
Position 987: 0.00573520587660665
Position 821: 0.005608216831986573
Position 995: 0.005528751717271976
Position 733: 0.005103128629441188
Position 4109: 0.004903149940111805
Position 4330: 0.004364519491563315
Position 3269: 0.004119747423649249
Position 815: 0.0040253824851356
Position 596: 0.0034592169121522684
Position 100: 0.0032884033749123053
Position 838: 0.0032168280404776023
Position 4855: 0.003211318067729897
Position 4828: 0.003080125627548769
Position 1163: 0.002175101737252328
Position 957: 0.0019836335339461805
Position 879: 0.001978909883743563
Position 2531: 0.0017917317849475512
Position 2968: 0.0017454863854394994
Position 1534: 0.0015653983506148433
Position 4379: 0.0013341864101029824
Position 204: 0.0013245998711129629
Position 4429: 0.0013215884854149106
Position 2775: 0.0011773690354250372
Position 676: 0.0007714707055390049
Position 76: 0.0007305082403044758
Position 917: 0.0006886394962987684
Position 2281: 0.000614797460849108
Position 2494: 0.0005305003400536817
Position 3642: 0.0004134177732365501
Position 1062: 0.000382640860677953
Position 1036: 0.00036638965385078873
Position 5058: 0.00031808523676219954
Position 1401: 0.00028692789856514923
Position 1132: 0.000283926344793963
Position 267: 0.0002792355878732569
Position 4160: 0.0002496566321097332
Position 1102: 0.0002394509012093342
Position 3029: 0.00015652118856492983
Position 893: 0.0001527940554595947
Position 702: 0.00014376868583831787
Position 1262: 0.00013064216377495054
Position 1448: 0.00012178064579406204
Position 420: 0.00012092892676798927
Position 2414: 0.00011546207415924895
Position 901: 9.233609181999335e-05
Position 2458: 7.193192784409794e-05
Position 2728: 6.585055429931055e-05
Position 2293: 5.912010870060585e-05
Position 3874: 5.049496880304133e-05
Position 3782: 3.972275598237032e-05
Position 3013: 3.7243334647409226e-05
Position 1318: 3.2141848640259603e-05
Position 626: 2.14111132093258e-05
Position 1412: 1.9463166527240216e-05
Position 3575: 1.8681001589039524e-05
Position 2942: 1.858019114708065e-05
Position 749: 1.838826624423707e-05
