Gene = ZC3HC1
index = 1595
Annotated 5SS: [  231  2419 10501 11988 22550 25294 27189 27941 29133]
Annotated 3SS: [ 2306 10349 11903 22421 25138 26944 27727 28925 32718]
SMsplice 5SS: [  231  7824 11988 22550 27189 27941 29133]
SMsplice 3SS: [ 7660 11903 22421 27087 27727 28925 32718]
top_k =  1000
Partition function (log Z): -1.2528240192513467

Sorted 5' Splice Sites (High to Low Probability):
Position 11988: 0.9985950319283989
Position 27941: 0.9713762767842828
Position 27189: 0.9452521925162309
Position 231: 0.905707679203249
Position 7824: 0.8753286244709144
Position 22550: 0.7421372337713774
Position 29133: 0.6977092125670581
Position 25294: 0.5170682391569925
Position 6136: 0.3620427908312593
Position 10501: 0.3275550318617953
Position 2526: 0.28010420358234184
Position 21612: 0.2775832535026229
Position 1009: 0.21269306446107492
Position 827: 0.2083867966441932
Position 28729: 0.13784662605821527
Position 2478: 0.1306061134581858
Position 27003: 0.0977257568611253
Position 3047: 0.054036915197703296
Position 10512: 0.04078782535703184
Position 12717: 0.04015039487534771
Position 28679: 0.040125473603776156
Position 28275: 0.03714482576946026
Position 6652: 0.03631654400311918
Position 8300: 0.03342257730927841
Position 8159: 0.03260682407547997
Position 32863: 0.02780024732783406
Position 7183: 0.025514605375398555
Position 28315: 0.021945587187412418
Position 27881: 0.021317706544559258
Position 28529: 0.020661084843067484
Position 30849: 0.02055606722900415
Position 28595: 0.018879846599857884
Position 1537: 0.017199950405269438
Position 98: 0.015751463378409263
Position 1556: 0.015355559728807835
Position 6068: 0.015165855107738012
Position 6234: 0.01512749183185019
Position 2771: 0.012819055571873865
Position 2667: 0.012529198483571688
Position 28705: 0.011537937836031934
Position 32202: 0.011508098187341179
Position 30020: 0.010407234504777312
Position 10908: 0.009724049159829617
Position 32993: 0.008680409464502941
Position 464: 0.00785330837690906
Position 5504: 0.007417886233832708
Position 28592: 0.007277907358555006
Position 6683: 0.006782788012616369
Position 29614: 0.0061988075504114505
Position 8538: 0.004941825523188447
Position 6014: 0.004787282040220069
Position 10177: 0.004599728360231831
Position 2438: 0.0038738390768041915
Position 28287: 0.0034972205060148703
Position 30879: 0.0032836332602867307
Position 30667: 0.003093552848366789
Position 30959: 0.0029060293873263135
Position 28473: 0.0028795075772570958
Position 28669: 0.0028129210315353797
Position 28322: 0.0024188644854983756
Position 1653: 0.0018608708597777444
Position 25290: 0.0018015955796151528
Position 6414: 0.0017031033538212731
Position 763: 0.0015256653923546167
Position 29184: 0.0014991945943783858
Position 30088: 0.0014031120066030508
Position 599: 0.0013568862660762657
Position 1756: 0.0013345684408295594
Position 118: 0.001249443924459768
Position 1142: 0.0012307325685845338
Position 10815: 0.001199185722505009
Position 254: 0.0011635955580935318
Position 28620: 0.0009461354583164087
Position 29954: 0.0008893623795582288
Position 657: 0.000878836193378233
Position 28700: 0.0007725232161347166
Position 28822: 0.000707428430335794
Position 28349: 0.0007056967630743268
Position 28517: 0.0006573134315953365
Position 3502: 0.0006233962690640536
Position 30785: 0.0006135976024549494
Position 2127: 0.0006116922339724429
Position 28986: 0.0006100094866403236
Position 1174: 0.0004882513841922812
Position 1546: 0.00045403239196412955
Position 2001: 0.00037127846604446637
Position 29153: 0.0003673523618767506
Position 299: 0.00034791445795296825
Position 1341: 0.00027762666932343424
Position 718: 0.0002703247459627602
Position 476: 0.0002590141167199751
Position 319: 0.00021635592109415884
Position 14802: 0.0001921408103959807
Position 22700: 0.00018806672701442213
Position 21863: 0.00017371666375405842
Position 28534: 0.00015608658759911438
Position 2005: 0.0001527058030824469
Position 1533: 0.00012553678118969977
Position 1298: 0.00010263681102833306
Position 6065: 8.622783178784783e-05
Position 243: 8.621244614923887e-05
Position 2051: 8.05495235221772e-05
Position 309: 7.34121306648632e-05
Position 140: 7.162353622441955e-05
Position 2587: 5.351935236912361e-05
Position 28500: 5.306258598633803e-05
Position 812: 5.250470608917349e-05
Position 235: 4.643978688458486e-05
Position 2581: 4.4447242642194406e-05
Position 124: 3.949323393809786e-05
Position 489: 3.880463336350078e-05
Position 2075: 3.835878750192223e-05
Position 1831: 3.6246979066609576e-05
Position 28392: 2.1455901662228066e-05
Position 2546: 2.104977863680018e-05
Position 29941: 1.8484448112545075e-05
Position 1701: 1.6042618235149113e-05
Position 791: 1.4321113865457194e-05
Position 145: 1.3704734936233202e-05
Position 2495: 1.0353741183902163e-05
Position 111: 1.0260894017613363e-05
Position 292: 7.282243140270257e-06
Position 12893: 7.195193752311339e-06
Position 847: 5.811314608659894e-06
Position 629: 4.84492080018792e-06
Position 1043: 4.584502442449263e-06
Position 670: 4.366683138769691e-06
Position 2432: 3.1075847866280578e-06
Position 13162: 3.014208437911466e-06
Position 2331: 2.4961912174439555e-06
Position 642: 2.4752677670517447e-06
Position 2660: 2.1162506834535776e-06
Position 29157: 1.5963969000521614e-06
Position 678: 1.5349913805130273e-06
Position 371: 1.2005536485769533e-06
Position 335: 7.840554858027113e-07
Position 36: 5.132366697918856e-07
Position 715: 3.9843524740654355e-07
Position 408: 3.5454817212661834e-07
Position 745: 3.0085089241184293e-07
Position 410: 2.817785260614741e-07
Position 1292: 2.61755647791974e-07
Position 2264: 1.587403612124955e-07
Position 261: 6.908742362797914e-09
Position 148: 2.9071349959124097e-09
Position 223: 1.3015246644885148e-09
Position 441: 1.9378525089289472e-11
Position 379: 3.1740529561907904e-12
Position 532: 2.089406063386162e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 27727: 0.9855274712075633
Position 27087: 0.9119960543848256
Position 11903: 0.9040744737163168
Position 7660: 0.8753286244709145
Position 28925: 0.840067865630099
Position 22421: 0.7423253004983918
Position 25138: 0.5188698347366076
Position 5962: 0.3886508056855439
Position 10365: 0.35946728375842024
Position 2306: 0.324021101879179
Position 21475: 0.27758325350262286
Position 32718: 0.25879044122036104
Position 30732: 0.2130645313444501
Position 28428: 0.19707543154794732
Position 26944: 0.12822032120942078
Position 699: 0.09058227682029919
Position 29282: 0.07530403230750336
Position 898: 0.06926718243818568
Position 930: 0.06658671848753953
Position 30809: 0.05267611224412138
Position 962: 0.052449279783924455
Position 32979: 0.05037858879810571
Position 28235: 0.04888659378744888
Position 2748: 0.04845325746913357
Position 29899: 0.048022512753501646
Position 2331: 0.041276636455584576
Position 28577: 0.040951823292255565
Position 8019: 0.03860230781358866
Position 30634: 0.0375371135183108
Position 6593: 0.03424237789959895
Position 745: 0.03148222442463394
Position 32763: 0.030233630802996025
Position 11878: 0.02876361266523676
Position 12598: 0.027683308221400804
Position 2465: 0.02706262014793178
Position 11836: 0.025499679562055795
Position 29307: 0.024444270717528662
Position 7015: 0.023072524643465105
Position 1385: 0.022669570096320722
Position 8181: 0.022168368445371248
Position 11867: 0.02096128524247946
Position 11818: 0.019295980742310457
Position 2432: 0.01855504216442507
Position 2611: 0.018275917451322784
Position 30084: 0.0171922062511519
Position 31846: 0.016240320709787096
Position 28964: 0.016074199904704854
Position 33121: 0.015361027543568984
Position 33077: 0.014516561507328175
Position 28190: 0.0133844986218092
Position 1486: 0.009779188940484757
Position 6176: 0.009327922996636664
Position 10645: 0.008998705354525417
Position 748: 0.008433384832030606
Position 28390: 0.007786904133696231
Position 416: 0.007662549583372421
Position 9996: 0.007434524987690876
Position 30788: 0.007259670254847223
Position 12594: 0.007161026129359929
Position 715: 0.005836161883101195
Position 27783: 0.005802999767659804
Position 7973: 0.005415627373297567
Position 28164: 0.005163760418956365
Position 2879: 0.00506549171981654
Position 5412: 0.0047417254844980975
Position 28522: 0.004472885430993633
Position 30279: 0.004434885796763611
Position 12531: 0.004349480107649649
Position 32103: 0.0042757208207421385
Position 32136: 0.003870153371464532
Position 10498: 0.0036871616242154155
Position 6527: 0.0035777920624140013
Position 718: 0.0034544626981729614
Position 30770: 0.0033489591325580924
Position 32682: 0.0033165754247666177
Position 28617: 0.0032671739861148915
Position 874: 0.003253313768721044
Position 2898: 0.0031928447509429014
Position 32738: 0.0030462473304314923
Position 31904: 0.0030010863606810025
Position 29595: 0.0029650040276063723
Position 29686: 0.0029597169741795945
Position 823: 0.0029258645247614034
Position 430: 0.0029094846547535447
Position 8451: 0.0028198008350966705
Position 2287: 0.0028096043597804917
Position 29445: 0.0028071198998961626
Position 28134: 0.002774586242892347
Position 26966: 0.002761573783109844
Position 5362: 0.0026179204299194873
Position 352: 0.00260898675872276
Position 611: 0.0025954510348522443
Position 1530: 0.0025623359888399017
Position 7103: 0.002442080731933425
Position 9977: 0.0023536152087324956
Position 31250: 0.002299416018767683
Position 29758: 0.002090341365987207
Position 33022: 0.002000005213387247
Position 31762: 0.0019825007471567413
Position 10668: 0.0019245295278092149
Position 6490: 0.0018475756106266098
Position 30189: 0.0017973128721516722
Position 30923: 0.0017869593935382145
Position 32789: 0.0017810926190770472
Position 31370: 0.001744733641537824
Position 8201: 0.00163913759833952
Position 27806: 0.0015722043242514074
Position 29494: 0.0015536806560955672
Position 599: 0.0013947126014525867
Position 335: 0.0013847278303643447
Position 28550: 0.0013212568660973382
Position 6550: 0.0012875213797848655
Position 32067: 0.0012108707904481275
Position 29229: 0.001210367903970336
Position 31207: 0.0011912185772479141
Position 578: 0.0011796335178816853
Position 6534: 0.0011013923092213873
Position 2310: 0.0010893028316675403
Position 563: 0.0010816604868692289
Position 28942: 0.0010609179283495801
Position 6599: 0.0010426727540897268
Position 29629: 0.0009810853049215709
Position 12618: 0.0009623323208780739
Position 2190: 0.0009356208908756774
Position 28210: 0.0009232914751986427
Position 27768: 0.0008733919007836077
Position 31876: 0.0008546888858657275
Position 2841: 0.0008399968880316501
Position 762: 0.0007810662310001378
Position 1107: 0.00075477739056165
Position 28409: 0.0007338701733039433
Position 560: 0.0007264715434067163
Position 2916: 0.0007087314816232073
Position 1975: 0.0006864988945578278
Position 28629: 0.0006780130258721943
Position 30944: 0.0006765438241624252
Position 29848: 0.0006687310078983574
Position 30000: 0.0006089986391580164
Position 29055: 0.0005680299071341846
Position 6306: 0.000541579210688979
Position 28580: 0.0005244329895252529
Position 2573: 0.0004905711225741833
Position 621: 0.0004640621621699029
Position 633: 0.0004639370910059219
Position 701: 0.0003924816660767123
Position 6285: 0.00039244310380704333
Position 29037: 0.000388200326319065
Position 28155: 0.00038786268920618355
Position 1590: 0.00037003428392967425
Position 2985: 0.00036093092524752966
Position 3387: 0.00034592829202514486
Position 8368: 0.000325986801434597
Position 2335: 0.00032069839307977013
Position 629: 0.0002891859748501177
Position 28073: 0.0002839862100494452
Position 3466: 0.0002774679770389085
Position 30107: 0.00026441204515741736
Position 1607: 0.0002622397730229017
Position 1635: 0.0002570721135798031
Position 27936: 0.00024282951644116283
Position 645: 0.00021520457529114264
Position 1723: 0.0002111098581724647
Position 2402: 0.00020496836990632628
Position 772: 0.0002019061495370646
Position 653: 0.00019228485667651104
Position 826: 0.0001898007534685131
Position 21713: 0.00017531142780823381
Position 2614: 0.0001691170794697145
Position 28529: 0.00014853963672033604
Position 28885: 0.00014823978033145705
Position 14484: 0.00013668048870872206
Position 464: 0.00012991336246402744
Position 27933: 0.00011154291208816153
Position 1396: 0.00011140906516983549
Position 902: 9.414092421202674e-05
Position 1430: 8.230864280841747e-05
Position 30406: 8.191964852696576e-05
Position 2353: 7.606191272063985e-05
Position 2513: 7.570521445483866e-05
Position 1860: 7.326366618198263e-05
Position 979: 7.280205689353617e-05
