Gene = YOD1
index = 1585
Annotated 5SS: [390]
Annotated 3SS: [1353]
SMsplice 5SS: [390]
SMsplice 3SS: [1353]
top_k =  1000
Partition function (log Z): -8.620544262498171

Sorted 5' Splice Sites (High to Low Probability):
Position 390: 0.9421654642802251
Position 1208: 0.08252471482112525
Position 1974: 0.06110464637039906
Position 695: 0.05026767566447931
Position 66: 0.05016181719454553
Position 1095: 0.046768056557145624
Position 1740: 0.028967670509233948
Position 1429: 0.02511474988004044
Position 150: 0.024832843681840664
Position 251: 0.02337606807886809
Position 1417: 0.020953307484384218
Position 4564: 0.01448013695513714
Position 480: 0.014110381333612193
Position 1354: 0.010938304032796416
Position 1420: 0.01051703982043987
Position 303: 0.00930065393896252
Position 1434: 0.0073743946521192295
Position 1603: 0.005542362436322213
Position 640: 0.0025624737862214534
Position 1029: 0.0022050072004829034
Position 110: 0.0008224233281237234
Position 1501: 0.0008157055762252377
Position 5758: 0.0007371787502733571
Position 4307: 0.0007013094969914503
Position 474: 0.0006790755301894627
Position 1239: 0.0006104896327464712
Position 4369: 0.0005858360956142892
Position 161: 0.00046029627725511997
Position 2528: 0.0003508815669516326
Position 2421: 0.00034038335118529
Position 1505: 0.0003090638635794148
Position 49: 0.00029091548779977035
Position 1452: 0.00024157610327643132
Position 442: 0.0002358041329693505
Position 758: 0.00019489677762635275
Position 5185: 0.00015813970810313782
Position 96: 0.00014920786817690097
Position 1396: 0.000126155968739727
Position 1083: 0.00011052531681534147
Position 80: 8.82015469794893e-05
Position 1026: 6.532674368052717e-05
Position 334: 5.774396267242893e-05
Position 2131: 5.4569131855412004e-05
Position 838: 4.6071679914831616e-05
Position 1227: 4.3298811727334706e-05
Position 4198: 4.279667495977985e-05
Position 1269: 3.6709311210715046e-05
Position 1188: 3.141305347488106e-05
Position 1042: 2.966689293337103e-05
Position 2402: 1.728558767760605e-05
Position 3826: 1.4643107903688133e-05
Position 184: 1.1545031612120542e-05
Position 967: 8.333663019837478e-06
Position 317: 7.661700434709326e-06
Position 953: 7.631803199351366e-06
Position 981: 6.4597995463785325e-06
Position 588: 4.3161651346670454e-06
Position 419: 2.220554436960229e-06
Position 558: 1.9652939121577806e-06
Position 1273: 1.6278003115378704e-06
Position 221: 1.6105809815462994e-06
Position 989: 1.371917100950378e-06
Position 890: 1.3312260644855624e-06
Position 802: 1.1556982067113394e-06
Position 1052: 1.0537528349267703e-06
Position 964: 8.455815503738832e-07
Position 1151: 7.073854329535598e-07
Position 12: 4.0861923247997607e-07
Position 1106: 2.184066013244565e-07
Position 1248: 2.0154420684681444e-07
Position 678: 1.825925056265872e-07
Position 484: 9.055291721473972e-08
