Gene = ERRFI1
index = 509
Annotated 5SS: [  151 10814 11001]
Annotated 3SS: [10615 10923 11911]
SMsplice 5SS: [  151 10814 11001]
SMsplice 3SS: [10615 10923 11911]
top_k =  1000
Partition function (log Z): -10.049137876478985

Sorted 5' Splice Sites (High to Low Probability):
Position 151: 0.9500082275203302
Position 10814: 0.7505783785501877
Position 11001: 0.3394592328471746
Position 11027: 0.2196177116031795
Position 10801: 0.18187873817334071
Position 12043: 0.15104878586848727
Position 9558: 0.11319592436879092
Position 6174: 0.10416821033853095
Position 12076: 0.08040818027438164
Position 3916: 0.07278433991459657
Position 805: 0.06666891922086855
Position 4970: 0.06161282284310612
Position 9577: 0.043589394355963956
Position 1248: 0.04121859203474941
Position 3352: 0.03161205527038714
Position 11059: 0.02279361416698224
Position 2523: 0.022623593808983166
Position 562: 0.019355545909452182
Position 4525: 0.018654981220462063
Position 3879: 0.018083500350842545
Position 12453: 0.010946183852223873
Position 1203: 0.009472060531372723
Position 13001: 0.009348805181716869
Position 3090: 0.005836004801169506
Position 1966: 0.00502724637778381
Position 13911: 0.004148904191072583
Position 2489: 0.003907223130284854
Position 969: 0.0034247221833138422
Position 3859: 0.002728278443106477
Position 14333: 0.0025864910554085053
Position 12215: 0.0023255308491239436
Position 899: 0.0014391676786775433
Position 5723: 0.0012832881064045207
Position 2258: 0.0011683163470085928
Position 1767: 0.001053027120203823
Position 1121: 0.001026597699574845
Position 11576: 0.0009024736794884608
Position 11328: 0.0007491749607966798
Position 3871: 0.0006899579465260765
Position 3703: 0.0003712086602791722
Position 11: 0.0003633511894599923
Position 765: 0.00032110045748959357
Position 4152: 0.0001973099494316783
Position 748: 0.0001565082436503736
Position 4993: 0.0001322615036133313
Position 539: 0.00012435103762756863
Position 4015: 0.00012135083551519952
Position 12780: 0.00011185714417450448
Position 10310: 0.00010768996966106019
Position 11586: 9.440593420565805e-05
Position 4798: 9.270264730820744e-05
Position 356: 5.702962455062847e-05
Position 1186: 5.6502423947870565e-05
Position 967: 5.141949301644759e-05
Position 176: 3.2096159070194786e-05
Position 744: 2.628925602628468e-05
Position 12040: 2.3545183949071184e-05
Position 65: 2.2430558058274725e-05
Position 6: 1.0251699972902234e-05
Position 591: 5.687454375051731e-06
Position 686: 2.9886279975659094e-06
Position 448: 2.8464484741872996e-06
Position 754: 1.877908323506782e-06
Position 692: 1.4118507141243086e-06
Position 873: 1.3928042432925036e-06
Position 716: 1.3287395023992956e-06
Position 1308: 1.2946604097127305e-06
Position 741: 1.1567377881017085e-06
Position 284: 1.1375289311422458e-06
Position 651: 1.1286129779552143e-06
Position 329: 9.787219316060456e-07
Position 300: 8.882453527848774e-07
Position 412: 5.854729633837672e-07
Position 1030: 3.4010449954859645e-07
Position 2155: 3.3919844592151583e-07
Position 2249: 2.9646371535477093e-07
Position 983: 2.5405948940922574e-07
Position 2094: 2.4945572373620955e-07
Position 662: 2.42557236993631e-07
Position 631: 2.3926815970405965e-07
Position 973: 2.0250922746091097e-07
Position 568: 1.689706157401418e-07
Position 1463: 1.1631352597482305e-07
Position 945: 1.067403622134176e-07
Position 23: 7.967484323057432e-08
Position 1710: 5.976618913300064e-08
Position 1023: 5.281932154768678e-08
Position 820: 4.3550989253276077e-08
Position 998: 4.09777452584697e-08
Position 1323: 3.7359171568829134e-08
Position 1253: 2.708195927850804e-08
Position 936: 2.2490319066871442e-08
Position 1319: 2.1392341365017414e-08
Position 1673: 2.0319549536524388e-08
Position 445: 1.5869285221226162e-08
Position 1752: 1.3581132513175986e-08
Position 2872: 7.831973664579056e-09
Position 503: 3.6944158553026943e-09
Position 2338: 2.6458904745640713e-09
Position 1895: 2.6153819736397142e-09
Position 451: 2.4840426627740282e-09
Position 684: 1.7516158640139888e-09
Position 675: 1.7286673916106943e-09
Position 266: 1.3774311600570414e-09
Position 1176: 1.353275563204037e-09
Position 2694: 1.1838229554315461e-09
Position 1585: 9.342102263501148e-10
Position 358: 5.479517847040963e-10
Position 670: 4.189723346900106e-10
Position 2133: 2.419662038890264e-10
Position 3328: 1.9184250573538468e-10
Position 2444: 1.9037801418750305e-10
Position 1355: 5.539720561600378e-11
Position 1238: 4.5331024415267774e-11
Position 1172: 8.814832237776779e-12
Position 701: 5.8457532832827175e-12
Position 1035: 3.812998599046818e-12
Position 200: 1.3001111442168948e-12
Position 611: 9.730415899279648e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 10615: 0.8180770534989947
Position 10923: 0.6316489272247963
Position 11911: 0.44685567763455153
Position 9428: 0.15859411421159111
Position 14048: 0.11502002756573246
Position 12370: 0.08492372454376043
Position 12944: 0.06834135126764798
Position 11862: 0.06625293607468404
Position 11956: 0.06581838978628435
Position 13629: 0.062470398629033495
Position 10660: 0.05619496365690258
Position 10644: 0.056103721158093894
Position 3770: 0.050524958034013724
