Gene = PQLC2L
index = 1066
Annotated 5SS: [  113  9944 27910 28647]
Annotated 3SS: [ 9832 27779 28557 56795]
SMsplice 5SS: [  113  9944 27910 28647 50185]
SMsplice 3SS: [ 9832 27779 28557 50009 56795]
top_k =  1000
Partition function (log Z): -27.406249260937404

Sorted 5' Splice Sites (High to Low Probability):
Position 9944: 0.9935887458706525
Position 113: 0.7623070555617815
Position 14615: 0.5575323706350334
Position 10450: 0.4898311127065875
Position 11641: 0.3770741889928597
Position 2565: 0.1823450663130484
Position 14656: 0.10712846559541468
Position 15711: 0.10444166112881004
Position 3974: 0.09945263874661847
Position 415: 0.09372603324887867
Position 1585: 0.07784066281907273
Position 98: 0.0735773581366605
Position 16299: 0.05857537078588803
Position 2475: 0.051282613815725735
Position 10923: 0.04325130300434156
Position 1101: 0.043218237557750304
Position 1416: 0.029359669393782182
Position 4962: 0.024798890855884652
Position 34: 0.024520652680514177
Position 12555: 0.02388186458841039
Position 2399: 0.023494277066790442
Position 153: 0.023065572515462443
Position 11457: 0.020993475505666305
Position 1174: 0.017625287288412922
Position 12546: 0.01525393982369613
Position 13453: 0.01475218813484107
Position 12657: 0.011635419800193197
Position 16026: 0.010538662883542242
Position 19923: 0.010054645349437993
Position 7826: 0.009176263639361922
Position 11239: 0.009094725104975998
Position 445: 0.007838699437384217
Position 79: 0.007335969969238324
Position 10504: 0.0066981504050559
Position 11653: 0.005193207588313156
Position 936: 0.0051475465129392625
Position 2276: 0.004098712042311481
Position 11268: 0.0038479975678176494
Position 11234: 0.003825089478889768
Position 11365: 0.00360290911636601
Position 11494: 0.0035767600053563495
Position 10773: 0.0034185503020146457
Position 10316: 0.0031805378267022746
Position 11479: 0.002944610036761504
Position 43: 0.0020890416844081988
Position 12535: 0.001969427140839306
Position 1575: 0.0015720522386088785
Position 10953: 0.001346468532061618
Position 1178: 0.0012975008503636868
Position 803: 0.0012966932609379332
Position 248: 0.001182347240534582
Position 261: 0.001041619700079699
Position 16243: 0.0007824152911849245
Position 1045: 0.0007217837259924801
Position 1208: 0.0007212647082665592
Position 1507: 0.0006713681789156033
Position 3136: 0.0006566053204442912
Position 117: 0.0006421809531714043
Position 569: 0.0006050629004341352
Position 12544: 0.0005135723706793656
Position 3480: 0.0005062375883368978
Position 11159: 0.00030586503652820006
Position 1381: 0.0001893947351868698
Position 221: 0.00017061407589179144
Position 12553: 0.00014846787593260293
Position 1244: 0.0001287391865266699
Position 1199: 9.259867669902663e-05
Position 197: 8.371720994958904e-05
Position 460: 4.985630372090652e-05
Position 1067: 4.3775526887010584e-05
Position 4093: 2.7777886042759496e-05
Position 3980: 2.748969606769359e-05
Position 1895: 2.4776176964284397e-05
Position 10212: 2.140900835667451e-05
Position 1582: 2.0361824289096517e-05
Position 59: 1.8452907902387933e-05
Position 10270: 1.4487168288282432e-05
Position 309: 1.4375182328334655e-05
Position 1395: 1.3409248013667366e-05
Position 47: 6.6016940245157035e-06
Position 240: 5.806218038684458e-06
Position 321: 4.337931630329302e-06
Position 7194: 2.8694818380706254e-06
Position 403: 2.1377498022915592e-06
Position 528: 1.6077083416872943e-06
Position 787: 1.5414057725119397e-06
Position 1075: 1.4591804069555912e-06
Position 238: 1.1016404764527847e-06
Position 130: 8.196111494062089e-07
Position 996: 7.830462431752485e-07
Position 1013: 6.503612691106443e-07
Position 465: 6.203563392214501e-07
Position 278: 5.268330585921768e-07
Position 2516: 5.236508288876652e-07
Position 2559: 3.5015672868015766e-07
Position 606: 1.9890069195153953e-07
Position 871: 1.5992309270567134e-07
Position 2362: 1.5879530884245825e-07
Position 2762: 1.576568683234614e-07
Position 281: 1.4154651754519542e-07
Position 892: 1.1340685392561022e-07
Position 453: 1.083527748997839e-07
Position 38: 8.662158344937171e-08
Position 214: 5.439358172990144e-08
Position 463: 1.0690103326756563e-08
Position 347: 2.9694850999919585e-09
Position 493: 2.056638040788458e-09
Position 342: 1.3156833005734371e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 9832: 0.9550077610551173
Position 14248: 0.6939292450314604
Position 23766: 0.3238408706974458
Position 11401: 0.21685277920052798
Position 2365: 0.2118012301260277
Position 11550: 0.14019219867099725
Position 10169: 0.12052783024865119
Position 10363: 0.11987124504735579
Position 27201: 0.11580191644270517
Position 10236: 0.0986223894761994
Position 15642: 0.09807111143985438
Position 10119: 0.0964178436199873
Position 12450: 0.06316133700575365
Position 15928: 0.06196504466528407
Position 25909: 0.06063612089942737
Position 3894: 0.05779307947628819
Position 19985: 0.05446022016830831
Position 18331: 0.05134110282784498
Position 19841: 0.049177505937907574
Position 1452: 0.04561957147696873
Position 14230: 0.040089469743906266
Position 9855: 0.03863934126987881
Position 11364: 0.038632696881633705
Position 24056: 0.036131465627102344
Position 10772: 0.03386359037108796
Position 307: 0.032532541169105686
Position 1235: 0.03055970060713742
Position 2424: 0.028375730432595375
Position 14471: 0.028092791872281257
Position 10947: 0.025257614218822586
Position 1100: 0.024989003359538534
Position 4833: 0.024820414300519615
Position 16125: 0.02412076178624435
Position 19811: 0.023992072651038455
Position 10223: 0.02268162887204622
Position 17170: 0.02213295511219661
Position 3851: 0.017745553407048427
Position 18763: 0.01746720274646836
Position 17407: 0.017163788851756043
Position 16046: 0.01644678485224458
Position 3920: 0.01626871447515753
Position 10261: 0.016159683680374248
Position 10400: 0.01441650840872807
Position 13352: 0.013318550453898972
Position 1413: 0.012676962886387842
Position 19988: 0.01195465064515891
Position 17954: 0.01024982211051971
Position 2348: 0.009605425830634631
Position 11598: 0.009407473133375397
Position 7578: 0.009236866354064201
Position 10379: 0.008674102047412428
Position 21524: 0.007968104684721053
Position 10239: 0.007896271356974573
Position 1520: 0.007494989652846286
Position 3767: 0.006824957543517872
Position 21625: 0.006768992456462772
Position 685: 0.006396059093265592
Position 10753: 0.0063699619973904935
Position 1010: 0.00622529326011968
Position 20110: 0.0059090983771800925
Position 15666: 0.005584557366559461
Position 11472: 0.005447131257506196
Position 11315: 0.004727141642150858
Position 2179: 0.0038479883497208466
Position 20467: 0.003160064869088903
Position 16508: 0.003087086373290829
Position 996: 0.0030779051003820383
Position 11111: 0.0029286425574783386
Position 10034: 0.0029190200940957074
Position 12578: 0.0028971572282051063
Position 13146: 0.0028431624891861996
Position 10640: 0.0027695651098797475
Position 15308: 0.0026526713508977008
Position 10329: 0.00262885887490535
Position 2463: 0.0024762636497885587
Position 2466: 0.002400126717241475
Position 10828: 0.002394329884942834
Position 17977: 0.0021360131362140908
Position 1291: 0.002022741098098103
Position 14695: 0.0019101184597414076
Position 16345: 0.0017610275041956044
Position 202: 0.0016618260461244874
Position 12953: 0.0015116313910377946
Position 12009: 0.0014570924775754543
Position 11075: 0.0013405333599500802
Position 17784: 0.0012586643426353624
Position 406: 0.0012345290707759258
Position 10913: 0.0010944046151912011
Position 10776: 0.0009995741779240126
Position 10123: 0.0008848714845388853
Position 3903: 0.0008663087054510315
Position 839: 0.0008596782447288248
Position 15783: 0.0008559929517720514
Position 14699: 0.0008006811617711482
Position 2398: 0.000782962896822069
Position 17308: 0.000779765829115464
Position 2237: 0.000770585859028731
Position 15884: 0.0006967964031774323
Position 13652: 0.0006941630041754866
Position 270: 0.0006154473426596344
Position 2988: 0.0006029848050996047
Position 12365: 0.000512323409741535
Position 3375: 0.0005021354290279352
Position 10405: 0.0004943038601063113
Position 12777: 0.00048171012134727445
Position 842: 0.0004688586964187492
Position 293: 0.0004355762382424915
Position 705: 0.0004169634884410153
Position 1036: 0.0004165890428674298
Position 350: 0.00041588514274768255
Position 11177: 0.00040242865562331126
Position 2276: 0.0003348178059374217
Position 13288: 0.0002611888188571327
Position 12146: 0.0002523194777929539
Position 2047: 0.00019720611891206458
Position 7304: 0.00013398111217045815
Position 12669: 0.00011565250627221772
Position 2008: 9.044334633879867e-05
Position 1080: 8.305323184342249e-05
Position 1187: 8.257124981543322e-05
Position 866: 5.574379492321719e-05
Position 1522: 5.047451920845989e-05
Position 214: 4.59375376482918e-05
Position 1511: 4.394820375058912e-05
Position 761: 4.3410066133258754e-05
Position 681: 4.152952717742198e-05
Position 12498: 3.5991956609613905e-05
Position 3009: 3.379395925203889e-05
Position 10417: 3.360423371690403e-05
Position 8371: 3.0228815289004483e-05
Position 11740: 2.9533112769203758e-05
Position 1044: 2.595560472639054e-05
Position 321: 2.4540400978002957e-05
Position 2033: 2.2041413137099016e-05
Position 6800: 2.1347090662098225e-05
Position 5831: 2.0929505153953958e-05
Position 7137: 1.9194920215496975e-05
Position 778: 1.781404926292948e-05
Position 2128: 1.7591430499089866e-05
Position 11332: 1.7448825491848407e-05
Position 1710: 1.6959937779189275e-05
Position 2106: 1.4900937051857162e-05
Position 547: 1.4668969530914972e-05
Position 7459: 1.4408222941903906e-05
Position 2916: 1.3647539342622585e-05
Position 1986: 1.3081260642015245e-05
Position 1251: 1.3054710306244806e-05
Position 238: 1.2884805697123214e-05
Position 13240: 1.20350447547555e-05
Position 1547: 1.175768051392863e-05
Position 3026: 1.1420637291529889e-05
Position 7166: 1.09991942826811e-05
Position 3256: 1.0311328060030217e-05
Position 2035: 1.0201526723261306e-05
Position 1954: 1.0073428772480737e-05
Position 187: 9.158647805267275e-06
Position 5942: 9.116737845667918e-06
Position 5275: 9.040201611504182e-06
Position 6704: 8.546643729487676e-06
Position 9374: 8.292609900149796e-06
Position 2469: 7.195131982716115e-06
Position 3676: 7.154402036258817e-06
Position 8396: 6.852784882082567e-06
Position 8088: 6.302728343137115e-06
Position 6900: 6.15219611132833e-06
Position 2290: 5.950094175070958e-06
Position 378: 5.139385023921638e-06
Position 2320: 5.0531142041348445e-06
Position 2391: 4.665705262550822e-06
Position 2509: 4.520296820232724e-06
Position 3715: 4.217507125628748e-06
Position 7825: 4.110705181482761e-06
Position 1436: 4.0991453663642876e-06
Position 248: 3.3722198991164704e-06
Position 1796: 3.306561683259002e-06
Position 7409: 3.250783951706678e-06
Position 6097: 3.1309329930232385e-06
Position 892: 3.016484793433085e-06
Position 1381: 2.9625139486680775e-06
Position 4556: 2.8528778261470107e-06
Position 1660: 2.7542359699187984e-06
Position 5324: 2.7246538609462458e-06
Position 1260: 2.579621826791165e-06
Position 1799: 2.4391646146591734e-06
Position 272: 2.053841861570434e-06
Position 1171: 1.7284434860135615e-06
Position 477: 1.6296764604801715e-06
Position 5889: 1.5757866481763737e-06
Position 4624: 1.247059835379443e-06
Position 4465: 1.2322226532638435e-06
Position 4518: 1.0840013332402903e-06
Position 4128: 7.50847287425585e-07
Position 844: 7.105617019871887e-07
Position 687: 6.188659029651342e-07
Position 606: 5.38847191848244e-07
Position 408: 4.465406805953443e-07
Position 802: 3.8760834968886517e-07
Position 375: 3.3417624845277986e-07
Position 2256: 2.9690869569433435e-07
Position 2293: 1.841265280745959e-07
Position 1060: 1.4445080968741305e-07
Position 1311: 1.2974456229176225e-07
Position 1194: 9.604420867891149e-08
Position 1319: 8.365024615572102e-08
Position 1243: 8.084204386000286e-08
Position 1350: 8.004981680279158e-08
Position 370: 7.581655570811865e-08
Position 445: 5.99772562941385e-08
Position 1299: 4.444347561480145e-08
Position 2698: 3.823695723272715e-08
Position 573: 3.63996983202978e-08
Position 2712: 3.3360268405269255e-08
Position 790: 2.6174434399001047e-08
