Gene = SMCO1
index = 1278
Annotated 5SS: [ 207 5847]
Annotated 3SS: [5696 7034]
SMsplice 5SS: [ 263 5847]
SMsplice 3SS: [5696 7034]
top_k =  1000
Partition function (log Z): -8.203739943556881

Sorted 5' Splice Sites (High to Low Probability):
Position 5847: 0.9687242479201734
Position 263: 0.7557167500096973
Position 7129: 0.3387528957246637
Position 6872: 0.24841661637482407
Position 207: 0.07987562169185795
Position 5241: 0.0703312962447236
Position 333: 0.05370401044781207
Position 4542: 0.050079257972280154
Position 6840: 0.046613378859093266
Position 694: 0.03662334961690524
Position 1313: 0.03355115204329236
Position 378: 0.02176372863724455
Position 7396: 0.019094936494497693
Position 7136: 0.013467076379516036
Position 6730: 0.011839372331689114
Position 7303: 0.009597712072332796
Position 1568: 0.008734420376155853
Position 7274: 0.007185354677750632
Position 961: 0.006460994695085878
Position 7746: 0.006385278491251827
Position 5786: 0.0056918481696559145
Position 426: 0.005489005830273121
Position 1457: 0.005287091460864846
Position 1863: 0.005099543005694204
Position 4691: 0.004988363915520567
Position 7351: 0.004947991678356836
Position 2473: 0.004901322679438008
Position 1032: 0.0040817770535031
Position 1101: 0.003894037321560102
Position 7540: 0.003405659956547648
Position 6070: 0.0033132810103960546
Position 714: 0.0030757564537172853
Position 7171: 0.0029798329682710883
Position 661: 0.002952664011822005
Position 241: 0.0026923777979379077
Position 1088: 0.0026547338967567034
Position 4520: 0.001985421827066404
Position 846: 0.0016272433966908774
Position 5927: 0.0015666692338640411
Position 1411: 0.0015488783583811673
Position 5887: 0.0011461550370273684
Position 5094: 0.001037498192433145
Position 1379: 0.0010233110734664615
Position 549: 0.0010066734844538345
Position 5851: 0.0009220265390178254
Position 861: 0.000914374169042586
Position 6241: 0.0008799101135195272
Position 6904: 0.0008001229832477154
Position 8021: 0.0007753163184451232
Position 5312: 0.0006855394624737855
Position 699: 0.0006063891945962778
Position 4656: 0.0005762243971311467
Position 1225: 0.0005759134891120903
Position 788: 0.0005670319290780707
Position 2660: 0.000544691783655876
Position 4972: 0.00044957924449293054
Position 1598: 0.0004484946696976165
Position 6692: 0.000444010977760747
Position 5903: 0.000434541452502064
Position 2779: 0.0003730383511870765
Position 2300: 0.00036450494160424025
Position 1081: 0.00036445832267841216
Position 7195: 0.0003534432031502336
Position 1998: 0.00035215297823111514
Position 4793: 0.00034857209161925175
Position 5395: 0.00031778934203151305
Position 2628: 0.00031642421870064043
Position 7081: 0.0002975938314517815
Position 4780: 0.00029072878285138124
Position 5600: 0.00027203967168080046
Position 750: 0.00025843224370752064
Position 8091: 0.00024227787764114379
Position 5089: 0.00024069576748435339
Position 4768: 0.00023390257024318565
Position 1302: 0.00022288849135988932
Position 1815: 0.0002184438189936382
Position 5173: 0.00021286053683030793
Position 1133: 0.0002095940254007631
Position 933: 0.00019097813585805762
Position 7692: 0.00018240122467331059
Position 2610: 0.00018140461258735449
Position 2162: 0.0001776585582026634
Position 2479: 0.00017132658619107953
Position 2367: 0.0001692521493103937
Position 29: 0.00015630712682247774
Position 5833: 0.00015075744092863362
Position 6158: 0.0001360088551441297
Position 1462: 0.00013575479880822974
Position 537: 0.00013315366133549226
Position 619: 0.00013276174150970215
Position 471: 0.00012691467041998886
Position 6648: 0.000124210904285905
Position 6941: 0.0001239273247953703
Position 5351: 0.00012146038047361197
Position 2979: 0.00011941262432583021
Position 3: 0.00011485068575390699
Position 5286: 0.00010917564924273593
Position 1180: 0.00010597834983658934
Position 7186: 8.508065356186013e-05
Position 631: 8.285047511417785e-05
Position 7271: 7.84665615637758e-05
Position 2904: 7.814599556893474e-05
Position 6876: 7.288108779673812e-05
Position 5206: 6.733916917091961e-05
Position 3353: 6.691420819974235e-05
Position 757: 6.661340071627102e-05
Position 394: 6.549910396525321e-05
Position 634: 5.932917308289992e-05
Position 5154: 5.590987762054964e-05
Position 351: 5.4337771185827666e-05
Position 1901: 4.9433934066054815e-05
Position 6276: 2.3849243042486583e-05
Position 59: 2.2647651669123803e-05
Position 10: 1.8066391624788557e-05
Position 5869: 1.3644047503737303e-05
Position 6734: 8.845430329783673e-06
Position 6102: 8.082718482673226e-06
Position 5948: 6.411506000325867e-06
Position 682: 2.254567144640827e-06
Position 7314: 1.7317873362206532e-06
Position 7514: 1.6375304006405589e-06
Position 640: 1.3764060466673722e-06
Position 338: 9.729112449566443e-07
Position 601: 9.380817944099928e-07
Position 543: 6.704775228531444e-07
Position 828: 4.752483394457607e-07
Position 803: 4.528010741903316e-07
Position 1682: 3.1314574789710493e-07
Position 760: 7.893384751955324e-08
Position 326: 1.6514595087654976e-08
Position 484: 1.6240593884555427e-08
Position 955: 1.1642741711725066e-08
Position 115: 8.87404608613936e-09
Position 320: 4.356148460483646e-09
Position 125: 1.6789563921631893e-10
Position 131: 9.448848122514616e-11
Position 487: 3.3398471995608104e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 5696: 0.9805825381412683
Position 7034: 0.8646270705622894
Position 7816: 0.23456021198622115
Position 6675: 0.13891540703543698
Position 7636: 0.13750136254218318
Position 6772: 0.12263737039507101
Position 5093: 0.053760454333613615
Position 4444: 0.04083387701400042
Position 8378: 0.02633661224127273
Position 6432: 0.023953281014842925
Position 7573: 0.022377065321554913
Position 6647: 0.01631826219536441
Position 5132: 0.015103149391268842
Position 7621: 0.01405762143442665
Position 7395: 0.009617521015449696
Position 6730: 0.00924476523657732
Position 7067: 0.009082334470290863
Position 1095: 0.008760660519530063
Position 6014: 0.006391071349730965
Position 4390: 0.006342643951496809
Position 6941: 0.005956058585040833
Position 5994: 0.005751620665661204
Position 6036: 0.005504345949919262
Position 1745: 0.005313867447894979
Position 6928: 0.004646500005232454
Position 6593: 0.004259862344194344
Position 8337: 0.004214578509994264
