Gene = SAPCD2
index = 1224
Annotated 5SS: [ 699 4327 5067 5511 5726]
Annotated 3SS: [4213 4919 5402 5608 5800]
SMsplice 5SS: [ 699  885 4327 4847 5067 5511 5726]
SMsplice 3SS: [ 794 4213 4661 4919 5402 5608 5800]
top_k =  1000
Partition function (log Z): 5.680197108753685

Sorted 5' Splice Sites (High to Low Probability):
Position 5726: 0.9951209091204852
Position 5511: 0.9925736010694842
Position 4327: 0.9393835984065186
Position 5067: 0.9326011538402393
Position 699: 0.8714128326114468
Position 885: 0.5721218063201136
Position 4847: 0.5115714552074287
Position 2508: 0.12724838727738952
Position 4772: 0.08321691040333795
Position 3979: 0.06062991129179514
Position 1711: 0.05227583264568731
Position 7047: 0.020204998381202006
Position 4780: 0.018899584146159602
Position 2616: 0.012123276827302389
Position 6449: 0.011901334892417563
Position 2294: 0.009830581617026022
Position 7051: 0.009253533874855568
Position 2720: 0.008067248613529199
Position 2716: 0.00805904620158759
Position 4758: 0.007920952501907955
Position 7089: 0.0070180718537830806
Position 5984: 0.006809398570431871
Position 3886: 0.00654695770875522
Position 350: 0.005794250674145691
Position 3913: 0.005415839554510665
Position 1662: 0.0033833772534929297
Position 4125: 0.0033444556404835617
Position 5454: 0.0032118357784663197
Position 853: 0.0031282390990236345
Position 4776: 0.0026039133230908204
Position 4184: 0.002085898904472339
Position 527: 0.0019177462096293379
Position 2745: 0.0014865663104689198
Position 5240: 0.001476218875711412
Position 6555: 0.0014289144545677715
Position 6398: 0.0012087578320209118
Position 286: 0.0012037192900425453
Position 4871: 0.0011602492368209573
Position 2591: 0.0010771438266276164
Position 2541: 0.0010623177868457846
Position 967: 0.0010197433631371968
Position 2155: 0.0009921039586562497
Position 1730: 0.0009028953031643645
Position 1751: 0.0008162289542683556
Position 4833: 0.0008013241485388893
Position 4033: 0.000787261729127215
Position 99: 0.0007328870559034725
Position 329: 0.000727736067582929
Position 5944: 0.0007165483644559628
Position 6220: 0.0006977325737457783
Position 3981: 0.0006660936148354607
Position 5000: 0.0006448536324138854
Position 3243: 0.0006040272715913311
Position 1821: 0.0005839432300357565
Position 2940: 0.00047173537816588054
Position 5517: 0.0004168874150162
Position 4089: 0.00039678188922795296
