Gene = PODXL2
index = 1048
Annotated 5SS: [  109 10343 31979 33131 39417 40022 42433]
Annotated 3SS: [10063 31196 33055 39259 39959 42252 43086]
SMsplice 5SS: [  109 24699 31454 33131 34345 39173 39417 40022 42433]
SMsplice 3SS: [24555 31196 33055 34261 38968 39259 39959 42252 43086]
top_k =  1000
Partition function (log Z): -24.44236519794467

Sorted 5' Splice Sites (High to Low Probability):
Position 109: 0.7315513553938043
Position 387: 0.2607054593904007
Position 7055: 0.25820735791452637
Position 2197: 0.20506074454582243
Position 10799: 0.16910534393206603
Position 6923: 0.1468956870095185
Position 8594: 0.06709608827185917
Position 10343: 0.05086784624149445
Position 6852: 0.04400268999673615
Position 10962: 0.04159312583067202
Position 576: 0.02748359469727825
Position 1438: 0.021100018996483002
Position 275: 0.0186493274675983
Position 15638: 0.015649644973186338
Position 1877: 0.011833853894855221
Position 4117: 0.007772713518108975
Position 2023: 0.006424812925531205
Position 2845: 0.00628639426580165
Position 5014: 0.005897652061249542
Position 5837: 0.005438947855808466
Position 15698: 0.005155374255655238
Position 1335: 0.004913344645279414
Position 1397: 0.004903300494984387
Position 826: 0.004056726297460832
Position 4843: 0.003843561931001213
Position 1026: 0.003584703276165565
Position 3155: 0.00333699554580701
Position 4803: 0.003178215238513677
Position 7554: 0.0031684898256705064
Position 7921: 0.002893572587503869
Position 1789: 0.002887259150641082
Position 766: 0.002862010634530445
Position 7068: 0.0019073454881252422
Position 4696: 0.0018842033436789157
Position 6521: 0.0017108482782223718
Position 2122: 0.0016813102655054723
Position 113: 0.0015638503119639181
Position 627: 0.0015303177444663996
Position 951: 0.0014566924359586306
Position 6999: 0.0014053226897399332
Position 2451: 0.0011701846307319342
Position 6010: 0.0009607162987360249
Position 7510: 0.0007090561635316465
Position 7477: 0.0006859947613449642
Position 1976: 0.0005867514171745219
Position 2863: 0.0005642625853246626
Position 102: 0.0004506084990457957
Position 8986: 0.000446742391888604
Position 939: 0.00036244214133053455
Position 335: 0.00021553851182744377
Position 544: 0.00021511100924392519
Position 1233: 0.0001763661119803987
Position 855: 9.922315409586104e-05
Position 445: 8.551222398032533e-05
Position 1182: 6.899551217791483e-05
Position 641: 5.3689576577525606e-05
Position 1881: 5.096050778302779e-05
