Gene = SPRTN
index = 1325
Annotated 5SS: [  557  1821  9878 13524]
Annotated 3SS: [ 1720  9748 13255 14561]
SMsplice 5SS: [  557  1821  9878 10112 10758]
SMsplice 3SS: [ 1720  9748  9993 10605 13255]
top_k =  1000
Partition function (log Z): -6.500034451672823

Sorted 5' Splice Sites (High to Low Probability):
Position 9878: 0.9307946694841767
Position 10112: 0.8309138955118441
Position 1821: 0.8150998781706635
Position 557: 0.7088238226730754
Position 10758: 0.6258431209695489
Position 13524: 0.5319756099361499
Position 6667: 0.47855775985417287
Position 1430: 0.2870296569820409
Position 9297: 0.2093627149184992
Position 157: 0.2087687374018569
Position 8879: 0.15309799878980504
Position 13720: 0.1084771980715157
Position 9663: 0.09420283813883056
Position 12756: 0.06403442028627097
Position 10128: 0.05844843560980229
Position 14292: 0.05590669929239696
Position 73: 0.05218240877449991
Position 3059: 0.04952071944039146
Position 83: 0.04303904462016151
Position 14723: 0.04298243658998881
Position 2931: 0.038249859736207086
Position 531: 0.032181577450031806
Position 5848: 0.03136512311499853
Position 6267: 0.030333769522858635
Position 778: 0.029365895306498305
Position 3087: 0.027341551009698487
Position 4657: 0.017617735884910345
Position 4526: 0.017530699805506804
Position 9527: 0.01683417500578142
Position 1488: 0.016700711545477864
Position 5756: 0.016379618910593394
Position 13987: 0.01607799536619456
Position 10293: 0.015997941867070972
Position 13396: 0.014930176517881892
Position 1454: 0.013773480787939916
Position 947: 0.009929214963788608
Position 14577: 0.009648054560130554
Position 102: 0.009485549298292126
Position 14440: 0.008910019230045389
Position 11739: 0.0081924548995112
Position 14747: 0.0074288904772715604
Position 1127: 0.006874639653594094
Position 14210: 0.006476300827106344
Position 1901: 0.006054271329574005
Position 15032: 0.005749305346008907
Position 13690: 0.005691790013394399
Position 4: 0.005518423786277963
Position 6275: 0.004645454350067221
Position 12324: 0.003998383149121842
Position 10795: 0.0037413617851324373
Position 5098: 0.0032506103251827095
Position 10422: 0.002448424651463761
Position 1575: 0.0020241437936339315
Position 793: 0.0019267198102267112
Position 13826: 0.0018002228399583394
Position 10199: 0.0015938320635169555
Position 12644: 0.0014011368549765296
Position 13991: 0.0013511703522284793
Position 8682: 0.0012711080321068451
Position 25: 0.0012669943007460119
Position 931: 0.0011734422567844863
Position 6801: 0.0009699645498066566
Position 6932: 0.0008858430715227815
Position 57: 0.0008564261359355199
Position 10762: 0.0008521855905061886
Position 1586: 0.0008516880233312145
Position 10271: 0.0008052778998696671
Position 1559: 0.0007959513078569129
Position 282: 0.0007901673798389916
Position 543: 0.000787393785961175
Position 1606: 0.000725216574906243
Position 8836: 0.0006783512175051715
Position 970: 0.0006400179542107053
Position 446: 0.0006188556806741405
Position 252: 0.0005864156905835467
Position 1832: 0.0005301870571770147
Position 9122: 0.000437208605872669
Position 5139: 0.00041357797131512484
Position 9262: 0.0003759276918134606
Position 649: 0.00036832669565392426
Position 2692: 0.0003040542192778678
Position 996: 0.00029604699769972785
Position 1638: 0.0002932930299910316
Position 1294: 0.00028293274240404645
Position 2613: 0.0002628297788677306
Position 1107: 0.0002619467168303276
Position 11580: 0.00025796427693774223
Position 11686: 0.00025353450680517706
Position 1853: 0.0002488420084511992
Position 6202: 0.00022655837645865187
Position 274: 0.0001726112759828272
Position 1412: 0.000157040633934269
Position 479: 0.0001530254142623207
Position 871: 0.00013595877550823463
Position 915: 0.00011525960904802809
Position 1435: 9.162677429333486e-05
Position 760: 8.039626435967505e-05
Position 12162: 7.4903533569044e-05
Position 450: 6.303049336422194e-05
Position 353: 5.819493328139571e-05
Position 1098: 4.511585265325834e-05
