Gene = NCAPG2
index = 915
Annotated 5SS: [  106  3008 11520 11987 14261 15010 17481 18657 21529 24108 24869 29352
 33315 40301 40645 42635 46491 48277 48569 49490 49711 50234 52536 53997
 58369 59310 60540]
Annotated 3SS: [ 2890 11330 11871 14105 14874 17385 18586 21441 24011 24742 29171 33161
 40077 40531 42460 46419 48122 48394 49372 49569 50133 52347 53855 58264
 59208 60439 73110]
SMsplice 5SS: [  106  3008 11466 11987 15010 17481 18657 18940 21529 24108 24869 29352
 33315 33608 40301 40645 42635 46491 48277 48569 49164 49490 49711 50234
 53997 59310 67471]
SMsplice 3SS: [ 2890 11330 11871 14874 17385 18586 18887 21441 24011 24742 29171 33161
 33472 40077 40531 42460 46419 48122 48394 49003 49372 49569 50133 53855
 59208 67359 73110]
top_k =  1000
Partition function (log Z): 45.899425054455875

Sorted 5' Splice Sites (High to Low Probability):
Position 21529: 0.9985602004125548
Position 17481: 0.9979823475760489
Position 48569: 0.9972380549736329
Position 3008: 0.9972107411427816
Position 40645: 0.9909353445207757
Position 50234: 0.9825034478793314
Position 11987: 0.9760133033475058
Position 29352: 0.9579917502872265
Position 42635: 0.9576611270688998
Position 33315: 0.9476260485465546
Position 59310: 0.9323706916260703
Position 106: 0.9263602924828543
Position 49490: 0.9172168423281739
Position 15010: 0.9097286906216276
Position 24108: 0.8749132426232052
Position 11466: 0.8066539893808596
Position 67471: 0.7475709773065026
Position 24869: 0.7331987796482571
Position 49711: 0.6642158160726234
Position 18657: 0.660763857764555
Position 33608: 0.6440786758175269
Position 49164: 0.5923190511313511
Position 53997: 0.579473509611747
Position 46491: 0.5729251377118724
Position 18940: 0.5565314802414848
Position 40301: 0.5109528503269841
Position 42348: 0.5066433927151552
Position 48277: 0.5037239236523324
Position 39093: 0.34967759670740545
Position 48308: 0.3233926838650496
Position 3479: 0.3176778490055243
Position 69505: 0.3139652244297255
Position 42967: 0.3113403358917125
Position 57925: 0.31092177953977046
Position 8551: 0.2854836862173408
Position 40153: 0.27394617142837274
