Gene = ZC3HAV1L
index = 1594
Annotated 5SS: [ 377 1487 7328 9322]
Annotated 3SS: [1350 7068 9195 9468]
SMsplice 5SS: [ 377 1111 1487 7415 9322]
SMsplice 3SS: [ 979 1350 7275 9195 9468]
top_k =  1000
Partition function (log Z): 2.3829447453269417

Sorted 5' Splice Sites (High to Low Probability):
Position 1487: 0.9915272149710433
Position 9322: 0.9429396731421305
Position 7415: 0.8938366068981135
Position 377: 0.8428032114924663
Position 1111: 0.7138103333609583
Position 7989: 0.3219261002061197
Position 6282: 0.2831792793708006
Position 658: 0.27295144145239875
Position 714: 0.21700872289782988
Position 879: 0.1337165650066063
Position 2485: 0.0974956200598311
Position 2637: 0.08442396817773154
Position 7395: 0.06582732228212915
Position 697: 0.055746898082591985
Position 225: 0.05084965207505415
Position 2084: 0.042941996080277975
Position 8979: 0.03935302590442262
Position 9338: 0.03431554186517256
Position 3312: 0.03225213868984967
Position 171: 0.030372401506229482
Position 8001: 0.019746682379202848
Position 3292: 0.016982137111699044
Position 48: 0.016529409528211
Position 1071: 0.012371751422171036
Position 7194: 0.010865338928772358
Position 7328: 0.010212381388674903
Position 8775: 0.008088224473866553
Position 571: 0.007789936568437956
Position 8920: 0.007567342696356082
Position 811: 0.007089465068831882
Position 5127: 0.0065974395184376896
Position 2489: 0.0057228353544725215
Position 8850: 0.00556657737231122
Position 8619: 0.004996414573206251
Position 9652: 0.0043144034358040045
Position 8221: 0.0036050372171089083
Position 10020: 0.0032403588019711636
Position 3319: 0.002823781400152595
Position 1926: 0.00221675729758072
Position 9553: 0.002157976752175322
Position 8461: 0.0018875240820034386
Position 2027: 0.001811322529829271
Position 9670: 0.001327569129486063
Position 356: 0.001260082782810819
Position 1618: 0.0012293213203998868
Position 914: 0.0010675408373452477
Position 1306: 0.0010142413828291435
Position 8834: 0.0009615007829986566
Position 9119: 0.0008144211037108861
Position 9541: 0.0006622703080101009
Position 404: 0.0006038750711970289
Position 9538: 0.0005941404826965177
Position 53: 0.0005861922181407822
Position 273: 0.0005585873471861672
Position 826: 0.0005292794784333494
Position 1094: 0.00044359860537511903
Position 2161: 0.0004343422085434805
Position 3084: 0.00042515875409492656
Position 8745: 0.00034166183191649673
Position 1258: 0.0003263777646306566
Position 7621: 0.0003253158001244569
Position 1650: 0.00027779230501952056
Position 1529: 0.00020551590654753582
Position 5332: 0.00020424353305877852
Position 9482: 0.00019859038189224779
Position 129: 0.0001916800589472519
Position 2097: 0.00016743461700408543
Position 232: 0.00016586055749285826
Position 5844: 0.00015514632437680788
Position 8724: 0.00011120089309186246
Position 99: 0.00010785629698950943
Position 1351: 0.00010250942236563149
Position 612: 9.50465758180806e-05
Position 7602: 9.238356759504273e-05
Position 1400: 8.991276154787077e-05
Position 2135: 8.342767777338604e-05
Position 1951: 8.202108903917103e-05
Position 107: 6.979199332171713e-05
Position 1000: 6.890132254310659e-05
Position 1230: 5.557477470209482e-05
Position 2094: 4.708085788581859e-05
Position 9742: 4.147923320783697e-05
Position 5288: 3.737172560716538e-05
Position 9274: 2.8811989877367258e-05
Position 255: 2.8527543730383702e-05
Position 27: 2.788947288589041e-05
Position 1984: 2.6763701564812406e-05
Position 154: 2.2700598354708574e-05
Position 588: 2.09969793118231e-05
Position 1359: 1.914863035858449e-05
Position 1204: 1.5962958450047783e-05
Position 1775: 1.5596292462424427e-05
Position 3655: 1.4601588176660073e-05
Position 723: 1.3674001774484803e-05
Position 1833: 8.872273525645981e-06
Position 258: 8.465283343586576e-06
Position 799: 7.223145819224981e-06
Position 889: 5.022660386408393e-06
Position 2563: 4.57438072430338e-06
Position 2579: 3.6937692559279327e-06
Position 2516: 3.4657269914220713e-06
Position 264: 2.5076958138898468e-06
Position 29: 2.0113475792421833e-06
Position 2404: 1.5928695429264064e-06
Position 2508: 1.535397646033201e-06
Position 305: 1.1708116963502781e-06
Position 9342: 3.059126459778845e-07
Position 74: 2.0930535160174844e-07
Position 9616: 1.5478796134952678e-07
Position 266: 1.1496740329799713e-07
Position 730: 7.233635230409159e-08
Position 892: 3.7672020396851864e-08
Position 2985: 6.1215600977707405e-09
Position 969: 1.0425250505769936e-09
Position 467: 7.486952703782387e-10
Position 9394: 2.0789293554663976e-10
Position 429: 1.1002735263080742e-10
Position 845: 1.4915084461645656e-11
Position 528: 1.5879882904354337e-20

Sorted 3' Splice Sites (High to Low Probability):
Position 9195: 0.9981432240811074
Position 7275: 0.8349424587712976
Position 1350: 0.7760429426729077
Position 979: 0.6096734649684589
Position 9468: 0.41380035565163426
Position 9434: 0.27056540906096965
Position 514: 0.26753207380081173
Position 550: 0.2288211313039547
Position 6187: 0.17758428064398118
Position 9921: 0.1666839544106122
Position 2350: 0.16359212346665614
Position 1399: 0.16124072479611065
Position 547: 0.12097461076441421
Position 7663: 0.10873332479895946
Position 7900: 0.096080366006707
Position 7068: 0.07000190308512952
Position 7820: 0.06109671717735438
Position 6174: 0.06006864122158677
Position 7914: 0.05415144717155294
Position 9899: 0.050342361510327435
Position 3189: 0.04589008809502376
Position 1204: 0.044068301049955814
Position 7327: 0.043029881421979756
Position 1048: 0.042799596190720005
Position 9885: 0.03990728560558254
Position 1892: 0.03403297309793883
Position 7227: 0.024716656224506726
Position 8946: 0.02380947377451963
Position 825: 0.022498733417041523
Position 8523: 0.018701322917522172
Position 938: 0.01600481530324098
Position 2387: 0.015624135143671213
Position 6220: 0.015569895765135745
Position 6014: 0.015369699113251272
Position 8731: 0.01526985893219701
Position 764: 0.010604064949865618
Position 1950: 0.010471892787387162
Position 6134: 0.0104379486878171
Position 9835: 0.009394126396840683
Position 296: 0.008546726934749619
Position 997: 0.007601717674232621
Position 7659: 0.007335368524924091
Position 10260: 0.006332179716720429
Position 10063: 0.005480454076469757
Position 952: 0.00526554690597574
