Gene = SPATA31D3
index = 1302
Annotated 5SS: [ 272 1074 1733 5757]
Annotated 3SS: [ 1027  1671  2046 50920]
SMsplice 5SS: [  272 15891 21658 34369 35330 42688 44115]
SMsplice 3SS: [15662 21574 34082 35245 42588 44035 44195]
top_k =  1000
Partition function (log Z): -27.888015115591443

Sorted 5' Splice Sites (High to Low Probability):
Position 272: 0.9317010797993246
Position 1947: 0.7216324044356703
Position 2138: 0.6397426079879841
Position 1733: 0.5227546540403026
Position 15891: 0.28847456806310257
Position 1074: 0.24195531812998525
Position 544: 0.1907577117077153
Position 6941: 0.0903321759822951
Position 3791: 0.08701237690636746
Position 7689: 0.060827154168456604
Position 1422: 0.05899660992830169
Position 1966: 0.02451978664167079
Position 7907: 0.01797682484093404
Position 6626: 0.012554990610295134
Position 183: 0.009104105884533586
Position 989: 0.008958774657004006
Position 526: 0.007884708959099634
Position 8375: 0.007732863342260013
Position 354: 0.006190466308586662
Position 8170: 0.0047265932595433775
Position 5686: 0.004526466393636775
Position 282: 0.0035813720704163613
Position 29: 0.0033463309847217917
Position 5587: 0.0032168660425094366
Position 4382: 0.002688032068672364
Position 221: 0.002516704670119248
Position 6895: 0.001807479405427987
Position 5656: 0.0016204672400011652
Position 672: 0.001484325707042548
Position 6154: 0.001116144784871657
Position 6666: 0.0010727819550604605
Position 187: 0.0008391064731580429
Position 457: 0.0007969943374509904
Position 1106: 0.000787337716633055
Position 286: 0.0007752773001107877
Position 8165: 0.0007060959674803286
Position 2745: 0.0006596606965759324
Position 735: 0.0005490080856426861
Position 424: 0.000496959717916227
Position 1288: 0.00047418819598264435
Position 1342: 0.00041302576336421523
Position 1158: 0.0004059698369937786
Position 1927: 0.00032783657672385294
Position 3476: 0.0003228098710886495
Position 1922: 0.0003189841651901645
Position 3453: 0.000300200402923393
Position 1384: 0.00027458621766404456
Position 1477: 0.00014534169202505825
Position 809: 0.00013303483288735313
Position 1447: 0.0001234442321747613
Position 1275: 7.855879980260326e-05
Position 1079: 7.80205835201271e-05
Position 1971: 7.630341825337748e-05
Position 980: 6.0261945139896744e-05
Position 205: 5.5973846955514e-05
Position 150: 5.426987476483851e-05
Position 435: 5.034870360123128e-05
Position 193: 3.736691674821212e-05
Position 441: 2.2252178791655817e-05
Position 358: 1.3296990427713338e-05
Position 654: 1.3144524642216732e-05
Position 20: 5.389462619816775e-06
Position 585: 4.71677584306227e-06
Position 349: 4.102323041980792e-06
Position 7: 4.097762182957521e-06
Position 1450: 3.8028858931262113e-06
Position 769: 3.0635581622470726e-06
Position 751: 2.7256575599161537e-06
Position 1869: 2.4146546074768975e-06
Position 467: 1.7116233575741625e-06
