Gene = UFC1
index = 1527
Annotated 5SS: [ 369 3266 3566 3942 4460]
Annotated 3SS: [3197 3501 3864 4368 4659]
SMsplice 5SS: [ 319 3266 3595 3942 4460]
SMsplice 3SS: [3197 3501 3846 4368 4659]
top_k =  1000
Partition function (log Z): 5.686170943545653

Sorted 5' Splice Sites (High to Low Probability):
Position 3942: 0.9531907755440485
Position 3266: 0.9329769291801864
Position 4460: 0.8842470343291442
Position 319: 0.6316373998627909
Position 3595: 0.6038245977092115
Position 3566: 0.3343625248410403
Position 195: 0.22980849863119915
Position 369: 0.12491209755469611
Position 98: 0.05281991720835423
Position 1833: 0.04582621102155643
Position 3740: 0.04505135997522625
Position 3270: 0.03219709066625166
Position 3287: 0.0317016474114773
Position 1474: 0.016990309296562357
Position 556: 0.016290985108821245
Position 1940: 0.013861567691891438
Position 1080: 0.0106600811956448
Position 19: 0.005157478741680065
Position 4148: 0.00458629003272448
Position 628: 0.004252662922518899
Position 2227: 0.00400658680668431
Position 1916: 0.00230522287663537
Position 1162: 0.0020642141271238726
Position 3484: 0.001613600720947933
Position 1017: 0.001579980558408393
Position 3689: 0.0015678459407365323
Position 106: 0.0015562097043746558
Position 288: 0.0013601608008210885
Position 1320: 0.0013284114538208948
Position 3797: 0.0012053587040285001
Position 3625: 0.001169625113927015
Position 2596: 0.001067400353550188
Position 326: 0.0010423621005756672
Position 330: 0.0009886083761166706
Position 3936: 0.0009815854911318538
Position 4055: 0.0008715189323226306
Position 3520: 0.0008402086315019676
Position 2137: 0.000773718330032528
Position 530: 0.0007610756957476173
Position 3294: 0.000615692830225308
Position 651: 0.0005976769620144759
Position 3502: 0.0005434727983031309
Position 139: 0.0005242443947706835
Position 4626: 0.00045037122691767684
Position 173: 0.0004494149737378554
Position 2233: 0.0004400320371171767
Position 2564: 0.0004038438168146309
Position 2354: 0.00040017541767237803
Position 2729: 0.0003850686417467085
Position 2364: 0.00035573343389475
Position 561: 0.00035044353145377756
