Gene = RNASEL
index = 1145
Annotated 5SS: [   90  3930  5176  7204  8032 13001]
Annotated 3SS: [ 2285  5089  6997  7898 12866 13677]
SMsplice 5SS: [   90  1043  5176  8032 13001]
SMsplice 3SS: [  950  5089  7907 12866 13677]
top_k =  1000
Partition function (log Z): 3.356257460600179

Sorted 5' Splice Sites (High to Low Probability):
Position 13001: 0.9876411369631546
Position 5176: 0.9867653932671544
Position 90: 0.9696720890804968
Position 8032: 0.809956699894728
Position 1043: 0.7649325940309871
Position 3930: 0.6353679217702812
Position 2856: 0.5357018818444245
Position 7204: 0.503999373119578
Position 6141: 0.5008832598307975
Position 1659: 0.4201946428095
Position 8418: 0.3423181134308165
Position 10016: 0.17452555348771043
Position 2589: 0.17193068395506259
Position 4242: 0.12455139023774799
Position 4874: 0.11616782077921207
Position 683: 0.10120805326668068
Position 7251: 0.08573664602664308
Position 5970: 0.06550235961437723
Position 9299: 0.05016576849425998
Position 543: 0.04639470894987905
Position 13830: 0.04394822090829429
Position 13839: 0.03136239112750641
Position 13304: 0.027929595270494757
Position 7148: 0.027725305988718415
Position 6007: 0.021674930357701225
Position 5974: 0.021188543390517445
Position 1134: 0.01701621403303443
Position 5742: 0.016438773675224193
Position 5956: 0.015534547315045456
Position 2502: 0.014852671732598056
Position 12173: 0.014585936460436575
Position 6372: 0.013067167172328514
Position 6046: 0.008612763869939689
Position 6840: 0.008422219818842646
Position 618: 0.007252148930457155
Position 2435: 0.006536225308477443
Position 12347: 0.006462256244668453
Position 12141: 0.0062432201630560034
Position 781: 0.0044119362103913805
Position 15414: 0.004281144107363709
Position 4130: 0.004059672927615474
Position 2996: 0.0037792360178890766
Position 14621: 0.003336559755473562
Position 13226: 0.003154529329256181
Position 8058: 0.0031207439833384415
Position 802: 0.0029773808599211165
Position 5477: 0.00268815203653147
Position 3633: 0.0023148089309382404
Position 5657: 0.0020220904857510364
Position 3404: 0.001979657102191444
Position 535: 0.0017755399996533556
Position 2861: 0.0016425818168213718
Position 328: 0.0015523167743428771
Position 6210: 0.0015195161010249582
Position 4611: 0.0012481531422727926
Position 13843: 0.0012351183629822177
Position 2600: 0.0011814717292755613
Position 8966: 0.0010843333145240856
Position 5381: 0.001081265485982018
Position 1138: 0.0010797200025764878
Position 13953: 0.0010732329203165232
Position 9012: 0.0010559972448141027
Position 1331: 0.0010559780652984272
Position 6813: 0.0010408584647775745
Position 7961: 0.0008882416998442634
Position 8146: 0.0008685658410444654
Position 6234: 0.0007739931971788832
Position 6239: 0.0007216295782110137
Position 7628: 0.0007031080104551828
Position 484: 0.00060432388538947
Position 1049: 0.0005851228671768939
Position 1996: 0.0005642532364475291
Position 13736: 0.0005389666082355318
Position 784: 0.0005292814319611327
Position 2851: 0.0005202487208251659
Position 1515: 0.0005185904522162464
Position 2381: 0.000515249383902902
Position 5762: 0.0004469840934571489
Position 4758: 0.0004149095329019354
Position 4649: 0.0003791553587200126
Position 13818: 0.0003773331368421718
Position 3149: 0.00032176344870928607
Position 2428: 0.0003171973418914111
Position 2570: 0.0002800824060054974
Position 6145: 0.00027264656841425065
Position 81: 0.0002534725217458611
Position 11850: 0.0002499574533312319
Position 689: 0.00024896675492216714
Position 992: 0.00019524310480898612
Position 982: 0.0001811690977889842
Position 372: 0.0001680448153139725
Position 15049: 0.00016033873992830393
Position 7079: 0.00015904025411619022
Position 7068: 0.00015784180701330306
Position 721: 0.00014795935183560465
Position 2013: 0.00014024823617187496
