Gene = SLAMF8
index = 1262
Annotated 5SS: [ 189 3443 6432 6620]
Annotated 3SS: [3115 6125 6511 8433]
SMsplice 5SS: [ 189 3443]
SMsplice 3SS: [3133 9919]
top_k =  1000
Partition function (log Z): -3.3483690497234315

Sorted 5' Splice Sites (High to Low Probability):
Position 189: 0.8846458032423573
Position 3443: 0.8366150640718643
Position 6620: 0.4780505788970303
Position 6432: 0.3836916852585864
Position 7494: 0.3452366777914827
Position 6644: 0.28676061428952243
Position 1535: 0.27757724449616356
Position 2810: 0.21434796473543033
Position 10046: 0.21107085311812415
Position 6311: 0.17354557892672026
Position 510: 0.08329436203628435
Position 7498: 0.07128012415883347
Position 6276: 0.06650759292837059
Position 9813: 0.06558965273182507
Position 7447: 0.05488839341264742
Position 284: 0.04808547200386322
Position 6947: 0.045812708709290155
Position 10035: 0.04528262248540005
Position 1779: 0.04155152713679054
Position 7646: 0.04142954308391081
Position 2920: 0.02948938456799346
Position 305: 0.02853832410343353
Position 9830: 0.026110635415648453
Position 7153: 0.02394965823066241
Position 309: 0.021436141650382656
Position 1795: 0.020044837383651374
Position 9463: 0.016882707376513074
Position 6635: 0.011920416266601777
Position 5903: 0.00972661833237531
Position 2570: 0.009158748634601118
Position 8542: 0.006743308000622218
Position 2869: 0.005232644112009825
Position 8406: 0.004212810571919547
Position 10042: 0.003760970002748794
Position 2973: 0.0028134549713418463
Position 100: 0.002681779027832554
Position 6200: 0.0025278078246165864
Position 9134: 0.0023391780797469897
Position 3013: 0.0020617772878769765
Position 8328: 0.0017273343288468912
Position 3212: 0.001388790598251923
Position 4537: 0.001251273677838765
Position 8466: 0.0011589122978676889
Position 3208: 0.0010604658596119578
Position 7789: 0.0009430722012220654
Position 6033: 0.0009096141349818227
Position 4182: 0.0007840942439412116
Position 10397: 0.0007416545383666923
Position 7517: 0.0007285698172557786
Position 2701: 0.0006810614911833029
Position 1066: 0.0006469095293920316
Position 4243: 0.0006179008513369663
Position 6050: 0.0004824031754930402
Position 4629: 0.00045342622805465176
Position 1656: 0.0004493480936762624
