Gene = ENSDARG00000100550
index = 714
Annotated 5SS: [ 198  425 1527]
Annotated 3SS: [ 373 1424 1611]
SMsplice 5SS: [ 198  425 1527]
SMsplice 3SS: [ 373 1424 1611]
Partition function (log Z): -2.694658664079209

Sorted 5' Splice Sites (High to Low Probability):
Position 198: 0.9736924515353632
Position 1527: 0.9620900415978217
Position 425: 0.8219999521674387
Position 677: 0.028950041934060325
Position 551: 0.007696409621625458
Position 671: 0.006132326879596972
Position 621: 0.00441674333059049
Position 1319: 0.004337460864490508
Position 721: 0.003334073167973058
Position 1696: 0.002912938445811944
Position 1531: 0.0018000751377078405
Position 598: 0.0010626641047165506
Position 1232: 0.0009238094881009299
Position 994: 0.000878665747867732
Position 1676: 0.0005880161620775581
Position 220: 0.00041611148813635923
Position 1315: 0.00037927656205712914
Position 241: 0.00031044682651225585
Position 497: 0.0003020558054162354
Position 1713: 0.00023517054316211423
Position 22: 0.00020463422987833697
Position 872: 0.0001850733094975544
Position 694: 0.00018291101066532172
Position 409: 0.00016903335961538263
Position 1646: 0.0001584639825436801
Position 1543: 0.00014809871303008484
Position 1119: 0.0001395123259905862
Position 14: 0.00013832608337185464
Position 1719: 0.0001228253591149614
Position 152: 0.00011770441311995609
Position 899: 0.00011296917460622392
Position 1501: 0.00010204938810005236
Position 248: 9.739687779907614e-05
Position 285: 9.671536521897976e-05
Position 642: 9.413228757611591e-05
Position 885: 9.110555665565944e-05
Position 1549: 7.718249078965893e-05
Position 214: 7.395950096944253e-05
Position 578: 7.110186399685345e-05
Position 627: 6.778983145855229e-05
Position 708: 6.602157010396642e-05
Position 797: 6.110946486014334e-05
Position 440: 5.7221555269958174e-05
Position 1266: 5.2816095585145604e-05
Position 448: 4.8205078173533236e-05
Position 211: 4.696698979423061e-05
Position 26: 4.197714789165449e-05
Position 645: 3.779959517141738e-05
Position 1042: 3.414336325481661e-05
Position 471: 3.0424337060433128e-05
Position 1554: 3.0404848718888885e-05
Position 1690: 2.996945993226494e-05
Position 809: 2.8997062490618332e-05
Position 760: 2.4563077024058117e-05
Position 1325: 2.2721495227926062e-05
Position 702: 2.206265658258032e-05
Position 635: 2.1665401630942354e-05
Position 184: 2.1592092301640478e-05
Position 925: 1.9483020440141597e-05
Position 225: 1.9249092607686823e-05
Position 125: 1.516049525455369e-05
Position 1349: 1.4134720924244813e-05
Position 469: 1.1266686209082407e-05
Position 973: 1.1235900854536247e-05
Position 341: 9.706812123874633e-06
Position 668: 8.441317895720206e-06
Position 40: 7.758311930155202e-06
Position 1757: 6.783156170083234e-06
Position 154: 6.614631051402432e-06
Position 1317: 5.876544058456622e-06
Position 308: 5.363515230236044e-06
Position 373: 5.179637980882953e-06
Position 949: 4.131285426258848e-06
Position 7: 3.7763953804688807e-06
Position 413: 3.3109425845631865e-06
Position 451: 3.1582108959821533e-06
Position 1347: 2.4324194953166123e-06
Position 1185: 2.3550621831471528e-06
Position 823: 2.0743382064998812e-06
Position 377: 2.0002006447698472e-06
Position 1211: 1.7140859986133743e-06
Position 305: 1.5708897797413103e-06
Position 1246: 1.4452517924847332e-06
Position 771: 1.421042500521559e-06
Position 1236: 1.347237196070295e-06
Position 147: 1.305181499077919e-06
Position 1449: 1.2182914399709372e-06
Position 1323: 1.0272833542904926e-06
Position 1360: 8.566674982666462e-07
Position 246: 8.560110857238229e-07
Position 1138: 8.171392318884936e-07
Position 1087: 6.907370321375791e-07
Position 1213: 6.728052081296806e-07
Position 1400: 5.099135233252717e-07
Position 1217: 4.2169207131477953e-07
Position 980: 3.655876676147949e-07
Position 907: 2.60473021688917e-07
Position 1123: 2.1756897612176072e-07
Position 312: 1.9250859713656205e-07
Position 1064: 1.8168054599976293e-07
Position 1771: 1.750253576556812e-07
Position 362: 1.7429902147702607e-07
Position 1222: 1.735507408201774e-07
Position 1014: 1.6950639877753058e-07
