Gene = Mre11a
index = 694
Annotated 5SS: [  104   875  2357  6080 11205 12531 15017 18296 20874 25231 27303 30618
 32316 34825 40704 41962 44762 46308 48063]
Annotated 3SS: [  776  2223  5918 11116 12388 14901 18109 20701 25149 27175 30513 32141
 34761 40486 41880 44702 46242 47986 48952]
SMsplice 5SS: [  104   875  2357  6080  9651 11205 11617 12531 15017 18045 18296 19200
 20874 25231 27303 30618 32316 34679 34825 40364 41962 46308 48180]
SMsplice 3SS: [  776  2223  5918  9527 11116 11422 12388 14901 17904 18141 19110 20701
 25149 27175 30513 32141 34618 34761 40289 41880 46242 47986 48952]
top_k =  100
Partition function (log Z): 23.025083070381434

Sorted 5' Splice Sites (High to Low Probability):
Position 15017: 1.0000000000000056
Position 30618: 1.0000000000000033
Position 41962: 1.0000000000000033
Position 27303: 0.9995055697799566
Position 32316: 0.9964765223752163
Position 2357: 0.9860580054658705
Position 11205: 0.970842723523209
Position 46308: 0.9234561746986241
Position 18296: 0.8905593657998419
Position 11617: 0.8615428599325117
Position 12531: 0.773268302995416
Position 18045: 0.7627532090013276
Position 34825: 0.7245971089180219
Position 19200: 0.7211535846949698
Position 9651: 0.7192023921577025
Position 34679: 0.7092753044466373
Position 20874: 0.603463856029916
Position 875: 0.5748669108615242
Position 6080: 0.5311653249417698
Position 31024: 0.5149431909585462
Position 42591: 0.4805034296896142
Position 13998: 0.4565554545240651
Position 28419: 0.44992092653466637
Position 32730: 0.4248708323370881
Position 48180: 0.4242362540144695
Position 48063: 0.3175681173594834
Position 104: 0.3144202539702004
Position 3512: 0.2954108472554036
Position 34858: 0.2754028910819801
Position 6076: 0.2616761324925878
Position 29074: 0.24114175639455526
Position 23377: 0.21169843833467317
Position 245: 0.20463930569056069
Position 20838: 0.18851451916103262
Position 3516: 0.1673852824977522
Position 44188: 0.16544533576968692
Position 154: 0.15698572838040528
Position 4032: 0.13629213691588934
Position 13993: 0.12563932022304244
Position 214: 0.12321943215189328
Position 18860: 0.11391686282365501
Position 48184: 0.07775663095292569
Position 43857: 0.074524645512216
Position 9616: 0.06631189578040625
Position 16271: 0.06531085503762496
Position 1820: 0.059022923448895495
Position 642: 0.05842616369172287
Position 48527: 0.054340103048494307
Position 306: 0.04708023658338863
Position 359: 0.047016944074945666
Position 49: 0.038260268547127885
Position 6042: 0.03675496951075324
Position 27712: 0.035997368452975576
Position 190: 0.03512183370289718
Position 31141: 0.03487715654738776
Position 8934: 0.03364363423886954
Position 17: 0.028878406670172604
Position 313: 0.016034475805182358
Position 15214: 0.015143744331254119
Position 49125: 0.014572066336521586
Position 48110: 0.013323792098877586
Position 18808: 0.011672138649760532
Position 2701: 0.01073758555410234
Position 722: 0.008666090371022669
Position 32726: 0.0067876480739572165
Position 47516: 0.006783277493925859
Position 831: 0.006394288612764159
Position 43770: 0.004846905475848985
Position 3451: 0.004301679216234507
Position 960: 0.0041433168029427585
Position 2368: 0.00386478971402334
Position 32355: 0.0035234776247860386
Position 27367: 0.0004944302200473156
Position 8020: 0.00045506011801691967
Position 428: 0.00013755747541305328
Position 73: 0.00012787728642728603
Position 62: 0.00012260785805736447
Position 405: 0.00010757565019544089
Position 184: 7.802109386023339e-05
Position 2733: 4.334394037258531e-05
Position 70: 2.3717516489443835e-05
Position 117: 5.99162214065296e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 14901: 1.000000000000004
Position 34761: 1.0000000000000036
Position 27175: 1.0000000000000029
Position 30513: 1.0000000000000029
Position 41880: 1.0000000000000018
Position 2223: 0.9892784258308989
Position 11116: 0.9633691304780899
Position 47986: 0.926474407068432
Position 46242: 0.9234561746986233
Position 32141: 0.8955773774603646
Position 48952: 0.8650815230394022
Position 11422: 0.8615428599325102
Position 20701: 0.7919783751909484
Position 9527: 0.7855142879381083
Position 17904: 0.7795518213760536
Position 19110: 0.7211535846949702
Position 12388: 0.6618019007903697
Position 5918: 0.6241665664369861
Position 18141: 0.5926033565127001
Position 13875: 0.5561764130916838
Position 776: 0.5252691893906449
Position 3359: 0.4668687001747896
Position 34618: 0.45341616814968555
Position 42494: 0.41023463718039493
Position 28374: 0.30967230200970475
Position 32653: 0.2979851513389073
Position 30894: 0.28833354918138204
Position 28957: 0.2411417563945553
Position 23224: 0.21169843833467317
Position 5937: 0.2054298605081244
Position 18109: 0.18188824568128567
Position 34528: 0.16458787344762982
Position 18689: 0.1255890014734154
Position 30804: 0.1199294049003374
Position 44055: 0.11617895370290873
Position 30914: 0.11481342391188461
Position 18146: 0.0992691512311292
Position 28056: 0.09901657634883482
Position 34459: 0.09127126284932188
Position 48299: 0.08125732250061414
Position 12420: 0.07422158444302598
Position 32078: 0.07130429886243105
Position 32587: 0.06474645256083192
Position 182: 0.06372049505916383
Position 3861: 0.056798441063974435
Position 1633: 0.05646401684089695
Position 43918: 0.04926638206677804
Position 3911: 0.04395177495306169
Position 526: 0.041276462318586275
Position 27965: 0.04123204817612687
Position 43715: 0.04023883742237676
Position 12356: 0.037244817762020564
Position 43745: 0.03651160843910888
Position 32629: 0.0357754066774708
Position 3996: 0.035541920898853135
Position 16135: 0.034816455580623795
Position 624: 0.033888928288826996
Position 8716: 0.03364363423886941
Position 27483: 0.03329939226214607
Position 32166: 0.03311832367720663
Position 42473: 0.026370613743261818
Position 13787: 0.026018361655423986
Position 42447: 0.02481468924058615
Position 32515: 0.019361114234034103
Position 42358: 0.018587239800690953
Position 16106: 0.0183632620658487
Position 15115: 0.015143744331254119
Position 48749: 0.013038368064685616
Position 16157: 0.012131137391152512
Position 32699: 0.011455105319964519
Position 30874: 0.0100529017010265
Position 49426: 0.008544161486307614
Position 30755: 0.008495748474384718
Position 30950: 0.007915078460102174
Position 11166: 0.007473593045119708
Position 47418: 0.0074120978066410555
Position 2530: 0.003692314430367978
Position 2570: 0.0035257158534126023
Position 49954: 0.003228399499173878
Position 49615: 0.00279950535104011
Position 27599: 0.00269797619082952
Position 1735: 0.002558906607998483
Position 32599: 0.0023352502798365898
Position 2562: 0.002180159427504892
Position 43494: 0.0019780226269194255
Position 2620: 0.001336125473377121
Position 2144: 0.0006443693489952915
Position 43527: 0.0006430824996598867
Position 42419: 0.0004876665727686377
Position 46725: 0.00040371576740877305
Position 46411: 0.00034074072099654125
Position 162: 0.00031484078816830746
Position 30722: 0.0002802408768168617
Position 7904: 0.00024023077190629604
Position 3290: 0.0002291087945997621
Position 7883: 0.00021482934611062403
Position 480: 0.00019032224438174914
Position 285: 9.455629909993967e-05
Position 2627: 2.6235311513111447e-05
Position 2423: 2.0378998299222656e-05
Position 42569: 8.583151911661423e-06
Position 230: 2.210030454414314e-06
