Gene = Siae
index = 976
Annotated 5SS: [  257  3292  9405 14169 17935 19398 20085 29128 31278]
Annotated 3SS: [ 3129  9228 14029 17678 19287 19950 28969 31081 32626]
SMsplice 5SS: [  257  3292  6591  9405 12326 14169 19398 20085 29128 31278]
SMsplice 3SS: [ 3129  6513  9228 12200 14029 19287 19950 28969 31081 32626]
top_k =  100
Partition function (log Z): -2.350833471869069

Sorted 5' Splice Sites (High to Low Probability):
Position 20085: 0.9995558657673602
Position 3292: 0.9851821531873401
Position 9405: 0.9724322467170216
Position 19398: 0.92910464470179
Position 29128: 0.9113713474800942
Position 14169: 0.7835387413327853
Position 12326: 0.7087889556181564
Position 6591: 0.7078663768194454
Position 257: 0.7018498454384121
Position 17935: 0.4081864976826787
Position 31278: 0.365353042245565
Position 381: 0.3038753839415378
Position 13116: 0.2836528919888761
Position 12312: 0.25372593922057235
Position 14173: 0.2164612586672171
Position 5164: 0.12179773301326703
Position 12921: 0.11612721512912594
Position 31150: 0.11181452731923262
Position 13188: 0.10168433136533787
Position 14371: 0.08498119947785411
Position 12931: 0.0845471629963934
Position 8480: 0.07360118375296801
Position 11945: 0.060650026248719846
Position 5246: 0.05506687302040533
Position 19482: 0.05036189585281986
Position 11348: 0.04494606101743514
Position 1203: 0.041326786388555956
Position 16145: 0.0381941359956519
Position 19691: 0.03684024891143503
Position 17770: 0.02845633360232602
Position 12064: 0.02492177973733638
Position 19672: 0.024090072976397047
Position 15497: 0.021200360941122542
Position 19390: 0.020533459445390916
Position 13145: 0.020162844073008487
Position 15144: 0.01842983312715635
Position 12916: 0.014230154026447471
Position 168: 0.00755435453163979
Position 11591: 0.007504728865195893
Position 15512: 0.007356198559184803
Position 12623: 0.006023332633216978
Position 3253: 0.004156026932935028
Position 3750: 0.0030395608206367263
Position 79: 0.003007325101843969
Position 332: 0.001126943086362039
Position 65: 0.0010719538308737147
Position 12472: 0.0008242341953696442
Position 3546: 0.0007696485919874597
Position 4822: 0.0005902032052205547
Position 819: 0.0005593272712350816
Position 767: 0.0004977331699591456
Position 48: 0.0002383992307899235
Position 193: 0.0001096527284337121
Position 41: 5.406549358258037e-05
Position 128: 3.092187057579683e-05
Position 262: 9.801418480631512e-06
Position 220: 6.598118490620893e-06
Position 241: 5.739000761842832e-06
Position 208: 4.52216596512608e-06
Position 210: 3.2691797170862034e-06
Position 251: 6.209731426558119e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 19287: 1.0000000000000018
Position 14029: 0.9751480140295178
Position 19950: 0.965048490092618
Position 28969: 0.9580853915748065
Position 9228: 0.955472272058843
Position 12200: 0.9069814783456138
Position 3129: 0.8288634143274932
Position 32626: 0.7235788137091109
Position 6513: 0.7078663768194454
Position 31081: 0.6220264456751726
Position 12816: 0.6204045995791894
Position 17678: 0.2765640038226431
Position 5042: 0.1768646060336723
Position 3110: 0.16047476579278208
Position 17784: 0.16007882746236177
Position 14264: 0.08490995143724016
Position 8363: 0.07360118375296802
Position 11799: 0.060650026248719846
Position 12163: 0.055528077404537066
Position 30831: 0.04293365766060798
Position 15973: 0.03819413599565191
Position 11110: 0.03760611166910604
Position 1081: 0.03623775213259897
Position 19975: 0.03494666555131127
Position 19552: 0.030601414583471983
Position 15361: 0.028556559500307378
Position 11987: 0.024927118825914477
Position 14000: 0.024508247165213472
Position 19523: 0.017715138874716915
Position 9186: 0.016959974658178768
Position 19526: 0.012613768429643124
Position 294: 0.011277350477581683
Position 14991: 0.011121369842872724
Position 23269: 0.008573264341666607
Position 331: 0.007510782201724906
Position 11499: 0.007504728865195886
Position 11302: 0.007339949348329103
Position 14994: 0.007308463284283627
Position 23492: 0.004886410719363769
Position 12499: 0.004602836471712866
Position 24931: 0.0039062277268860565
Position 24053: 0.0037857652841820754
Position 22721: 0.003463255117191152
Position 20197: 0.00314284315942245
Position 1187: 0.00259759633057179
Position 1113: 0.002491437925385193
Position 12421: 0.0022447303568737557
Position 20177: 0.002147230981114117
Position 3615: 0.0015946020316749522
Position 3380: 0.0013109942891319096
Position 21852: 0.0012827870314907888
Position 20987: 0.001276111374783814
Position 21129: 0.001272396120880016
Position 368: 0.001218323872493185
Position 21984: 0.0011908736777965266
Position 21363: 0.001002779314103126
Position 22065: 0.0009268979090133919
Position 3600: 0.0009036130918173239
Position 20643: 0.0008948632481249927
Position 20852: 0.0008021439513487467
Position 21899: 0.0007282506935931358
Position 21762: 0.0007037736658704805
Position 20640: 0.0006469245629270823
Position 20825: 0.0006107027788724952
Position 4766: 0.0005902032052205547
Position 13771: 0.0003437388052719905
Position 20318: 0.00022697253392348006
Position 14267: 6.091505416316989e-05
Position 14317: 1.03329864507763e-05
Position 19671: 2.667650513056215e-06
Position 19727: 2.176705557843938e-06
