Gene = Retreg2
index = 897
Annotated 5SS: [ 343  690 1168 1654 1921 2318 2568 3030]
Annotated 3SS: [ 582 1136 1517 1835 2173 2472 2893 3643]
SMsplice 5SS: [ 343  690 1654 1921 2318 3030 3934]
SMsplice 3SS: [ 582 1517 1835 2173 2893 3643 4044]
top_k =  100
Partition function (log Z): 2.736514507670668

Sorted 5' Splice Sites (High to Low Probability):
Position 1654: 0.9403404587686529
Position 2318: 0.9292079244186173
Position 690: 0.9185083479547507
Position 3030: 0.9182570485626751
Position 1921: 0.8225291275317672
Position 343: 0.7479658017768973
Position 3934: 0.5061423208561647
Position 2568: 0.46133666865069445
Position 96: 0.2658948872619762
Position 1168: 0.13242813521834923
Position 1357: 0.05078429223893339
Position 4228: 0.05074258739019272
Position 1419: 0.03040856270610598
Position 1300: 0.024126660798095133
Position 74: 0.01985840915321486
Position 3321: 0.01929610489721471
Position 159: 0.0188208813163072
Position 459: 0.017385296992755674
Position 3668: 0.015478361139166945
Position 491: 0.015095618617850479
Position 2573: 0.009788735490433067
Position 2619: 0.009081079354348473
Position 3344: 0.006191383487073496
Position 3746: 0.004880321859348108
Position 3328: 0.0023746423963548445
Position 444: 0.002176545591539018
Position 792: 0.0010534214777167844
Position 311: 0.0009017895928573686
Position 885: 0.0007228047732752666
Position 90: 0.0005885164805576347
Position 406: 0.0005557622654659344
Position 284: 0.0005289477371495728
Position 257: 0.000461497427914442
Position 716: 0.00039573615125798004
Position 111: 0.00013015542978226345
Position 583: 1.180716356018324e-05
Position 206: 5.973705377479139e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2893: 0.9057554060429448
Position 1517: 0.9050641300291454
Position 2173: 0.8328464240941653
Position 1835: 0.8192148748664071
Position 582: 0.7483489942175774
Position 3643: 0.7445820475744523
Position 4044: 0.45516789293250776
Position 4746: 0.30030003759720464
Position 2416: 0.26198431934069516
Position 2472: 0.21849379459685755
Position 1136: 0.18609680692348532
Position 624: 0.1425604397753086
Position 187: 0.09801384936769307
Position 4625: 0.03397805450688711
Position 2012: 0.033259491057507605
Position 3194: 0.031614120964469375
Position 2259: 0.027047058528385542
Position 2933: 0.0248295118202527
Position 2089: 0.020933088962124872
Position 991: 0.016233303946146384
Position 4784: 0.015486909374707602
Position 1315: 0.014024748963735408
Position 1605: 0.013683756397968337
Position 3278: 0.009778253058220712
Position 1495: 0.009335013440734289
Position 955: 0.008425955008905597
Position 1765: 0.006644607892095037
Position 2223: 0.005421890838219557
Position 274: 0.005396280030135254
Position 1521: 0.005303427707178475
Position 2071: 0.0051753118093993905
Position 184: 0.005083856312957343
Position 1356: 0.004325756504466169
Position 1226: 0.0033933820327050183
Position 1167: 0.002787373084382899
Position 1392: 0.0026465335660718855
Position 253: 0.0026291493005076304
Position 689: 0.002384326551085426
Position 1258: 0.0019366888287675947
Position 1092: 0.0017855754379980909
Position 475: 0.0016883406774509811
Position 197: 0.001329201927518302
Position 218: 0.0013172589465550956
Position 836: 0.0012772110574075521
Position 2110: 0.0011408600302868137
Position 3600: 0.0010167144948241694
Position 999: 0.0010097213562825728
Position 295: 0.0008611260960901591
Position 181: 0.0007929185758736173
Position 2502: 0.0005821917796430275
Position 206: 0.0005527334619979797
Position 202: 0.00040293283256232236
Position 458: 0.0001009038525781671
Position 554: 8.727780538582038e-05
Position 163: 7.972389412466501e-05
Position 483: 7.27114495747469e-05
Position 1988: 5.344387179380333e-05
Position 423: 3.2077593117285854e-05
Position 306: 2.941553295780662e-05
Position 784: 2.772726559058061e-05
Position 968: 1.5057306086862267e-05
Position 292: 9.247201413364778e-06
Position 147: 5.980868843051954e-12
