Gene = Lins1
index = 636
Annotated 5SS: [  130  6413 18660 18850 19542 20853 22151]
Annotated 3SS: [ 6281 18145 18744 19399 20264 21978 23906]
SMsplice 5SS: [  130  6413 18567 18835 19542 22151]
SMsplice 3SS: [ 6281 18479 18744 19399 22046 23906]
top_k =  100
Partition function (log Z): -15.719298322274234

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9999262049854349
Position 6413: 0.9727618626532448
Position 9588: 0.03544535645202758
Position 2964: 0.0029040487834221087
Position 2211: 0.0018746100103272062
Position 6350: 0.0013194616601596037
Position 5996: 0.0008371507591773856
Position 6560: 0.0008345738972281546
Position 3966: 0.0006676243087915672
Position 3157: 0.000390071645489956
Position 3107: 0.00021203035584376972
Position 1346: 0.00014860989655651822
Position 2313: 0.00011135982991295778
Position 172: 7.225384986464285e-05
Position 308: 9.805724982771167e-07
Position 146: 3.202219599530303e-07
Position 1022: 2.0754165027628629e-07
Position 252: 2.198958241798074e-08
Position 290: 1.0839007349717166e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 6281: 0.9746164852167825
Position 18145: 0.4493405125246545
Position 16301: 0.167510316085039
Position 13142: 0.1550699293477716
Position 6837: 0.08630733826753312
Position 11476: 0.06606250139717985
Position 9470: 0.02517561426846779
Position 9524: 0.019234489487218173
Position 11183: 0.012623908314694494
Position 10148: 0.009125819995415577
Position 10860: 0.00812011082948785
Position 3869: 0.007616341060748511
Position 9995: 0.007084092543998108
Position 7012: 0.002451498637419668
Position 6612: 0.002314323234112809
Position 7385: 0.002261519035270398
Position 8206: 0.0022107646052820016
Position 2869: 0.0019887785019269536
Position 2038: 0.0016603236004590852
Position 1021: 0.001626724325097586
Position 6483: 0.0016063790539234237
Position 8378: 0.0014546764434045499
Position 6608: 0.001432941636467929
Position 7407: 0.0012661660620144402
Position 4550: 0.0011956682247687006
Position 7213: 0.0009859348031776558
Position 2831: 0.0009154649879613503
Position 6656: 0.0008637077595246716
Position 1941: 0.0007096270929624858
Position 2370: 0.00047677842060399144
Position 1202: 0.00046083944990111717
Position 1902: 0.0004412740318606929
Position 5861: 0.0004399390676864772
Position 5533: 0.0004173378967581158
Position 5839: 0.0003972116914909084
Position 6032: 0.0003326890561431607
Position 4126: 0.00028077032589429913
Position 3074: 0.00027195609990651547
Position 3009: 0.00019412086376722367
Position 1066: 0.00016241250140235964
Position 2724: 0.00014572618108383916
Position 1416: 0.00013825839508247478
Position 2244: 9.756128345423722e-05
Position 1290: 9.613446846741454e-05
Position 1109: 8.372201401657567e-05
Position 1333: 5.1417244008051855e-05
Position 3026: 4.816529216570489e-05
Position 1497: 3.519666576018521e-05
Position 1312: 2.972513496764686e-05
Position 491: 2.3050340062408718e-05
Position 595: 1.8525753352131193e-05
Position 206: 1.7583631560785644e-05
Position 2115: 1.44071000195782e-05
