Gene = Trim30b
index = 1141
Annotated 5SS: [  98 4026]
Annotated 3SS: [3468 5984]
SMsplice 5SS: [  98 3639]
SMsplice 3SS: [3468 5984]
top_k =  100
Partition function (log Z): -7.92522055623933

Sorted 5' Splice Sites (High to Low Probability):
Position 98: 0.9062671944359576
Position 3639: 0.844588515258584
Position 243: 0.06447991923508888
Position 6170: 0.05779934339055838
Position 3678: 0.05700089029375756
Position 6085: 0.05677813616117992
Position 2496: 0.05497139881421738
Position 7076: 0.05174390416862272
Position 3163: 0.04589905381160713
Position 5093: 0.04507689285294322
Position 376: 0.0410370344401789
Position 4026: 0.032438995590708626
Position 1709: 0.022271384817353385
Position 4274: 0.022206503754477903
Position 837: 0.012886983875899954
Position 1195: 0.009233994217487582
Position 669: 0.008130196357868874
Position 880: 0.007927955255592629
Position 817: 0.005463072106499985
Position 4100: 0.004900813012915833
Position 3143: 0.003135961879996265
Position 1190: 0.0030310682544286505
Position 35: 0.0028082046422472106
Position 340: 0.002111448662673759
Position 52: 3.0369754577551447e-05
Position 162: 2.856731695294922e-05
Position 159: 6.843618178139604e-06
Position 187: 4.7973077206941976e-06
Position 19: 3.977719155144813e-06
Position 108: 3.923233462191113e-06
Position 102: 3.294412303107828e-06
Position 166: 1.4390509918462557e-06
Position 59: 1.1044587198116378e-06
Position 11: 9.906045795396723e-07
Position 5: 4.3040357969756726e-07
Position 23: 4.024710028947752e-07
Position 86: 3.4587799144248825e-07
Position 223: 1.2903087264574569e-08
Position 25: 2.99735252964683e-09
Position 228: 7.768230321520822e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5984: 0.8999186934397554
Position 3468: 0.793941919222718
Position 3561: 0.13766807585279522
Position 2382: 0.045990504277825674
Position 242: 0.044208651381870606
Position 6844: 0.04373152256928681
Position 4835: 0.04125546235937664
Position 6811: 0.03122860213714327
Position 3082: 0.02929376374703858
Position 7520: 0.02675158651682988
Position 5049: 0.02596095314701757
Position 7453: 0.023116181614781746
Position 4165: 0.016568291586719682
Position 5930: 0.015569222663234293
Position 3993: 0.01521972289579085
Position 6744: 0.014378823931390826
Position 5987: 0.012935551103574238
Position 7688: 0.012824474052637489
Position 5469: 0.010009037057143472
Position 7819: 0.009155100298807539
Position 1434: 0.00836157118587655
Position 1644: 0.007743740563068555
Position 1605: 0.007522131527433786
Position 4199: 0.007512182383126629
Position 1030: 0.0072117518208890475
Position 3142: 0.006662945262882748
Position 2414: 0.006551575949348172
Position 468: 0.0063790483125915915
Position 5051: 0.006268017322123864
Position 2896: 0.005641630137507888
Position 3481: 0.005393599788357647
Position 7168: 0.005135092599483446
Position 981: 0.005017410657505977
Position 2827: 0.004729140392816591
Position 761: 0.0035803413799159038
Position 3739: 0.0035795138586020023
Position 5365: 0.0033928146624695047
Position 2438: 0.002883025953186886
Position 3118: 0.0027075361513575944
Position 5933: 0.0023235711231211075
Position 4273: 0.0017183500118358962
Position 5273: 0.001628493313864434
Position 1785: 0.0003692378298238264
Position 334: 0.00017223987772163038
Position 3700: 6.426627667382985e-05
