Gene = Atic
index = 148
Annotated 5SS: [  125   474  2153  3806  6698  7408  7818 10790 11921 12776 13780 15887
 18984 19650 20792]
Annotated 3SS: [  346  2075  3738  6608  7255  7660 10663 11812 12689 13689 15757 18890
 19466 20635 21401]
SMsplice 5SS: [  474  2153  3806  6703  7408  7818 10790 11921 13780 15887 18984 19645
 20792]
SMsplice 3SS: [ 2075  3738  6608  7255  7660 10663 11812 13689 15757 18890 19466 20635
 21401]
top_k =  100
Partition function (log Z): 16.456907462312355

Sorted 5' Splice Sites (High to Low Probability):
Position 3806: 0.9913482115487856
Position 10790: 0.970499983807134
Position 2153: 0.9686002687506514
Position 20792: 0.9655898198006727
Position 11921: 0.9430369387363079
Position 474: 0.9267991958806161
Position 18984: 0.9226223751830397
Position 15887: 0.885775931368221
Position 7408: 0.86802018603992
Position 13780: 0.8326022394217494
Position 7818: 0.7602349662445298
Position 19645: 0.6633107036209839
Position 6703: 0.637412690603413
Position 125: 0.553516682749282
Position 19650: 0.3090281337686471
Position 17018: 0.2914284129733931
Position 6698: 0.24336529971569124
Position 860: 0.173085648162823
Position 1830: 0.15072630393792213
Position 13797: 0.13952456706311078
Position 7364: 0.1285906768691565
Position 9716: 0.11356557144600385
Position 15899: 0.11217244837129595
Position 12776: 0.08857194971692843
Position 12424: 0.08196039205917326
Position 851: 0.08152684765099136
Position 19009: 0.06651208057231577
Position 3664: 0.0643432330806861
Position 941: 0.06393439272867278
Position 1141: 0.06148090401336224
Position 17398: 0.05730083599624822
Position 14697: 0.05262593052943266
Position 10278: 0.05070781745737718
Position 19839: 0.032798732595306565
Position 8708: 0.03174980059718179
Position 8106: 0.029342673625667465
Position 21767: 0.02899576133449859
Position 20220: 0.025133055515013093
Position 10830: 0.022061015006863697
Position 1343: 0.020738873686838036
Position 19625: 0.020459958613844066
Position 1515: 0.01795854568532862
Position 1147: 0.016488175902826363
Position 21218: 0.015470797235691228
Position 14659: 0.014492238026085486
Position 7750: 0.009822624062514001
Position 14302: 0.007697411226988082
Position 9209: 0.006740660305069827
Position 20996: 0.004826574898348679
Position 16024: 0.004685791928070191
Position 74: 0.0025575535847097153
Position 16846: 0.0021252457205012914
Position 482: 0.0016165302540455738
Position 152: 0.0011744539061873398
Position 11084: 0.001104960367861593
Position 486: 0.0009936326937635671
Position 918: 0.0008876130990389284
Position 321: 0.0008575141201483411
Position 44: 0.0007450529511253193
Position 10777: 0.0006745190542935239
Position 114: 0.0006494971897852679
Position 569: 0.0006245606964018399
Position 233: 0.0003462065170477704
Position 1101: 0.00027115260020366865
Position 67: 0.0002619342234113001
Position 270: 0.00023139772880789223
Position 13784: 0.00023103580209976165
Position 1302: 0.00022414661002648665
Position 231: 0.00015568082467551435

Sorted 3' Splice Sites (High to Low Probability):
Position 15757: 0.9992322693428939
Position 18890: 0.9891344557553543
Position 10663: 0.9886183798499238
Position 2075: 0.9572903433932234
Position 7255: 0.9466300740518304
Position 13689: 0.9270028694414362
Position 11812: 0.917186732275083
Position 20635: 0.9149028168937666
Position 6608: 0.8807779903191036
Position 3738: 0.8274388288063527
Position 21401: 0.7058892978163606
Position 7660: 0.6508322072566666
Position 19466: 0.5186015850374249
Position 19521: 0.4740121462105552
Position 346: 0.4014622591461537
Position 753: 0.29988200425073086
Position 16953: 0.2310513045720024
Position 21963: 0.17358311424496006
Position 1687: 0.16203622929535008
Position 3712: 0.14238910616176784
Position 20953: 0.1380756162926275
Position 7700: 0.11208716807490637
Position 3556: 0.08586350966135138
Position 12689: 0.08444797596878112
Position 9530: 0.07116030007160445
Position 14544: 0.06711816855551803
Position 1007: 0.06495491686987749
Position 16819: 0.060898292959910644
Position 20766: 0.06088641004178909
Position 17278: 0.05730083599624818
Position 10264: 0.05070781745737717
Position 9489: 0.04240527137439939
Position 8586: 0.031749800597181785
Position 19726: 0.03069436943979346
Position 7149: 0.02959838219416534
Position 7992: 0.02934267362566748
Position 13639: 0.02915896779313325
Position 282: 0.029108550725911612
Position 12208: 0.028720026220676355
Position 225: 0.022877864643686206
Position 7215: 0.020382406663080426
Position 1228: 0.020181697305174707
Position 12349: 0.020089830867825578
Position 11699: 0.01851110918942536
Position 808: 0.016968582781923508
Position 13666: 0.01619600505239026
Position 261: 0.014957463560770575
Position 21729: 0.01449658982460969
Position 1376: 0.014094474948126531
Position 982: 0.013344742917932235
Position 12313: 0.012734294441776296
Position 19904: 0.011032435691939072
Position 12236: 0.010827859412894852
Position 20154: 0.009828544726433358
Position 11837: 0.00733909727179877
Position 14168: 0.007184352424423465
Position 7540: 0.007138214975470285
Position 9094: 0.006740660305069839
Position 12239: 0.006632680929611846
Position 20083: 0.006199434189070217
Position 392: 0.005581903048464104
Position 22325: 0.0051217490626658
Position 240: 0.004770456403778215
Position 10719: 0.004617138018366382
Position 356: 0.004606802405123982
Position 12547: 0.0041239737481472945
Position 1212: 0.00402882252826349
Position 416: 0.0036275719015094296
Position 12291: 0.002780890172569977
Position 15961: 0.0026341716675907616
Position 19748: 0.002089981892650316
Position 311: 0.0011721930304197804
Position 731: 0.0010659975615228507
Position 16841: 0.0010155658528438326
Position 314: 0.001015138090581872
Position 766: 0.000926428550979859
Position 15647: 0.000767730657101854
Position 11009: 0.000644777994443282
Position 16898: 0.0005884953091375977
Position 1260: 0.0005571439292110393
Position 285: 0.0005300049980517667
Position 395: 0.0005285238746989456
Position 11014: 0.00046018237341831104
Position 14150: 0.0003999766314721956
Position 658: 0.0002726036098188962
Position 298: 0.00025606046513866875
Position 19354: 0.00018506475549410567
Position 709: 0.0001470275688108998
Position 12153: 0.0001333910979476136
Position 14146: 0.00011308217109241103
Position 713: 0.00010829644347543738
Position 677: 6.356087426368374e-05
Position 12384: 4.141891587070573e-05
Position 197: 2.3732598849388798e-05
Position 19751: 1.4381262862768961e-05
Position 433: 1.1367137993295369e-05
Position 149: 9.752921154282714e-10
Position 445: 3.1359384390960185e-10
