Gene = Get4
index = 432
Annotated 5SS: [  296 10236 10628 11305 13442 14821 14979 15152]
Annotated 3SS: [10156 10545 11154 13302 14679 14902 15078 16656]
SMsplice 5SS: [  296 10236 10628 11305 13442 14821 14979 15152]
SMsplice 3SS: [10156 10545 11154 13302 14679 14902 15078 16656]
top_k =  100
Partition function (log Z): 8.445115742421981

Sorted 5' Splice Sites (High to Low Probability):
Position 296: 1.0000000000000036
Position 11305: 0.9998065816227086
Position 14979: 0.996631888427333
Position 13442: 0.9923253939020659
Position 15152: 0.991251192588057
Position 14821: 0.9811586977375961
Position 10236: 0.9393847350013272
Position 10628: 0.7705458279419873
Position 11861: 0.2942406572109371
Position 14343: 0.20413958061152615
Position 16289: 0.15677164852536438
Position 10719: 0.05841191064313
Position 11836: 0.050015857178308004
Position 14374: 0.04368781114670599
Position 12303: 0.0415985924302876
Position 17291: 0.020273659984795602
Position 16278: 0.01862520650774424
Position 16830: 0.01303985129468066
Position 16800: 0.0067950478599518235
Position 17220: 0.00661823886590673
Position 13963: 0.004119098894514658
Position 17129: 0.0037099291594263595
Position 13405: 0.003124706124286735
Position 16493: 0.001631226127283708
Position 13688: 0.0014246976469038978
Position 15817: 0.0013102030425598335
Position 13410: 0.000985582380420521
Position 14969: 0.00048532748243923827
Position 14246: 0.0002398003780928651
Position 15161: 5.254013544857204e-05
Position 15896: 4.8605303633036445e-05
Position 16210: 3.067427571329732e-05
Position 14925: 8.302278877415673e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 14902: 0.9975553419127702
Position 15078: 0.9940399394110281
Position 11154: 0.991421578907445
Position 10156: 0.9393847350013289
Position 14679: 0.718784200748398
Position 16656: 0.6276761048915094
Position 10545: 0.5193146575630879
Position 13302: 0.4642661623194904
Position 13345: 0.34247444558568235
Position 10548: 0.30964308102202964
Position 14229: 0.24924241902417596
Position 14701: 0.24656416147935664
Position 17090: 0.24252701290448403
Position 13285: 0.1896950745016
Position 11762: 0.1846668211483456
Position 16095: 0.1540787763523767
Position 17487: 0.11790050947561034
Position 12182: 0.0415985924302876
Position 11750: 0.03954764150892589
Position 11673: 0.032168139502949424
Position 11700: 0.03067633059999347
Position 16023: 0.026725102270315985
Position 11492: 0.02509096089616734
Position 11567: 0.024693681413564608
Position 14737: 0.012313318246202942
Position 15696: 0.011512408751577847
Position 16689: 0.008514015134229166
Position 11128: 0.008385002715262092
Position 16116: 0.00795372251442683
Position 11823: 0.006842116139675377
Position 17095: 0.00472154510385156
Position 16193: 0.004515602754258857
Position 17443: 0.004190990827504931
Position 16061: 0.004160035632533017
Position 15522: 0.0032079636082242903
Position 14528: 0.0024449249149310222
Position 13667: 0.0023260548574212713
Position 15454: 0.0021410161363142393
Position 15525: 0.002066916499599246
Position 16372: 0.0016312261272837078
Position 13825: 0.001079708264569587
Position 13942: 0.0010105647279347039
Position 16268: 0.0008002198388458502
Position 13511: 0.0007582378451967048
Position 11655: 0.0005676636674004137
Position 14939: 0.0005657690020728617
Position 14909: 0.0004336581624364285
Position 13795: 0.00036923084629628946
Position 15089: 0.00024253000881728287
Position 11427: 1.8327562781384935e-06
Position 11610: 1.3267559448796018e-06
