Gene = Glyctk
index = 439
Annotated 5SS: [  98  650  994 1730]
Annotated 3SS: [ 233  841 1553 2030]
SMsplice 5SS: [ 98 364]
SMsplice 3SS: [233 841]
top_k =  100
Partition function (log Z): -8.91994939534855

Sorted 5' Splice Sites (High to Low Probability):
Position 994: 0.6466793369150662
Position 98: 0.5798790573267609
Position 364: 0.5516286606084917
Position 650: 0.41956180268221444
Position 480: 0.17461511268582178
Position 1730: 0.10497411477992818
Position 88: 0.08340654204732001
Position 1103: 0.08104714141005226
Position 139: 0.05078172493793462
Position 29: 0.04806779167658146
Position 127: 0.03744335733106872
Position 1089: 0.01554481429404835
Position 3215: 0.014014544160737307
Position 408: 0.013030543659287212
Position 190: 0.00851319277431144
Position 291: 0.007969978920280115
Position 595: 0.0018765437413090238
Position 606: 0.0017005406064551577
Position 147: 0.001199378388585541
Position 412: 0.0009251790969948036
Position 52: 0.0008642580328319258
Position 200: 0.0007101347765173519
Position 36: 0.00048193538665460207
Position 86: 0.00035654447463955024
Position 540: 0.0003548300402126102
Position 155: 0.0003453367780519162
Position 14: 6.859771161966574e-05
Position 16: 6.0121163358083987e-05
Position 195: 2.1507735021068257e-05
Position 33: 1.855297065173595e-05
Position 31: 1.5397819689993587e-05
Position 174: 7.35354204478143e-06
Position 204: 4.733070334390288e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 841: 0.9631073211287391
Position 233: 0.6509937026525636
Position 463: 0.2735030788290544
Position 1553: 0.20256678448038914
Position 2030: 0.1537844492082137
Position 4332: 0.11730996737140421
Position 1612: 0.08324777105955289
Position 3689: 0.06423487741018316
Position 2737: 0.05274176079543159
Position 2894: 0.05155933880458972
Position 1603: 0.03752735418029042
Position 500: 0.030985984023808012
Position 3289: 0.029964836183432444
Position 3090: 0.027008896501302112
Position 1121: 0.02458415075767519
Position 290: 0.015401208882286833
Position 2841: 0.013488248586680485
Position 345: 0.011893459775291996
Position 555: 0.007724732559643456
Position 237: 0.007140856677522958
Position 2180: 0.00696470157768381
Position 593: 0.003637771467776379
Position 440: 0.0026825316735492786
Position 993: 0.0026226517928003333
Position 469: 0.002057499457100331
Position 1606: 0.0019648433149614623
Position 378: 0.0017348177642746493
Position 843: 0.0016427334433578218
Position 522: 0.001461962430726973
Position 312: 0.0012744010348216743
Position 786: 0.0010477429415849777
Position 138: 0.0002494031419159413
Position 126: 5.49807411776431e-05
Position 383: 3.840895089894439e-06
