Gene = Bcas2
index = 172
Annotated 5SS: [ 211  386 1691 2847 4015 5765]
Annotated 3SS: [ 292 1619 2684 3963 5683 6699]
SMsplice 5SS: [ 211  386 1691 2847 5765]
SMsplice 3SS: [ 292 1619 2684 5683 6699]
top_k =  100
Partition function (log Z): 7.698020297347027

Sorted 5' Splice Sites (High to Low Probability):
Position 211: 0.9883698642368369
Position 5765: 0.9829379623740289
Position 1691: 0.9725375653092252
Position 386: 0.9286864776557344
Position 2847: 0.7794543900032771
Position 4015: 0.49279484115140776
Position 6485: 0.18041926879165732
Position 5075: 0.14583516372521013
Position 2836: 0.09390260864199214
Position 6895: 0.08980040810452619
Position 403: 0.07091289494333515
Position 6937: 0.05840295823320965
Position 6510: 0.03112926950983937
Position 2916: 0.026290494204098337
Position 1712: 0.022288469947073727
Position 4886: 0.021557851541021265
Position 5179: 0.01713379838341117
Position 4995: 0.009061338249483344
Position 148: 0.005509569256069957
Position 2268: 0.0042037218931315
Position 6713: 0.00294776423636691
Position 977: 0.002860715484911382
Position 6592: 0.0028368914253349563
Position 6840: 0.0025112429519710496
Position 4295: 0.002236097509123299
Position 710: 0.0020142894450490526
Position 136: 0.0018438244928490669
Position 154: 0.0014772731750714832
Position 1701: 0.0009548460220708229
Position 1317: 0.0005725421531878154
Position 1864: 0.0004130659561770699
Position 6358: 0.0004089464769456468
Position 226: 0.0004061825320571167
Position 6352: 0.00033558209768592127
Position 1236: 0.000319286695059968
Position 1332: 0.00026223830759672834
Position 811: 0.00023958253885502086
Position 5769: 0.000234756171045215
Position 628: 0.00020359977174043322
Position 660: 0.00017890480486002977
Position 1241: 0.00017609501856955413
Position 215: 0.00013200273487605068
Position 199: 8.369013363670677e-05
Position 1764: 7.063338515100725e-05
Position 151: 5.745861575306532e-05
Position 221: 5.545131301944505e-05
Position 235: 2.210813411771367e-05
Position 27: 1.4911350199316877e-05
Position 108: 1.0249524738052937e-05
Position 29: 3.889780023219915e-06
Position 36: 2.824043663184342e-06
Position 31: 2.0364140344874615e-06
Position 57: 2.3546719728947007e-07
Position 437: 1.5149658957161316e-07
Position 390: 7.62558730213724e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 292: 0.99500944458638
Position 5683: 0.983971167899077
Position 6699: 0.9623710065260856
Position 1619: 0.8006556612967807
Position 2684: 0.4695520932132463
Position 2710: 0.3508874437164477
Position 3847: 0.20019492118814783
Position 1578: 0.18690677812903547
Position 4851: 0.17036079013940494
Position 3963: 0.16939494477045505
Position 6380: 0.1397045608692727
Position 3920: 0.09084823910443733
Position 6217: 0.08905300295648509
Position 2766: 0.05817898109996993
Position 7301: 0.03657395698122418
Position 7371: 0.030725904383340417
Position 3929: 0.029249730728046187
Position 7045: 0.028556854882466228
Position 7048: 0.02343957298019327
Position 5112: 0.017133798383411152
Position 7100: 0.01689409275260574
Position 2600: 0.01636916251742002
Position 7005: 0.013871494177951686
Position 6484: 0.011808774837624483
Position 7063: 0.010982812893383974
Position 4880: 0.006093563376309821
Position 6270: 0.004011848232900376
Position 2191: 0.0037753277882852654
Position 3631: 0.0031070053603212203
Position 2740: 0.003026247654328319
Position 1499: 0.002480551414132462
Position 858: 0.002416247114372945
Position 316: 0.0023563893007531784
Position 4165: 0.002236097509123299
Position 1623: 0.0015317910257958453
Position 1648: 0.0014618518336006144
Position 1155: 0.001394719843557776
Position 515: 0.0011597472529597962
Position 1681: 0.0009678854874299701
Position 1371: 0.0008226671988369259
Position 2772: 0.0007200311025491577
Position 540: 0.0005945309233976152
Position 1405: 0.0005884406001552165
Position 693: 0.0005107077817413356
Position 2632: 0.00048583607121683914
Position 2778: 0.0004276974741880882
Position 494: 0.0004058064438399973
Position 2144: 0.00034289062372543246
Position 1767: 0.0003379268676761057
Position 1315: 0.0003365169861204263
Position 896: 0.00031549357366523426
Position 313: 0.00022510520574784226
Position 1170: 0.00010994063716686915
Position 477: 9.455895543899681e-05
Position 2216: 4.7669176716641056e-05
Position 2193: 3.783430440415951e-05
Position 310: 2.0261523909977456e-07
Position 324: 1.513491105029175e-08
Position 1292: 1.1473823780958315e-08
Position 340: 7.876054014558711e-09
Position 245: 5.494734991367999e-09
Position 386: 1.2949468494736486e-09
Position 390: 3.782210154408901e-11
Position 351: 5.976578383350395e-12
Position 208: 1.5836263885035863e-12
Position 215: 1.524837267432006e-12
