Gene = Pag1
index = 789
Annotated 5SS: [   469  46418  81267 127597 128976 131722 134455 137561]
Annotated 3SS: [ 46358  81192 127389 128923 131624 133867 137500 139549]
SMsplice 5SS: [   469  11124  23661  31257  35058  46418  70733  81267  96861 103620
 127597 128976 131722]
SMsplice 3SS: [ 11002  23553  31160  34955  46358  70646  81192  96747 103548 127389
 128923 131624 143289]
top_k =  100
Partition function (log Z): -90.69261786155647

Sorted 5' Splice Sites (High to Low Probability):
Position 469: 0.9854684305655158
Position 3361: 0.0369629364788264
Position 4086: 0.023320673935303862
Position 699: 0.013318284289681865
Position 4714: 0.012413364221897325
Position 4801: 0.011851259619273196
Position 517: 0.009215685399480155
Position 2211: 0.008585833549961779
Position 302: 0.007387103037696818
Position 135: 0.0031842269433152745
Position 2277: 0.0031114385509891417
Position 105: 0.00230261717289308
Position 2388: 0.0003773550577161702
Position 163: 0.0002457179093524816
Position 274: 0.00011134302930117551
Position 74: 0.0001084569542678175
Position 110: 9.766208001342322e-05
Position 176: 5.054906670132639e-05
Position 86: 2.8475340021967695e-05
Position 181: 2.0659215430610657e-05
Position 179: 6.552181323502581e-06
Position 267: 5.42387103608529e-06
Position 492: 1.1832386319221173e-06
Position 419: 6.498211723658029e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 11100: 0.3325343297001551
Position 3937: 0.14609793323668605
Position 3562: 0.09835713681500331
Position 4602: 0.08531477909859556
Position 5505: 0.08232362136278093
Position 3309: 0.05927087623697859
Position 541: 0.05385210283785604
Position 2947: 0.03904481683405273
Position 7826: 0.03225151664155495
Position 3940: 0.02101905524799957
Position 564: 0.01669686775347948
Position 4667: 0.013206444996867977
Position 2874: 0.012686936878922535
Position 5690: 0.012153415862744776
Position 5838: 0.010245605567740537
Position 2096: 0.009259626402042514
Position 2210: 0.007837073615632946
Position 5041: 0.007037453307983547
Position 3854: 0.00629425410434271
Position 2472: 0.005969210005618108
Position 1289: 0.005383308769274048
Position 1584: 0.0043846258315929625
Position 4575: 0.004324184381044324
Position 796: 0.004103897431806678
Position 1430: 0.003823750890859264
Position 3573: 0.003554542107171624
Position 2475: 0.003421267175666353
Position 2762: 0.002974169347557686
Position 2665: 0.002770842844041127
Position 913: 0.0025531613714359
Position 279: 0.0025068012136863524
Position 3286: 0.0024454045666396015
Position 399: 0.0022477342281895236
Position 2825: 0.0022390324903815814
Position 338: 0.002137467311798032
Position 3390: 0.00213364660641425
Position 2066: 0.002113942880632769
Position 1148: 0.0019821401729545707
Position 1710: 0.0017663798276357973
Position 1327: 0.0017256861785895675
Position 4713: 0.001215153278927542
Position 1191: 0.0011569280255728461
Position 1770: 0.0010384730601733648
Position 195: 0.0010009380812869236
Position 1810: 0.0008666098502661295
Position 547: 0.0006800040161276404
Position 879: 0.0006015718925313095
Position 1050: 0.0005422151604925891
Position 831: 0.00046108043446318775
Position 229: 0.00019360154286406545
Position 2113: 0.0001301956768258342
Position 2073: 9.415933519220345e-05
Position 359: 8.390135167722666e-05
Position 314: 1.968947197430288e-05
Position 224: 1.2143325997871456e-05
Position 345: 1.199766371820769e-05
Position 425: 6.4234920141676605e-06
Position 414: 3.634817324530879e-06
Position 203: 2.336333379073317e-06
Position 197: 2.3090565278822212e-06
Position 237: 2.18644467225523e-06
Position 435: 1.0992128743052295e-06
Position 603: 1.090304953241018e-06
Position 199: 1.0769874737787994e-06
Position 411: 7.6078147271434e-07
Position 581: 6.25287390537573e-07
Position 285: 4.499654736597535e-07
Position 146: 1.845437380688244e-07
