Gene = Tfpt
index = 1076
Annotated 5SS: [ 333 1057 5286 8822 9108]
Annotated 3SS: [ 797 5214 8751 8900 9409]
SMsplice 5SS: [ 113 1057 5286 8822]
SMsplice 3SS: [ 797 5214 8751 9409]
top_k =  100
Partition function (log Z): -3.6058823788711227

Sorted 5' Splice Sites (High to Low Probability):
Position 5286: 0.9962710960676985
Position 8822: 0.7558291864848982
Position 1057: 0.5927082287213338
Position 5949: 0.4255682222444083
Position 113: 0.41291928437521974
Position 1061: 0.31921798214313407
Position 9108: 0.23922472731664285
Position 333: 0.2278863079380205
Position 201: 0.14563144713532716
Position 1813: 0.11092011205341759
Position 184: 0.08856003100833795
Position 1758: 0.08286738340485783
Position 5483: 0.057643403388827424
Position 3187: 0.049752209886892565
Position 253: 0.04174707676738703
Position 9138: 0.0400256441388309
Position 132: 0.03381971634527585
Position 5758: 0.030988423625523027
Position 9217: 0.022388749792089987
Position 8844: 0.021811835596673892
Position 1649: 0.019999045874261955
Position 890: 0.017235468063302953
Position 647: 0.012649078601577744
Position 1638: 0.011696844742484143
Position 1919: 0.009968981823301078
Position 2988: 0.008812838768732685
Position 1827: 0.00822682096429199
Position 9069: 0.007258009534051504
Position 3812: 0.007130248986616615
Position 3680: 0.005366814069175684
Position 5490: 0.004656026477999466
Position 3485: 0.0039789175178293786
Position 1817: 0.003401720142626279
Position 6029: 0.002829825030580954
Position 33: 0.002129023755073192
Position 104: 0.0017282197664894243
Position 475: 0.0016267630983145597
Position 413: 0.001465198411534847
Position 121: 0.0011967365396946938
Position 179: 0.0008864646203610512
Position 291: 0.0008850079384066553
Position 564: 0.00046881180711585155
Position 633: 8.93886394946216e-06
Position 462: 5.952700978010999e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 5214: 0.9999999999999999
Position 9409: 0.9363424150749231
Position 8751: 0.7968523571539172
Position 797: 0.5130918498833621
Position 940: 0.3375797896505698
Position 1648: 0.16932670009870096
Position 5880: 0.1640562589124135
Position 8900: 0.14201959215023832
Position 8989: 0.12707918766671508
Position 5865: 0.12689024460303625
Position 5848: 0.09776036898222175
Position 8937: 0.07572284828240422
Position 5390: 0.06352592572215485
Position 886: 0.05208143271030241
Position 1568: 0.03654305422513035
Position 2894: 0.03076129315868715
Position 1744: 0.030738406178377923
Position 5665: 0.028297351066879934
Position 2987: 0.02448106636544878
Position 5796: 0.021616931786166103
Position 5741: 0.017692226554174725
Position 3613: 0.012497063055792292
Position 1467: 0.006580235303346776
Position 3384: 0.003978917517829377
Position 1403: 0.00382275009909924
Position 5520: 0.003683379767181081
Position 3122: 0.0033226891314892884
Position 9548: 0.0020575485800843267
Position 6962: 0.000898513395714573
Position 1579: 6.260431902955528e-05
Position 583: 1.3283294976522878e-05
Position 650: 9.383061623490966e-06
Position 1672: 7.158781556102032e-06
