Gene = Hopx
index = 543
Annotated 5SS: [  275 20256]
Annotated 3SS: [20098 27304]
SMsplice 5SS: [  275  4303 12191 20256 20593 22408]
SMsplice 3SS: [ 4155 12076 20098 20459 22322 27304]
top_k =  100
Partition function (log Z): -19.133994527498995

Sorted 5' Splice Sites (High to Low Probability):
Position 275: 0.9127544993117397
Position 4303: 0.8469808420213503
Position 87: 0.05741804236974333
Position 92: 0.05148784996317312
Position 1060: 0.04614070716801645
Position 1135: 0.04538543862444427
Position 900: 0.03110178349378331
Position 909: 0.021606235476582056
Position 3808: 0.017481626116310666
Position 2387: 0.015856653825499223
Position 594: 0.014285228948699526
Position 292: 0.009732717850681388
Position 7437: 0.00900348613426193
Position 2633: 0.008637399672378067
Position 704: 0.007346402627256813
Position 2287: 0.005153608733515557
Position 3815: 0.0036836873571597295
Position 504: 0.0034883764748748717
Position 758: 0.0023514615163841256
Position 2709: 0.0018220517992946462
Position 954: 0.0016122045659096157
Position 142: 0.00019922932909876513
Position 133: 0.00011043702934765481
Position 396: 2.0885041769342814e-05
Position 181: 6.948463603474542e-06
Position 107: 6.078457999877882e-06
Position 170: 5.442228828390082e-06
Position 110: 4.204479490145007e-06
Position 156: 1.3627602455928021e-06
Position 20: 9.478624930597148e-07
Position 47: 8.21363831410653e-07
Position 27: 9.495217202377988e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 4155: 0.9807067443961145
Position 11127: 0.32386627548789126
Position 7685: 0.1317345935015637
Position 858: 0.0962473178865036
Position 10069: 0.08593261509898711
Position 10927: 0.05071545511768864
Position 6626: 0.04656408249705529
Position 5539: 0.03916556359846639
Position 167: 0.03233368328522635
Position 9419: 0.026861652326961014
Position 7365: 0.026554647883026337
Position 2171: 0.022956581744682056
Position 7626: 0.01855239221447901
Position 6901: 0.018472269002040655
Position 4402: 0.017785083801839838
Position 3645: 0.01413460069785505
Position 1020: 0.013203921469820254
Position 7993: 0.01250225484689315
Position 5491: 0.01233999750159521
Position 969: 0.01187157590005573
Position 8122: 0.01173585754823771
Position 652: 0.010032050081275038
Position 920: 0.00944181024174237
Position 8381: 0.009367904108874399
Position 503: 0.007787024777029458
Position 7066: 0.007196383886631877
Position 3737: 0.007030712775615333
Position 190: 0.0068570035735219794
Position 2537: 0.006348290630654533
Position 757: 0.005787462068799837
Position 4933: 0.005169662792504385
Position 6470: 0.004196586648973181
Position 2580: 0.0041111608410181735
Position 4455: 0.0038153775392866874
Position 899: 0.00351558348119557
Position 4654: 0.0034632793581579127
Position 623: 0.002776255508239026
Position 6065: 0.0026976958804232495
Position 4985: 0.002366304947733414
Position 193: 0.002337523068415789
Position 4856: 0.002293913272056559
Position 1050: 0.0019500640442556305
Position 4694: 0.0018513165572537076
Position 5573: 0.0017207581025080042
Position 5008: 0.0016716944554790363
Position 250: 0.0016500847030367642
Position 5283: 0.0015926464428429347
Position 1025: 0.001143006431208311
Position 1571: 0.0007789668189092505
Position 2708: 0.00038856520032327593
Position 816: 2.4449622381997803e-05
Position 222: 1.721239737578396e-05
Position 255: 1.2875465212469263e-05
Position 771: 8.834821649074244e-06
Position 763: 8.764063756271898e-06
Position 514: 6.138351001446941e-06
Position 740: 4.901365018982767e-06
Position 483: 4.710266104319412e-06
Position 480: 4.675435212559012e-06
Position 735: 4.23804451097577e-06
Position 209: 3.2677650050224687e-06
Position 487: 2.601467388364392e-06
Position 952: 2.376974109391193e-06
Position 395: 1.7945700760315626e-06
Position 154: 1.5064702611924873e-06
Position 402: 7.447888605103219e-07
Position 219: 7.446727125017205e-07
Position 132: 6.654343494614282e-07
