Gene = Utp25
index = 1174
Annotated 5SS: [  229   782  2006  6635  8267  9963 12080 12772 15434 15668 16516]
Annotated 3SS: [  741  1725  6463  8177  9551 11859 12568 15250 15554 16269 22485]
SMsplice 5SS: [  229  2006  6635  8267 11953 15434 15668 16516]
SMsplice 3SS: [ 1725  6463  8177 11859 15379 15554 16269 24035]
top_k =  100
Partition function (log Z): -0.49442143968905294

Sorted 5' Splice Sites (High to Low Probability):
Position 2006: 0.9999999999999998
Position 15668: 0.9997382613115015
Position 15434: 0.9982535478019313
Position 8267: 0.9859572590801595
Position 16516: 0.9086098060553313
Position 6635: 0.9003061539510209
Position 11953: 0.6250347169749035
Position 3410: 0.5435122797834999
Position 19275: 0.5048391721080732
Position 12772: 0.48898494678919646
Position 229: 0.4731335654532977
Position 12080: 0.30499013314650486
Position 3105: 0.285038789455049
Position 9963: 0.2424317142714545
Position 316: 0.16855047004748708
Position 19712: 0.15294590380784764
Position 22655: 0.13793686885375042
Position 235: 0.12369459821796633
Position 421: 0.1113143653324661
Position 782: 0.10921925511572128
Position 9873: 0.08800443253540137
Position 922: 0.08733549577263869
Position 1156: 0.07654482916402199
Position 16829: 0.06774689398846204
Position 4730: 0.04891397565811591
Position 285: 0.047670071544721845
Position 16221: 0.03780183940545336
Position 15858: 0.032514251017797986
Position 15815: 0.029348601836957287
Position 10057: 0.02614944312900252
Position 476: 0.02293075382576297
Position 280: 0.012999338707890723
Position 486: 0.01162776618417199
Position 12450: 0.009046603595139384
Position 845: 0.007871084483854788
Position 449: 0.007747464239301047
Position 1337: 0.0047974364167483775
Position 9038: 0.0012957633122365616
Position 8362: 0.001210161436880749
Position 47: 0.0011798889197752857
Position 8421: 0.0008700219978291415
Position 655: 0.0005091998985873448
Position 270: 0.0004046528329269175
Position 289: 0.0002932332354815391
Position 113: 3.028418176047192e-05
Position 259: 2.6271961027085493e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 15379: 0.9999999999999996
Position 11859: 0.9300248501214081
Position 1725: 0.9137703070663257
Position 8177: 0.8754242676782124
Position 6463: 0.8164549328962153
Position 15554: 0.8142632196911423
Position 22485: 0.7000812787422634
Position 16269: 0.6532263149018576
Position 19102: 0.555853207715621
Position 12568: 0.4889849467891966
Position 3300: 0.40614875280750073
Position 9737: 0.2528017402817547
Position 2957: 0.22061574355285873
Position 741: 0.21641014605584333
Position 19475: 0.18389530908607643
Position 16384: 0.15272143197257285
Position 24035: 0.13793686885375042
Position 19425: 0.12819535672283397
Position 15626: 0.12240056707161093
Position 8093: 0.11196849059835662
Position 16291: 0.09817710937212448
Position 9551: 0.0898637719906832
Position 6416: 0.08385122105480564
Position 3191: 0.08003347233470022
Position 16707: 0.07940120628571094
Position 15763: 0.07784326004271955
Position 1818: 0.054193300617268875
Position 4670: 0.04891397565811592
Position 3347: 0.04434359511607265
Position 2855: 0.03675682317043172
Position 15608: 0.03590445960738755
Position 1729: 0.0320363923164052
Position 2827: 0.027666222731758602
Position 16729: 0.026549772071669746
Position 595: 0.02053522962439923
Position 16125: 0.017694144630905986
Position 9587: 0.013920077663420564
Position 3152: 0.012986459525226354
Position 17806: 0.010255930257432587
Position 16493: 0.010059462633464099
Position 15537: 0.00992124367531721
Position 12366: 0.00904660359513938
Position 17849: 0.008572974799447275
Position 16137: 0.008173466052106644
Position 16099: 0.008131615993568412
Position 15519: 0.008107269341729485
Position 15846: 0.007603942005030053
Position 15592: 0.00740380996672254
Position 294: 0.006976825255890813
Position 1050: 0.006284606292950449
Position 18702: 0.005761751280768946
Position 1003: 0.005618658504424305
Position 1216: 0.00479743641674838
Position 671: 0.002225863729081006
Position 668: 0.0014932789453233597
Position 16172: 0.0014173163488599245
Position 8950: 0.001295763312236561
Position 902: 0.0008270497597127624
Position 803: 0.0008191312568590003
Position 890: 0.0007115092071150758
Position 706: 0.0006456131863599922
Position 8362: 0.0006446842383001455
Position 315: 0.0005346773009020759
Position 15995: 0.0001828570644120886
