Gene = Prc1
index = 849
Annotated 5SS: [  142  5984  6710 10145 10402 11618 12073 13246 15039 16438 16731 17878
 18759]
Annotated 3SS: [ 5850  6586  9910 10230 11467 11924 13108 14942 16290 16619 17766 18581
 20663]
SMsplice 5SS: [  142  5984 10402 11618 12073 13246 15039 16438 16731 17878 18682]
SMsplice 3SS: [ 5850 10230 11467 11924 13108 14942 16290 16619 17766 18581 20663]
top_k =  100
Partition function (log Z): 4.79576049604343

Sorted 5' Splice Sites (High to Low Probability):
Position 10402: 0.9989253969694986
Position 142: 0.9945791464691287
Position 16438: 0.9868004275511013
Position 11618: 0.8877892401662663
Position 13246: 0.8813883208865215
Position 5984: 0.8784271061426274
Position 12073: 0.86678606260558
Position 16731: 0.8477309182895297
Position 17878: 0.7875801305105768
Position 15039: 0.6669676386611322
Position 18682: 0.6526514863250571
Position 6710: 0.43140637693025446
Position 7025: 0.3255015502924278
Position 18759: 0.20079955750215933
Position 8043: 0.17562583086109695
Position 6684: 0.12740782364862152
Position 12165: 0.09801925809306902
Position 18999: 0.06780856912015813
Position 8070: 0.04761538752551972
Position 19944: 0.03545220122605377
Position 11641: 0.027818596292616935
Position 1647: 0.020552845923963406
Position 768: 0.01988016218714474
Position 6959: 0.017776951150284916
Position 18435: 0.01457402346486774
Position 2880: 0.01426493243787676
Position 5773: 0.008178450648884433
Position 14437: 0.008022529065116126
Position 16722: 0.007273904806102916
Position 12085: 0.006809948759894974
Position 5391: 0.005363732925550952
Position 1684: 0.004276025248856343
Position 177: 0.003210389081348287
Position 195: 0.000705235758763728
Position 387: 0.0006281096798288681
Position 44: 0.0003589812587326138
Position 10330: 0.00015337291270602828
Position 441: 9.247615173238356e-05
Position 447: 7.697172605076613e-05
Position 344: 6.311172668973942e-05
Position 92: 4.5812020631932484e-05
Position 188: 3.9934825455497e-05
Position 99: 2.9989659939349116e-05
Position 76: 2.8228297951279637e-05
Position 148: 2.8151148369123928e-05
Position 563: 2.4769864253728014e-05
Position 426: 1.5542722049800946e-05
Position 348: 1.5165227464859277e-05
Position 209: 1.1851239441465282e-05
Position 399: 1.0511309779223667e-05
Position 183: 1.0139314729555266e-05
Position 469: 7.5258766334738815e-06
Position 478: 4.618314445377731e-06
Position 69: 4.095143626392366e-06
Position 124: 3.974712981805221e-06
Position 85: 2.871353652550331e-06
Position 571: 2.3971163172060942e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 10230: 0.9990787698822043
Position 16290: 0.9836428720854378
Position 11924: 0.9716152694585439
Position 18581: 0.9201727238913631
Position 11467: 0.8721859445782609
Position 13108: 0.863543131649744
Position 5850: 0.8551968790342014
Position 16619: 0.7087830636459133
Position 14942: 0.6611393643113396
Position 6586: 0.6079175016055566
Position 20663: 0.596736020681647
Position 17766: 0.5156054411774711
Position 6859: 0.2941752004160322
Position 7880: 0.2232412183866167
Position 19821: 0.16655606624293312
Position 19099: 0.15433291570842145
Position 17711: 0.14534316152818755
Position 16559: 0.09345236599467951
Position 17789: 0.07248711772620099
Position 11399: 0.03722521086059945
Position 18786: 0.03471790933620533
Position 16684: 0.034014181482108836
Position 5617: 0.03140867775731045
Position 21529: 0.02838018715738677
Position 18995: 0.027722721105059214
Position 19076: 0.02533958271703155
Position 17628: 0.02329172995104255
Position 1563: 0.02292632508630691
Position 17833: 0.021234682357523727
Position 640: 0.019880162187144747
Position 16537: 0.018735049650111062
Position 13004: 0.01784518923677809
Position 18334: 0.014574023464867738
Position 2773: 0.01426493243787676
Position 17659: 0.007941656036190983
Position 14314: 0.0068773257526064165
Position 14800: 0.005828274349792668
Position 11246: 0.005614716886776539
Position 5288: 0.005363732925550952
Position 16261: 0.002942765419959215
Position 1327: 0.0019025460865128357
Position 17639: 0.0016763417339600772
Position 18585: 0.0015635866270193772
Position 18611: 0.0011901007063607988
Position 14349: 0.001145203312509712
Position 11178: 0.0005819641332462622
Position 16109: 0.00023495236852434109
