Gene = Dalrd3
index = 318
Annotated 5SS: [ 190  560  929 1086 1288 1634 1789 1979 2232 2412 2576]
Annotated 3SS: [ 263  677 1005 1158 1559 1726 1895 2054 2300 2506 2664]
SMsplice 5SS: [ 190  560 1086 1288 1634 1789 1979 2232 2412]
SMsplice 3SS: [ 302 1005 1158 1407 1726 1867 2071 2300 2664]
top_k =  100
Partition function (log Z): 12.883911984300902

Sorted 5' Splice Sites (High to Low Probability):
Position 1086: 0.9967590272352114
Position 1979: 0.9801568396604632
Position 190: 0.9388736310661349
Position 1288: 0.8861799533613111
Position 2412: 0.8828555561299775
Position 560: 0.8477578813900072
Position 1789: 0.7759726872562809
Position 2232: 0.7048968827170599
Position 1634: 0.6916709916837874
Position 929: 0.35573908907536866
Position 2576: 0.22672613450197107
Position 2173: 0.09357865449639374
Position 1441: 0.09011297370473641
Position 543: 0.06623691831845922
Position 679: 0.060941848744550456
Position 877: 0.053985360469307846
Position 194: 0.05126004876476603
Position 1482: 0.02111844686529204
Position 1679: 0.019070609687139826
Position 1831: 0.018674164722907907
Position 847: 0.018457535852456387
Position 2361: 0.016878239795697997
Position 2012: 0.016803867112828365
Position 703: 0.013871562829142819
Position 2507: 0.013673158815461611
Position 537: 0.01256803729618025
Position 617: 0.011569218159121668
Position 564: 0.010992884831371282
Position 1811: 0.007759093513318423
Position 2561: 0.006630536196974426
Position 2177: 0.006543746906521826
Position 1821: 0.005040857329110983
Position 2196: 0.0047526541940396475
Position 397: 0.004325896363428862
Position 390: 0.0027352340236792057
Position 2302: 0.0023005017781643163
Position 818: 0.002272074635146694
Position 1743: 0.0019601557156766697
Position 478: 0.000634303274853677
Position 522: 0.00027023840134372037
Position 264: 0.00013833946941234262
Position 204: 0.00011325078797579602
Position 89: 0.0001089827073716162
Position 272: 9.477102058254175e-05
Position 349: 8.71321873499299e-05
Position 570: 6.982546036366925e-05
Position 46: 2.460407118539249e-05
Position 450: 1.0279620600300853e-05
Position 550: 5.482470127495916e-06
Position 378: 1.951802255176888e-06
Position 79: 1.5337157980169603e-06
Position 133: 1.1742836002781224e-06
Position 19: 1.2655094224023613e-08
Position 97: 9.306992498486464e-09
Position 102: 9.191897619709791e-09
Position 11: 3.425570326528665e-09
Position 131: 2.1549149290557677e-09
Position 99: 5.262391238257988e-10
Position 283: 7.107822510428332e-12
Position 288: 2.3302764374342016e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1158: 0.9540302424913546
Position 2300: 0.8791674536949763
Position 1005: 0.8720320825027632
Position 1726: 0.85834233226909
Position 302: 0.8035077720262708
Position 1867: 0.7903294594452482
Position 2664: 0.6589102745723733
Position 2071: 0.6361458336773589
Position 2506: 0.4868743317695059
Position 677: 0.46239281553266953
Position 1407: 0.28594186246984354
Position 1559: 0.23301433996938142
Position 1895: 0.15770420689634942
Position 1549: 0.1157093304531934
Position 2326: 0.1088665709414355
Position 2054: 0.10878196587446079
Position 263: 0.0901022301582112
Position 735: 0.07343475128680921
Position 977: 0.06605875067855164
Position 1367: 0.05668472826494426
Position 2087: 0.054806151083756555
Position 1610: 0.04879663862701231
Position 441: 0.028086240062057937
Position 1043: 0.02138335333743387
Position 368: 0.01691573425739531
Position 1625: 0.007565116365860328
Position 2203: 0.007136355975114436
Position 2573: 0.005609443942096397
Position 2709: 0.00557635052156269
Position 468: 0.0052893256182976545
Position 525: 0.005069821562170478
Position 1257: 0.0031798663135322327
Position 2282: 0.0027368743231115226
Position 1037: 0.002424693686369747
Position 1183: 0.001923744414305192
Position 1326: 0.0018305691874530455
Position 853: 0.0013205052160289276
Position 2691: 0.0012948706024232942
Position 768: 0.0012594647246306169
Position 1287: 0.0007337754633294476
Position 1171: 0.0005627826809732625
Position 650: 0.0005148593806222047
Position 1211: 0.00037984977068511623
Position 1383: 0.00037074444665636717
Position 506: 0.00022555035315188377
Position 1230: 7.491115271247585e-05
Position 694: 7.256689990642472e-05
Position 270: 6.228861248472561e-05
Position 537: 2.9721267599044468e-05
Position 1219: 1.3435467208870212e-06
Position 312: 1.2698912519122108e-08
Position 158: 4.6333286112975083e-10
Position 168: 2.0992088863953265e-10
