Gene = Sass6
index = 944
Annotated 5SS: [  171  8515 10269 10762 12487 13442 15376 19090 23443 23642 23896 24325
 25184 26501 32160 33605]
Annotated 3SS: [ 8453 10188 10656 12314 13375 15255 18897 23247 23551 23715 24242 25049
 26374 32064 33509 33699]
SMsplice 5SS: [  171  4294  7356  8515 10269 10762 12487 15376 23642 24325 26501 32160
 33605]
SMsplice 3SS: [ 4181  7280  8453 10188 10656 12314 15255 23548 24242 26374 32064 33446
 33699]
top_k =  100
Partition function (log Z): 5.078641211539794

Sorted 5' Splice Sites (High to Low Probability):
Position 23642: 0.9999999999999989
Position 15376: 0.9998387344204327
Position 171: 0.9992780875182516
Position 32160: 0.9950539425345011
Position 24325: 0.9827281753763794
Position 12487: 0.976680050765655
Position 10762: 0.9275941268914455
Position 33605: 0.8651892779536231
Position 8515: 0.8320531054889703
Position 10269: 0.7679320101320752
Position 26501: 0.7549140790544571
Position 7356: 0.5952042376405368
Position 4294: 0.5916067118804651
Position 26677: 0.3347493157349343
Position 19467: 0.332455265255969
Position 33354: 0.29203818769233547
Position 9340: 0.2705354310912125
Position 25184: 0.1813770882858166
Position 6263: 0.14389904653992006
Position 25335: 0.11035282316067607
Position 10378: 0.06546923554389474
Position 23896: 0.041007106608264655
Position 19090: 0.03252633969044723
Position 33625: 0.024184803050696008
Position 3298: 0.018174325742968265
Position 33413: 0.00866295858593072
Position 2681: 0.008541826721234366
Position 15752: 0.008497111288279447
Position 3671: 0.008479677604462787
Position 32347: 0.007702414255510923
Position 33799: 0.007612544118088126
Position 2368: 0.005734779100539421
Position 25848: 0.005582525729410209
Position 1319: 0.005534654476773125
Position 33848: 0.004282299912002546
Position 32335: 0.0025863945747900503
Position 248: 0.00044858310931638283
Position 99: 0.00024397706876200294
Position 252: 2.935230366822346e-05
Position 12813: 1.1193283183748514e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 15255: 0.9998387344204328
Position 33699: 0.9982805136563314
Position 32064: 0.995053942534501
Position 26374: 0.9827802619528193
Position 24242: 0.9557171665488299
Position 12314: 0.9448451190409195
Position 10656: 0.8679555539409961
Position 23548: 0.8450141539337898
Position 10188: 0.83340124567597
Position 8453: 0.8320531054889705
Position 33446: 0.7444602476417301
Position 7280: 0.5952042376405369
Position 4181: 0.5424302671576647
Position 33301: 0.33660799459556523
Position 9256: 0.2705354310912125
Position 25049: 0.16767033675886867
Position 23551: 0.1549858460662092
Position 19355: 0.14732546774367614
Position 5940: 0.14389904653992006
Position 33509: 0.10900698504529022
Position 25267: 0.1068437216563825
Position 19371: 0.09518611504007203
Position 19200: 0.08994368247222083
Position 26609: 0.04717811244357384
Position 26599: 0.04250412223061474
Position 23715: 0.041007106608264655
Position 18897: 0.03252633969044723
Position 10669: 0.03198536847444713
Position 12207: 0.03183493172473555
Position 24125: 0.02701100882754974
Position 4066: 0.023057831305011815
Position 10694: 0.021595462390872323
Position 26440: 0.017219738047180178
Position 25140: 0.017215853031241513
Position 4242: 0.014414560282433101
Position 3186: 0.01355551512114878
Position 4213: 0.011704053135355521
Position 32259: 0.011318251410082088
Position 15664: 0.008497111288279447
Position 2591: 0.007081016240930294
Position 33900: 0.006924776794611626
Position 10705: 0.006057742085129618
Position 25756: 0.005582525729410212
Position 33944: 0.005200763008248735
Position 3647: 0.004491682786495057
Position 3520: 0.00398799481796773
Position 3272: 0.0037773910427807535
Position 2102: 0.0036662519784002013
Position 1176: 0.0035850089165998327
Position 2314: 0.0020685271221392194
Position 1238: 0.0019496455601732922
Position 2625: 0.0008421950522147985
Position 2807: 0.000841419579038731
Position 2431: 0.0006186154280892713
Position 33998: 0.00027673219599772366
Position 27207: 0.00015535560175729412
Position 26713: 8.420308565392878e-06
Position 12711: 6.486993035229393e-06
Position 12631: 2.4248068490120666e-06
Position 12607: 2.281483299507053e-06
