Gene = Spc24
index = 1010
Annotated 5SS: [ 185 2619 3014 3187]
Annotated 3SS: [2473 2908 3109 4007]
SMsplice 5SS: [185]
SMsplice 3SS: [2473]
top_k =  100
Partition function (log Z): -7.616830946209262

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.9738985934183089
Position 1036: 0.1613746873914985
Position 684: 0.09338069838356042
Position 2692: 0.056517599536887134
Position 52: 0.021313041221178258
Position 2566: 0.019434419042898943
Position 1856: 0.011072441394479063
Position 3014: 0.007762442601536745
Position 2032: 0.006694289011046579
Position 643: 0.00545267084771722
Position 1658: 0.0053678414940346916
Position 195: 0.0038562510236752625
Position 1260: 0.0027169955402079927
Position 458: 0.0008854795563985333
Position 2138: 0.0002539335508785676
Position 905: 0.0001982225911236809
Position 238: 0.00019519707305362333
Position 481: 1.5546001837324974e-06
Position 254: 5.637148085865083e-08
Position 46: 4.684325533525625e-08
Position 22: 6.041473830648876e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2473: 0.5895089189249653
Position 884: 0.1822756434401215
Position 1786: 0.11976714514713058
Position 3109: 0.11946600838829835
Position 551: 0.10880717043943715
Position 4007: 0.10235786562323848
Position 1152: 0.031885774953620535
Position 1962: 0.01208022488899626
Position 4025: 0.010078159087766216
Position 1538: 0.008001477681584162
Position 2912: 0.007690247534317145
Position 3669: 0.007085821762490525
Position 3012: 0.005889444150576685
Position 2903: 0.005623992232594902
Position 2922: 0.0054166128194373525
Position 764: 0.004735726103816106
Position 720: 0.004673188115759999
Position 2078: 0.004358010802783446
Position 4756: 0.004342007127018749
Position 2338: 0.004033235928441182
Position 1903: 0.0039727585097189926
Position 1030: 0.0037218642143406135
Position 284: 0.003157131728541262
Position 810: 0.003023992400817268
Position 1437: 0.0029937399756517886
Position 716: 0.002798884085201064
Position 344: 0.002775373643217705
Position 2524: 0.0027222086133644437
Position 642: 0.0018606732727101082
Position 254: 0.0017600938394918394
Position 865: 0.0009543963506595814
Position 896: 0.0008216817800135569
Position 930: 0.0007686515023588743
Position 492: 0.0002360954775117698
Position 132: 0.00018537584677696497
Position 620: 0.00012670623363825843
Position 824: 0.00011147105078265318
Position 583: 7.609187995055269e-05
Position 558: 5.15644729265219e-05
Position 570: 3.607016792187077e-05
Position 927: 3.2642692268467326e-05
Position 349: 2.3071182164131645e-05
Position 994: 2.109545709141717e-05
Position 409: 2.0799959831093185e-05
Position 129: 2.067431894053225e-05
Position 286: 1.3078241061842795e-05
Position 159: 1.2214523625558915e-05
Position 424: 7.869053853583167e-07
Position 628: 6.040565223602074e-07
