Gene = Rpe
index = 915
Annotated 5SS: [  198  5695 13886 14417 15215]
Annotated 3SS: [ 5614 13745 14281 15127 16922]
SMsplice 5SS: [  198  5695 13886 14417]
SMsplice 3SS: [ 5614 13745 14281 16455]
top_k =  100
Partition function (log Z): -12.733574488828534

Sorted 5' Splice Sites (High to Low Probability):
Position 5695: 0.9914065533044623
Position 198: 0.8666858001272955
Position 6056: 0.3750168814427757
Position 806: 0.11662360117928938
Position 6781: 0.09592553616052656
Position 3935: 0.06447654517916081
Position 3883: 0.05908953338128797
Position 2909: 0.05657141326902566
Position 4926: 0.04342895174444278
Position 3219: 0.04084453084163557
Position 818: 0.028452416190286278
Position 187: 0.025471153611726582
Position 2375: 0.014678502704293163
Position 1926: 0.010426541308205332
Position 1964: 0.00919535564694791
Position 1427: 0.0059572044113361845
Position 3749: 0.005414084980009226
Position 2518: 0.003240518885364866
Position 1457: 0.0031983842735369616
Position 235: 0.003142669600683932
Position 5978: 0.003079048955510833
Position 5751: 0.0017847065990480022
Position 5699: 0.0013713011459438244
Position 5755: 0.00023661541199241907
Position 377: 0.00019179626431985617
Position 358: 0.00011776114344754898
Position 141: 8.578278728784849e-05
Position 387: 3.678635221139744e-05
Position 433: 3.3997688448024574e-05
Position 625: 2.4528637378507737e-05
Position 285: 2.293689833598945e-05
Position 708: 8.065818255377566e-06
Position 6191: 7.065548596186496e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 5614: 0.9176767015965726
Position 11555: 0.4354944065395186
Position 5929: 0.3275425537561992
Position 5849: 0.1328996306591725
Position 3814: 0.10794582697037643
Position 5543: 0.08232329840342628
Position 10231: 0.07824556610528732
Position 9292: 0.07554737028945639
Position 7370: 0.06535497405847819
Position 6725: 0.05958614193012249
Position 8516: 0.05130970496339782
Position 4841: 0.04342895174444275
Position 2819: 0.03588786286803526
Position 10730: 0.03365237302649096
Position 6728: 0.033276338298937835
Position 6300: 0.029201307877470134
Position 6098: 0.028195337564651608
Position 6146: 0.02785417988728319
Position 586: 0.02698327287583245
Position 3047: 0.026262606497271468
Position 7490: 0.02333438368684771
Position 2855: 0.02064447636905288
Position 7944: 0.018651655645079538
Position 1825: 0.01730488322608086
Position 3867: 0.01562025159007236
Position 6384: 0.014997537946134747
Position 2241: 0.01467850270429314
Position 6473: 0.014216469012024797
Position 7420: 0.01049194573559772
Position 1304: 0.009155588684873161
Position 3084: 0.008115514598808405
Position 785: 0.006500657900442524
Position 3067: 0.006411110900462847
Position 3639: 0.005414084980009226
Position 5813: 0.005114691794332885
Position 6977: 0.003619546885407685
Position 2321: 0.003240518885364861
Position 714: 0.002800520486027768
Position 623: 0.002673048953372179
Position 1870: 0.002317013729072437
Position 725: 0.0019397960832934738
Position 5909: 0.00012458167973143538
Position 6008: 7.837987123319551e-05
Position 2837: 7.210209215552882e-05
Position 5986: 3.8631355998072916e-05
Position 2741: 2.2270784874779578e-05
