Gene = Mrfap1
index = 696
Annotated 5SS: [570]
Annotated 3SS: [827]
SMsplice 5SS: [570]
SMsplice 3SS: [827]
top_k =  100
Partition function (log Z): -5.746784962579847

Sorted 5' Splice Sites (High to Low Probability):
Position 570: 0.9927918558982508
Position 227: 0.29152732022676253
Position 221: 0.11649991167435614
Position 146: 0.09276720166302252
Position 142: 0.08629966775752335
Position 759: 0.008515311807159288
Position 197: 0.006636339267563855
Position 72: 0.003452100323088593
Position 732: 0.0033504701629982233
Position 26: 0.002940820988133322
Position 298: 0.0027490478504881622
Position 553: 0.001489794775141489
Position 152: 0.0010401812735040096
Position 604: 0.0010018508233011006
Position 1129: 0.0008641678783447175
Position 117: 0.0007465306116124003
Position 99: 0.000714682990600956
Position 349: 0.0005308337457470806
Position 256: 0.00046951609043669487
Position 42: 0.0003857329831263692
Position 46: 0.00027153787474347224
Position 78: 0.0001460266081964769
Position 155: 0.00010825040499806985
Position 269: 0.00010117961536967399
Position 19: 8.261164611839132e-05
Position 515: 1.0128719733431883e-07
Position 547: 8.767123057899781e-08
Position 524: 7.156236463484413e-08
Position 65: 1.490595264392748e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 827: 0.9226500703926939
Position 427: 0.5999113337882964
Position 1317: 0.022702472313938935
Position 782: 0.011132927082863606
Position 1224: 0.009601729358134081
Position 1288: 0.007410733708256866
Position 644: 0.005140143384048457
Position 1565: 0.004886821622359706
Position 663: 0.0045074493667298645
Position 835: 0.0034057343831497737
Position 1328: 0.0033523049176585233
Position 1193: 0.0031149732031063963
Position 1257: 0.0029643858455504495
Position 669: 0.002870616998961682
Position 1263: 0.0016628858490277897
Position 1684: 0.001614951046511884
Position 660: 0.0013955988815255633
Position 1296: 0.0012231602444871554
Position 376: 0.0011123543234714275
Position 466: 0.001036786772439126
Position 469: 0.0008340210772983757
Position 704: 0.0007237876472022352
Position 1859: 0.0005602829991057503
Position 226: 0.00043060236040627485
Position 1546: 0.00037976475646323617
Position 445: 0.00019653406089673148
Position 313: 0.000182000688693358
Position 487: 0.00015597620323971954
Position 346: 9.703172463291018e-05
Position 687: 6.299803557067535e-05
Position 280: 3.721780429906605e-05
Position 382: 3.411621703730952e-05
Position 520: 2.8965277391498688e-05
Position 256: 2.8430460491279752e-05
Position 217: 1.747137205641299e-05
Position 220: 1.606425273061994e-05
Position 160: 2.8971614810268266e-07
Position 241: 2.1733941374325654e-07
