Gene = Pea15a
index = 807
Annotated 5SS: [ 208 6397 7694]
Annotated 3SS: [6222 7537 8113]
SMsplice 5SS: [ 208 6152 6322 7694 8203]
SMsplice 3SS: [6075 6222 7613 8113 8725]
top_k =  100
Partition function (log Z): 0.028697620610809604

Sorted 5' Splice Sites (High to Low Probability):
Position 208: 0.9978888348229125
Position 6152: 0.9678696970004874
Position 7694: 0.9519686003486442
Position 8203: 0.9042689231519331
Position 6322: 0.5577895429533947
Position 6331: 0.327625562694483
Position 8568: 0.2714818212194034
Position 8615: 0.1718545771667296
Position 6700: 0.1471870933026494
Position 8642: 0.11982587374328425
Position 9542: 0.09091575005434503
Position 6397: 0.08760986576125561
Position 2559: 0.05270144629864253
Position 2386: 0.03432213447541293
Position 9237: 0.02011147927227443
Position 6468: 0.014343077380212933
Position 6505: 0.006558079442533648
Position 9509: 0.005640837194345352
Position 6165: 0.00392149306777523
Position 246: 0.0019870039950107415
Position 4412: 0.0017422575088328945
Position 4515: 0.0015123135449111112
Position 6296: 0.0014610094407292284
Position 606: 0.0009066372690917086
Position 8041: 0.0008849213625782995
Position 1025: 0.0007925141434881342
Position 3670: 0.0006414423695065521
Position 3486: 0.000542967618080295
Position 6809: 0.0004934747398168497
Position 1550: 0.0004661531650937971
Position 2403: 0.0003951367154904071
Position 6188: 0.00038841812295296716
Position 7764: 0.0002723503271057344
Position 6359: 7.940070000402234e-05
Position 47: 1.6957307848099884e-05
Position 42: 2.939903317591382e-07
Position 174: 2.755888364123926e-07
Position 324: 1.9058023957173866e-07
Position 464: 8.627956847983492e-08
Position 263: 1.8859524457416332e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 8113: 0.9824388861519497
Position 6222: 0.9646419999505792
Position 7613: 0.7960383472989476
Position 6075: 0.7120736796596621
Position 8725: 0.4999909009993528
Position 8455: 0.3463599768806078
Position 6053: 0.23665282350370076
Position 10025: 0.20582608614768375
Position 8424: 0.15102554564134876
Position 7537: 0.13652981896268487
Position 9373: 0.12532800467557476
Position 6600: 0.09408369060167367
Position 9391: 0.08852395463775477
Position 8838: 0.05107662428108243
Position 6583: 0.048059452066883515
Position 2339: 0.04610783059780853
Position 2272: 0.03902622582355396
Position 8521: 0.03890762617921482
Position 8518: 0.0374308786767397
Position 6251: 0.02875267489591945
Position 9099: 0.028358729964287396
Position 6097: 0.023453105027852614
Position 9171: 0.01586631802947195
Position 7269: 0.011535252688447035
Position 7319: 0.00783065907249309
Position 6231: 0.0064027211646087
Position 8353: 0.004399325507545292
Position 8971: 0.004217345432034142
Position 4257: 0.0032545710537440074
Position 8548: 0.00242887090676376
Position 2474: 0.002284661068183402
Position 7865: 0.0015157759992439014
Position 6490: 0.0012065677354142629
Position 8127: 0.0009959796945025528
Position 527: 0.0007394289481365434
Position 3601: 0.0006414423695065521
Position 3319: 0.000542967618080295
Position 865: 0.0004822266302966439
Position 1396: 0.0004661531650937969
Position 7169: 0.00030687265317719687
Position 749: 0.0002039489374603216
Position 9069: 0.00019084621784748278
Position 371: 0.00016720832095516578
Position 7909: 6.695066171854362e-05
Position 7957: 3.49412940440739e-05
Position 7880: 3.090331037303635e-07
Position 8010: 3.061530213486804e-07
