Gene = Lactb2
index = 615
Annotated 5SS: [  218  9826 13162 22316 30482 33191]
Annotated 3SS: [ 9661 13034 22136 30332 33108 33641]
SMsplice 5SS: [  218  9826 22316 30482]
SMsplice 3SS: [ 9661 22043 30332 33108]
top_k =  100
Partition function (log Z): -23.724131467002074

Sorted 5' Splice Sites (High to Low Probability):
Position 9826: 0.940669737264502
Position 218: 0.9403842868723874
Position 8950: 0.3547805691164188
Position 10142: 0.2761882333786787
Position 12889: 0.2624039062494116
Position 84: 0.03826196330582059
Position 141: 0.021181741076761396
Position 658: 0.004615418364564918
Position 3140: 0.0026180539244033707
Position 3928: 0.00021063969733028584
Position 480: 0.00019206456814520567
Position 556: 0.00013137280992596282
Position 402: 0.00010138848528073064
Position 201: 3.133783463515206e-05
Position 194: 2.51313935767943e-05
Position 328: 1.4932623240293934e-05
Position 138: 5.917260981933231e-06
Position 166: 3.40416018956482e-06
Position 66: 3.3862727151754852e-06
Position 75: 1.5584832358385334e-06
Position 299: 1.2924826262478721e-06
Position 35: 1.1511048862546385e-06
Position 258: 7.169266027099029e-07
Position 128: 5.64545712809706e-07
Position 50: 5.154228724589758e-07
Position 149: 2.6242350190950657e-08
Position 253: 2.3735033780141608e-08
Position 133: 2.0509595042272582e-08
Position 326: 4.837846424904121e-09
Position 147: 4.264573526136839e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 9661: 0.8408141644764248
Position 14348: 0.6582017308933631
Position 8778: 0.38395658303644575
Position 12780: 0.32122521897743195
Position 9930: 0.1893043268692819
Position 10017: 0.11461957209778934
Position 9593: 0.06738267392086318
Position 11600: 0.05750169705086496
Position 10279: 0.04670562274302954
Position 9525: 0.04254176901546794
Position 9933: 0.041652503328521044
Position 11424: 0.04036268342900383
Position 11147: 0.009688521503307382
Position 390: 0.006734863377395786
Position 9056: 0.004898036397269267
Position 2896: 0.0035573138310374063
Position 8461: 0.0026646752803220993
Position 4910: 0.0018727925936811954
Position 7986: 0.0014775569554209833
Position 1841: 0.0012878885924682022
Position 7248: 0.0011820804706274284
Position 4027: 0.0011741430654201835
Position 3054: 0.0008006003091453447
Position 3501: 0.0007947131666025599
Position 5999: 0.000553341574539454
Position 3658: 0.0002609019748056714
Position 750: 0.00025587740917736035
Position 1856: 0.00011963174085148626
Position 1606: 9.762765914616147e-05
Position 2733: 8.349792994770099e-05
Position 1022: 5.274541835863748e-05
Position 592: 1.5327942486526027e-06
Position 615: 1.4795124509004162e-06
Position 582: 4.3524803244248333e-07
Position 416: 2.415333685510003e-07
Position 595: 2.0126606307606127e-07
Position 460: 1.1393401313517693e-07
